current_metric_name,current_calculation,data_sample_analysis,consolidation_target_metric,consolidation_rationale,transformation_rule,data_validation_rule,business_impact,migration_order,similar_metrics_across_dashboards,unified_definition,sample_values_analysis,data_quality_issues,proposed_new_calculation,response_id,dashboard_id,similar_metrics_count,similar_metrics_text,data_quality_issues_count,data_quality_issues_text
Product Sales Count (Example),COUNT(DISTINCT product_id) (Assumed),"Actual data samples are not available as BigQuery queries returned no rows. Therefore, detailed analysis of metric behavior, distribution, and inconsistencies cannot be performed at this stage.",Unified_Product_Transaction_Count,"Similar to revenue, product sales counts are fundamental. Consolidating ensures consistent counting methodology (e.g., by transaction line item vs. unique product in a transaction).",Standardize calculation to 'COUNT(DISTINCT fct_sales.transaction_line_item_id)' or 'COUNT(fct_sales.product_key)' based on the consolidated model's grain. Specific rules for bundles or multi-item purchases need to be defined.,Cannot define specific data validation rules without actual data. General rule: Compare 'Unified_Product_Transaction_Count' against source system reports. Verify counts match for a sample period. Check for unexpected zeros or extremely high values.,medium,2,[],"The total number of distinct product line items sold within a given period, reflecting individual product transactions.","Not available due to no data returned. This prevents analysis of value ranges, outliers, or typical patterns.","['Cannot identify specific data quality issues without actual data. Potential issues could include: duplicate transaction entries, incorrect product categorization, or missing product IDs.']",COUNT(fct_finance_transactions.product_key) WHERE transaction_type = 'SALE',8,d3bcf796-2396-4a6f-b0a3-da0b7f299a58,0,,1,"Cannot identify specific data quality issues without actual data. Potential issues could include: duplicate transaction entries, incorrect product categorization, or missing product IDs."
N/A - Data Unavailable,N/A - Data Unavailable,"All BigQuery queries returned 'no_data'. This critically prevents any data-driven analysis of existing metrics, their behavior, or potential duplicates. The dashboard is currently non-functional due to this issue, rendering all metric-specific consolidation analysis impossible at this stage.",Blocked by data availability,Cannot assess consolidation potential or identify duplicate metrics without actual data. The primary focus must be on resolving the 'no_data' issue to make the dashboard functional.,Blocked by data availability,Blocked by data availability,high,0,[],Blocked by data availability,"No data samples available for analysis, as all queries returned 'no_data'.","[""Critical: All BigQuery queries returned 'no_data', indicating a fundamental data availability or connectivity issue."", 'High: Inability to retrieve any data for analysis or display, making the dashboard unusable.']",Blocked by data availability,9,5dae02f0-dc48-418c-bdf9-5e5d2b1d6e26,0,,2,"Critical: All BigQuery queries returned 'no_data', indicating a fundamental data availability or connectivity issue., High: Inability to retrieve any data for analysis or display, making the dashboard unusable."
total_current_fy_gross_revenue_display,total_current_fy_gross_revenue / 1000 (inferred),"The sample data clearly shows 'total_current_fy_gross_revenue_display' is 'total_current_fy_gross_revenue' divided by 1000 (e.g., 865.47 -> 0.86547). This pattern is likely replicated for other '_display', '_k', or '_000s' suffixed metrics like 'total_previous_fy_gross_revenue_display', 'ly_gross_revenue_amount_k', 'cy_gross_revenue_amount_k', 'current_fy_gross_revenue_000s', 'previous_fy_gross_revenue_000s', 'next_fy_gross_revenue_k'.",gross_revenue_k,"Multiple metrics exist that represent the same underlying gross revenue value, only scaled differently (raw, thousands). Consolidating to a single 'k' (thousands) metric simplifies reporting, reduces redundancy, and prevents user confusion.","If the source metric is in base units, divide by 1000. If it's already in 'k' or '000s' units, use directly. The base unit should be stored in the fact table, and the 'k' version derived for display.",SUM(gross_revenue_k) * 1000 = SUM(gross_revenue_base_unit_equivalent),medium,1,"['total_current_fy_gross_revenue', 'total_previous_fy_gross_revenue', 'total_gross_revenue_amount', 'ly_gross_revenue_amount', 'cy_gross_revenue_amount', 'ly_gross_revenue_amount_k', 'cy_gross_revenue_amount_k', 'current_fy_gross_revenue_000s', 'previous_fy_gross_revenue_000s', 'current_fy_gross_revenue_k', 'current_fy_gross_revenue', 'previous_fy_gross_revenue', 'previous_fy_gross_revenue_filtered_by_date', 'next_fy_gross_revenue_k', 'current_fy_gross_revenue_amount']","Total gross revenue for the specified financial period, expressed in thousands of the local currency.","For 'ABC SEAMLESS' in 'Jul', 'total_current_fy_gross_revenue' is 865.47, while 'total_current_fy_gross_revenue_display' is 0.86547. This confirms the /1000 relationship.","['Inconsistent scaling of the same underlying financial metric across multiple columns.', 'Potential for misinterpretation if users are unaware of the scaling applied to each column.']",SUM(fact_sales_revenue.gross_revenue_amount) / 1000,12,9269e9c6-1ad0-4415-96c3-aca8a710ba01,15,"total_current_fy_gross_revenue, total_previous_fy_gross_revenue, total_gross_revenue_amount, ly_gross_revenue_amount, cy_gross_revenue_amount, ly_gross_revenue_amount_k, cy_gross_revenue_amount_k, current_fy_gross_revenue_000s, previous_fy_gross_revenue_000s, current_fy_gross_revenue_k, current_fy_gross_revenue, previous_fy_gross_revenue, previous_fy_gross_revenue_filtered_by_date, next_fy_gross_revenue_k, current_fy_gross_revenue_amount",2,"Inconsistent scaling of the same underlying financial metric across multiple columns., Potential for misinterpretation if users are unaware of the scaling applied to each column."
revenue_type,"Direct column value (e.g., 'PRINT', 'DIGITAL')",The sample data shows 'revenue_group_subtype' and 'revenue_type' both containing values like 'PRINT' and 'DIGITAL'. This suggests significant overlap or redundancy between these two fields.,revenue_category,"Both 'revenue_group_subtype' and 'revenue_type' appear to classify revenue into similar categories. Consolidating them into a single, authoritative 'revenue_category' dimension will reduce redundancy, simplify data modeling, and ensure consistent categorization across reports.","Map both 'revenue_group_subtype' and 'revenue_type' to a single 'revenue_category' field in a new dimension table (dim_revenue_type), resolving any discrepancies or hierarchies if they exist. Use a COALESCE or CASE statement if one is preferred or more granular.",Count of distinct values in 'revenue_category' should be consistent with the union of distinct values from 'revenue_group_subtype' and 'revenue_type'. Verify no data loss or miscategorization.,low,2,"['revenue_group_subtype', 'revenue_type_upper', 'revenue_type_level2', 'revenue_type_or_xtend_dim', 'revenue_type_derived']","The primary classification of revenue (e.g., PRINT, DIGITAL, Xtend, Other).","Both 'revenue_group_subtype' and 'revenue_type' show 'PRINT' and 'DIGITAL' values, reinforcing their similarity.","[""Redundancy in data storage and potential for inconsistent categorization if underlying logic for 'revenue_group_subtype' and 'revenue_type' differs."", 'Increased complexity for users trying to understand which field to use for revenue classification.']",dim_revenue_type.revenue_category_name (derived from source fields during ETL),12,9269e9c6-1ad0-4415-96c3-aca8a710ba01,5,"revenue_group_subtype, revenue_type_upper, revenue_type_level2, revenue_type_or_xtend_dim, revenue_type_derived",2,"Redundancy in data storage and potential for inconsistent categorization if underlying logic for 'revenue_group_subtype' and 'revenue_type' differs., Increased complexity for users trying to understand which field to use for revenue classification."
combined_period_string,"Concatenation of 'financial_short_month', 'quarter_display', and 'half_year_display' (e.g., 'Jul Q1 H1')",The sample data shows 'combined_period_string' as a concatenated string like 'Jul Q1 H1' and 'Aug Q1 H1'. This is a display-oriented field derived from other existing date/period attributes.,display_period_fy_q_h,This metric is purely for display and can be easily derived from existing date dimension attributes. Storing it as a separate column is redundant and can lead to inconsistencies if the derivation logic changes or if source components are missing. It should be a calculated field in the presentation layer.,"Remove 'combined_period_string' as a stored column. Create a calculated field in Looker Studio using CONCAT(financial_short_month, ' ', quarter_display, ' ', half_year_display) from the unified date dimension.",Verify that the calculated field in the new dashboard produces the same string as the original 'combined_period_string' for all records.,low,3,"['fiscal_year_quarter_label', 'financial_period_fy_q']","A concatenated string representing the financial month, quarter, and half-year for display purposes.",The values 'Jul Q1 H1' and 'Aug Q1 H1' clearly demonstrate the concatenation pattern.,"['Redundant storage of derived data.', 'Potential for inconsistencies if the concatenation logic is not uniformly applied or if source components are null.']","CONCAT(dim_date.financial_short_month, ' ', dim_date.quarter_display, ' ', dim_date.half_year_display)",12,9269e9c6-1ad0-4415-96c3-aca8a710ba01,2,"fiscal_year_quarter_label, financial_period_fy_q",2,"Redundant storage of derived data., Potential for inconsistencies if the concatenation logic is not uniformly applied or if source components are null."
Total Sales Amount,SUM(Sales_Revenue),"Actual data not available. Based on dashboard name, this metric likely represents the sum of all sales transactions. Without data, cannot analyze distribution, outliers, or specific patterns.",Unified_Sales_Amount,Standardizing 'Total Sales Amount' is crucial for consistent financial reporting across all sales-related dashboards. This metric is fundamental for revenue consolidation.,Map current 'Sales_Revenue' to 'Unified_Sales_Amount' in the consolidated model. Ensure currency conversion rules are applied if source data contains multiple currencies.,Compare 'Unified_Sales_Amount' in consolidated model with 'Total Sales Amount' from original dashboard for a sample period. Verify sum matches within acceptable variance. (Cannot test without actual data),high,1,[],"The total monetary value of all sales transactions, net of returns and discounts, for a given period or dimension.","N/A - Actual data not available. Would typically analyze value ranges, presence of nulls, and data types for consistency.","['Cannot determine specific data quality issues without actual data. Potential issues could include missing values, incorrect data types, or inconsistent currency reporting.', 'Original analysis indicated 1 governance issue; this metric is a likely candidate for such issues (e.g., inconsistent definition or calculation).']",SUM(fct_sales.sales_amount_usd) -- Assuming conversion to USD in the unified model.,15,80ca81f3-0671-40ef-a0a9-825a1580ca1b,0,,2,"Cannot determine specific data quality issues without actual data. Potential issues could include missing values, incorrect data types, or inconsistent currency reporting., Original analysis indicated 1 governance issue; this metric is a likely candidate for such issues (e.g., inconsistent definition or calculation)."
Sales Target Attainment %,(SUM(Sales_Revenue) / SUM(Sales_Target)) * 100,"Actual data not available. This metric combines actual sales with target data. Without data, cannot assess target accuracy, attainment distribution, or edge cases (e.g., target not met).",Unified_Sales_Target_Attainment_Percentage,Standardizing sales target attainment is essential for performance management and financial forecasting. Inconsistent calculations can lead to misaligned business decisions.,Map current 'Sales_Revenue' and 'Sales_Target' to their unified counterparts. Ensure the calculation logic for percentage attainment is consistent across all consolidated dashboards.,Compare 'Unified_Sales_Target_Attainment_Percentage' with original dashboard's calculation for a sample period and team. Verify percentage matches. (Cannot test without actual data),high,2,[],"The percentage of actual sales achieved against a predefined sales target for a specific period, team, or individual.","N/A - Actual data not available. Would typically analyze the range of percentages, identify instances of 0% or >100%, and check for division by zero errors.","['Cannot determine specific data quality issues without actual data. Potential issues could include missing sales targets, incorrect target values, or mismatches between sales and target granularity.', 'Original analysis indicated 1 governance issue; this metric is a likely candidate for such issues (e.g., different target definitions or calculation methodologies).']",(SUM(fct_sales.sales_amount_usd) / SUM(fct_sales_targets.target_amount_usd)) * 100,15,80ca81f3-0671-40ef-a0a9-825a1580ca1b,0,,2,"Cannot determine specific data quality issues without actual data. Potential issues could include missing sales targets, incorrect target values, or mismatches between sales and target granularity., Original analysis indicated 1 governance issue; this metric is a likely candidate for such issues (e.g., different target definitions or calculation methodologies)."
Total Records,COUNT(*),"The dashboard processes 2,856,303 records. This indicates a high volume of transactional data. While not a primary business metric, it's a foundational count for data volume and completeness checks.",Fact_Revenue.RecordCount,Standardize the count of underlying transactional records for data volume and integrity checks across all finance dashboards.,Direct count of rows in the consolidated revenue fact table.,SELECT COUNT(*) FROM Fact_Revenue;,low,1,[],The total number of individual transactional records contributing to revenue calculations.,"Value: 2,856,303. This is a significant volume, suggesting detailed transactional data. Consistency in this count across related dashboards is crucial.",[],COUNT(*),16,a1b901e6-c4fb-44bc-955a-3d7070c15829,0,,0,
"Revenue Category Counts (Xtend, Programmatic, Adpt Digital, Sundry, Other)",Implicitly defined by business rules and categorization logic.,"The business rules analysis provides specific counts for different revenue categories: Xtend (54,763), Programmatic (2,472,887), Adpt Digital (169,258), Sundry (659), Other (158,736). Programmatic revenue is clearly the dominant category.",Fact_Revenue.RevenueByCategory,Standardize revenue categorization logic and reporting across all finance dashboards to ensure consistent classification and analysis of revenue streams.,Apply a `CASE` statement or a lookup to categorize each revenue transaction based on defined business rules. This logic is already present and validated in the `business_rules_sql` output.,"SELECT revenue_category, COUNT(*) FROM Fact_Revenue GROUP BY revenue_category;",high,2,[],"Categorization of revenue transactions into predefined types (e.g., Xtend, Programmatic, Adpt Digital, Sundry, Other) based on specific business logic.","Programmatic revenue accounts for the vast majority of records (2.47M out of 2.85M), indicating its importance. The counts are precise, suggesting a well-defined categorization process.",[],"CASE
    WHEN [logic for Xtend] THEN 'Xtend'
    WHEN [logic for Programmatic] THEN 'Programmatic'
    WHEN [logic for Adpt Digital] THEN 'Adpt Digital'
    WHEN [logic for Sundry] THEN 'Sundry'
    ELSE 'Other'
END",16,a1b901e6-c4fb-44bc-955a-3d7070c15829,0,,0,
Revenue Movement Dates,Based on 'movement_date' field.,"The `earliest_movement_date` is '2025-05-02' and `latest_movement_date` is '2025-07-02'. This is highly unusual as it indicates future dates for 'movement'. This could represent forecast, booking, or a data quality issue.",Fact_Revenue.TransactionDate (or Fact_Revenue.BookingDate/ForecastDate),"Clarify and standardize the interpretation of 'movement dates' to align with either actual historical transactions, bookings, or forecasts, ensuring consistency across consolidated finance data.","Requires business clarification. If it's a booking/forecast date, map to a dedicated `booking_date` or `forecast_date` column. If it's intended to be a historical transaction date, this indicates a severe data quality issue requiring investigation and correction at the source.","SELECT MIN(TransactionDate), MAX(TransactionDate) FROM Fact_Revenue WHERE TransactionDate IS NOT NULL;",high,0,[],"The date associated with a revenue event, which could be a booking date, a forecast date, or an actual transaction date, clearly defined and consistently applied.","The presence of future dates (2025) for 'movement_date' is the most critical finding. This must be resolved before any consolidation, as it fundamentally impacts the interpretation of the dashboard's data.","[""Movement dates are in the future (2025), contradicting typical historical revenue reporting and the 'freshness_test: PASS' result from validation SQL. This is a major data accuracy concern.""]","Depends on clarification of 'movement_date' purpose. E.g., `CAST(movement_date AS DATE)` if it's a valid date type, but the *meaning* needs to be fixed.",16,a1b901e6-c4fb-44bc-955a-3d7070c15829,0,,1,"Movement dates are in the future (2025), contradicting typical historical revenue reporting and the 'freshness_test: PASS' result from validation SQL. This is a major data accuracy concern."
Total Actual Amount,Likely sum of actual_amount or similar financial transaction field.,"The `primary_analysis_sql` returned 'no_data' and the `structure_sql` reported `total_records: 0` for the dashboard. This indicates that no actual data is being retrieved or processed for this dashboard. Therefore, no data-driven analysis of the metric's behavior, distribution, or inconsistencies can be performed. The `null_actual_amount_count` column in structure analysis is present but its value is not provided, making it impossible to assess null rates.",Consolidated_Contra_Actual_Amount,"This is a core financial metric. Consolidating it ensures a single, authoritative source for contra revenue figures across all finance reports, improving accuracy and consistency. However, the immediate priority is to resolve the underlying data retrieval issues.",Conceptual: SUM(CASE WHEN transaction_type = 'Contra' THEN actual_amount ELSE 0 END). Actual transformation depends on resolving the 'no_data' issue and understanding the source data schema.,"Test for non-zero values and positive sums. `revenue_positive_test` and `actual_amount_data_present` from validation results indicate current failure, suggesting data issues. Validation should ensure `Consolidated_Contra_Actual_Amount` > 0 for relevant periods.",high,1,[],"The total monetary value of contra transactions, representing reductions or offsets to gross revenue, as recorded in the consolidated finance data model.","No actual sample values available due to `total_records: 0`. The `revenue_positive_test` failed, implying that if data were present, it might be zero or negative, which is concerning for a revenue metric.","['Dashboard returns no data (`total_records: 0`).', '`freshness_test: FAIL` implies data is not current.', '`revenue_positive_test: FAIL` suggests potential issues with the calculated amount if data were present.', '`actual_amount_data_present` test result is not provided, but implied failure by `no_data`.']",SUM(fact_finance.actual_amount) FILTER (WHERE fact_finance.transaction_type = 'Contra' AND fact_finance.is_active_record = TRUE),17,b9dfd2f4-92fa-4f81-a5b1-17de880470f9,0,,4,"Dashboard returns no data (`total_records: 0`)., `freshness_test: FAIL` implies data is not current., `revenue_positive_test: FAIL` suggests potential issues with the calculated amount if data were present., `actual_amount_data_present` test result is not provided, but implied failure by `no_data`."
Gross Revenue Amount,Likely sum of gross_revenue_amount or similar field.,"Similar to 'Total Actual Amount', no actual data is available for analysis due to `total_records: 0`. The `null_gross_revenue_amount_count` and `null_gross_revenue_count` columns are present but their values are not provided, preventing assessment of null rates.",Consolidated_Gross_Revenue,Gross Revenue is a fundamental financial metric. Consolidating it ensures consistent reporting across all financial dashboards. The 'Contra Report' likely uses this as a base for calculating net or contra impact.,Conceptual: SUM(gross_revenue_amount). Actual transformation depends on resolving the 'no_data' issue and understanding the source data schema.,Test for non-zero values and positive sums. `gross_revenue_positive_test: FAIL` and `gross_revenue_test` (status not provided) indicate issues. Validation should ensure `Consolidated_Gross_Revenue` > 0 for relevant periods.,high,2,[],"The total revenue recognized before any deductions, adjustments, or contra entries, as defined in the consolidated finance data model.","No actual sample values available due to `total_records: 0`. The `gross_revenue_positive_test` failed, indicating a critical issue if data were present.","['Dashboard returns no data (`total_records: 0`).', '`gross_revenue_positive_test: FAIL` suggests potential issues with the calculated amount if data were present.']",SUM(fact_finance.gross_revenue_amount) FILTER (WHERE fact_finance.is_active_record = TRUE),17,b9dfd2f4-92fa-4f81-a5b1-17de880470f9,0,,2,"Dashboard returns no data (`total_records: 0`)., `gross_revenue_positive_test: FAIL` suggests potential issues with the calculated amount if data were present."
Analysis Not Possible - No Actual Data,N/A,"No actual data samples were provided from BigQuery queries. Therefore, a data-driven analysis of metric behavior, distributions, or inconsistencies cannot be performed. We cannot identify duplicate or similar metrics based on their actual values.",Undefined without data,Cannot determine specific consolidation opportunities or rationales without examining actual metric values and underlying data structures.,Cannot define specific transformation rules without understanding current metric calculations and data patterns from actual data.,Cannot design data validation rules without actual data ranges and expected output patterns.,Unknown - Requires data analysis to assess impact of potential metric changes.,0,[],Cannot propose unified definitions without understanding current usage and data behavior.,No sample values available for analysis.,"['Cannot identify specific data quality issues related to metrics without actual data.', ""The input indicates 'Query executed but returned no rows for this dashboard' for all SQL analysis categories, which prevents any data-driven quality assessment.""]",Cannot propose new calculations without understanding current logic and data behavior.,18,bb49fa78-5abe-4e68-a9c1-8172a832e724,0,,2,"Cannot identify specific data quality issues related to metrics without actual data., The input indicates 'Query executed but returned no rows for this dashboard' for all SQL analysis categories, which prevents any data-driven quality assessment."
UNKNOWN_METRIC_1,Cannot determine due to 'no_data' from analysis queries.,No actual data available for analysis. The provided SQL execution results returned 'no_data'.,Requires investigation of dashboard content and underlying data sources.,"Cannot determine specific consolidation rationale without knowing the actual metrics and their data. However, given the 'Programmatic Rolling 60 Day Overview' name, common advertising metrics like Impressions, Clicks, Spend, Conversions, CTR, and CPC are likely candidates for standardization.","Cannot define specific transformation rules without source data and calculation logic. This would typically involve standardizing naming conventions, aggregation levels, and currency conversions.","Cannot define specific data validation rules without knowing the metrics and their expected data ranges. General validation would involve checking for non-negative values, expected ranges, and consistency with source systems.",high,1,[],Needs to be defined once actual metrics are identified. Example: 'Total Impressions' defined as the count of times an ad was displayed to a user.,No actual data available for analysis.,"['Primary issue: No data returned by analysis queries, indicating potential underlying data source issues, dashboard misconfiguration, or an empty dashboard.', 'Cannot assess data completeness, accuracy, or consistency without actual data.']",Cannot propose new calculations without understanding current ones and actual data. This step is dependent on resolving the 'no_data' issue.,20,b15d856f-e3ce-4991-bf2a-92395390524f,0,,2,"Primary issue: No data returned by analysis queries, indicating potential underlying data source issues, dashboard misconfiguration, or an empty dashboard., Cannot assess data completeness, accuracy, or consistency without actual data."
Gross Revenue,SUM(gross_revenue_amount) after applying specific business rules and exclusions.,"The `structure_sql` indicates `avg_gross_revenue_amount` and `null_gross_revenue_amount_count` are tracked, implying `gross_revenue_amount` is a key column. The `validation_sql` shows `gross_revenue_positive_test` passed, indicating values are generally positive. The `business_rules_sql` highlights a `financial_week_exclusion_rule` with an 89.22% pass rate, meaning approximately 10.78% of records (627,347 out of 5,820,463) are excluded by this rule. This exclusion logic is critical to the metric's final value.",Unified_AdSales_Gross_Revenue_Amount,"Gross Revenue is a fundamental financial metric for sales performance. Standardizing its definition and calculation across all finance systems is crucial for accurate consolidated reporting, ensuring consistency with other revenue streams and business units.","Sum of the `gross_revenue_amount` column, applying the `financial_week_exclusion_rule` and any other relevant business rules (e.g., `sundry_adsales_overlay_data_test`) as filters or conditional aggregations. Null handling for `gross_revenue_amount` must be explicitly defined.","Verify that the `Unified_AdSales_Gross_Revenue_Amount` remains positive and that the total sum, as well as the count of excluded records, matches the original dashboard's logic (e.g., 89.22% inclusion rate for the exclusion rule). Compare aggregated values for FY2025.",high,1,[],"The total gross revenue recognized from ad sales, before any deductions, for the specified fiscal period (FY2025), specifically excluding records identified by the 'financial week exclusion rule' and other ad sales overlay conditions.","No direct sample values for `gross_revenue_amount` are provided, but the total record count of 5,820,463 for FY2025 indicates a high volume of data for this metric. The data covers all 52 financial weeks of 2025.","['The `null_gross_revenue_amount_count` column exists, indicating potential nulls that need explicit handling in the new calculation.', 'The `financial_week_exclusion_rule` excludes 10.78% of records, which needs careful re-implementation to ensure accuracy and consistency.', ""The `primary_analysis_sql` returning 'no_data' is a critical issue that needs investigation, as it suggests the core data for this metric might not be accessible or correctly queried by the dashboard's primary analysis.""]","SUM(CASE WHEN NOT (financial_week_exclusion_rule_condition) AND NOT (sundry_adsales_overlay_condition) THEN COALESCE(gross_revenue_amount, 0) ELSE 0 END)",24,3ee20092-1897-49b7-8bcd-4157d5f816eb,0,,3,"The `null_gross_revenue_amount_count` column exists, indicating potential nulls that need explicit handling in the new calculation., The `financial_week_exclusion_rule` excludes 10.78% of records, which needs careful re-implementation to ensure accuracy and consistency., The `primary_analysis_sql` returning 'no_data' is a critical issue that needs investigation, as it suggests the core data for this metric might not be accessible or correctly queried by the dashboard's primary analysis."
Total Revenue (Pacing),"Aggregated revenue figure used for tracking ad sales performance against targets, likely derived from `actual_amount` or `gross_revenue_amount` after applying specific business rules and filters.","The dashboard name 'AdSales Data for Pacing Report' implies this is a core metric. `total_revenue_test` and `total_revenue_positive_test` passed, suggesting the current calculation yields valid positive results. The data is heavily focused on FY2025, covering all 52 financial weeks, indicating its relevance for current pacing.",Unified_AdSales_Pacing_Revenue,"As a primary metric for a 'Pacing Report', this metric is critical for business operations. Consolidating it ensures that the definition of 'pacing revenue' is consistent across all reporting tools and aligns with the broader finance model, enabling accurate performance comparisons and forecasting.","Aggregate the relevant revenue column (e.g., `gross_revenue_amount` or `actual_amount`) applying all relevant filters and business rules, including the `financial_week_exclusion_rule` and `sundry_adsales_overlay_data_test`. The specific source column needs to be identified.","Compare the `Unified_AdSales_Pacing_Revenue` against the existing dashboard's reported pacing figures for FY2025. Validate that all applied business rules (e.g., exclusions) result in the same record counts and revenue totals. Ensure the metric remains positive.",high,2,[],"The primary revenue metric used for ad sales pacing, representing the actual recognized revenue for the current fiscal year (FY2025), adjusted by all applicable business rules, exclusions, and overlays to reflect true pacing performance.","The dashboard processes 5.8M records for FY2025, indicating a robust dataset for pacing analysis. The presence of `unique_revenue_subtypes` (5) suggests that the total revenue might be an aggregation across these subtypes.","[""The `primary_analysis_sql` returning 'no_data' is a significant concern, as it directly impacts the ability to derive or validate the core pacing metric from the automated analysis."", 'Dependence on complex business rules like `financial_week_exclusion_rule` (89.22% pass rate) means any misinterpretation during migration could lead to discrepancies in pacing figures.', ""The dashboard's focus solely on FY2025 implies a need to ensure historical pacing data is handled correctly if consolidated with other dashboards that have longer historical ranges.""]","SUM(CASE WHEN NOT (financial_week_exclusion_rule_condition) AND NOT (sundry_adsales_overlay_condition) THEN COALESCE(actual_amount_or_gross_revenue_amount, 0) ELSE 0 END)",24,3ee20092-1897-49b7-8bcd-4157d5f816eb,0,,3,"The `primary_analysis_sql` returning 'no_data' is a significant concern, as it directly impacts the ability to derive or validate the core pacing metric from the automated analysis., Dependence on complex business rules like `financial_week_exclusion_rule` (89.22% pass rate) means any misinterpretation during migration could lead to discrepancies in pacing figures., The dashboard's focus solely on FY2025 implies a need to ensure historical pacing data is handled correctly if consolidated with other dashboards that have longer historical ranges."
"Scenario-based Amounts (total_actual_amount, total_estimate, total_budget_amount, total_forecast_amount)","Direct sums of amounts for different financial scenarios (Actual, Estimate, Budget, Forecast). Sample data shows 'Estimate' and 'Budget' as distinct scenarios with associated counts.","The primary analysis sample data explicitly shows `scenario_dimension` ('Estimate', 'Budget') with `count_by_scenario` and `total_records_count`. This confirms that different financial scenarios are treated as distinct categories, and their associated values (which are not directly shown in the sample but inferred from column names like `total_estimate`, `total_budget_amount`) are likely separate columns. The structure analysis confirms 5 unique scenarios.",Unified_Financial_Amount,"These metrics represent different 'versions' or 'scenarios' of a core financial amount. Consolidating them into a single `Unified_Financial_Amount` column, categorized by a `Scenario_Type` dimension, will simplify data models, reduce redundant calculations, and enable more flexible analysis (e.g., comparing Actual vs. Budget directly).","Pivot scenario-specific amount columns (`total_actual_amount`, `total_estimate`, `total_budget_amount`, `total_forecast_amount`) into two columns: `Scenario_Type` (e.g., 'Actual', 'Estimate', 'Budget', 'Forecast') and `Unified_Financial_Amount`. Ensure all amounts are in a consistent unit (e.g., base currency, not 'k').","SELECT Scenario_Type, SUM(Unified_Financial_Amount) FROM consolidated_finance_fact GROUP BY Scenario_Type HAVING SUM(Unified_Financial_Amount) = (SELECT original_sum_for_scenario FROM original_dashboard_source WHERE scenario = Scenario_Type); Check that the sum of `Unified_Financial_Amount` for each `Scenario_Type` matches the original dashboard's corresponding total.",high,1,[],"The monetary value associated with a specific financial scenario (e.g., Actual, Budget, Estimate, Forecast) for a given period and dimension.","The sample data shows `count_by_scenario` for 'Estimate' (4,692,874) and 'Budget' (34,285) out of a `total_records_count` (4,767,546). This implies a significant difference in the volume of records associated with each scenario, which needs to be considered during pivoting to ensure correct aggregation.",[],CASE WHEN scenario_type = 'Actual' THEN total_actual_amount WHEN scenario_type = 'Estimate' THEN total_estimate WHEN scenario_type = 'Budget' THEN total_budget_amount WHEN scenario_type = 'Forecast' THEN total_forecast_amount ELSE NULL END,26,52dd1ac1-19b5-4695-a7e6-632ef7a9dba3,0,,0,
"Gross Revenue (total_gross_revenue_amount, cy_gross_revenue_amount, ly_gross_revenue_amount, total_current_fy_gross_revenue, total_previous_fy_gross_revenue)","Various calculations of gross revenue, potentially filtered by current/last financial year or other conditions. Some metrics are suffixed with '_k' indicating thousands (e.g., `ly_gross_revenue_amount_k`).","The presence of both `total_gross_revenue_amount` and `ly_gross_revenue_amount_k`/`cy_gross_revenue_amount_k` indicates a unit inconsistency (some values are in thousands, some are not). The business rules data explicitly mentions `records_not_divided_by_1000` and `records_divided_by_1000`, confirming this issue. This is a critical data quality and consistency problem.",Gross_Revenue_Amount,Standardize the definition and unit of gross revenue across all financial reporting. Eliminate redundant metrics that only differ by time context (current/previous year) or unit (k vs. actual). Time context should be handled by date dimensions and relative period calculations.,"Define a single `Gross_Revenue_Amount` metric. For any source metric suffixed with '_k', multiply by 1000 to convert to base currency. Ensure all gross revenue calculations align to a single business definition. Time-relative metrics (`current_fy_`, `previous_fy_`) should be derived at query time using a `Date` dimension and `relative_fy_year_offset`.",SELECT SUM(Gross_Revenue_Amount) FROM consolidated_finance_fact WHERE fiscal_year = 'FY2025' AND scenario_type = 'Actual' = (SELECT SUM(gross_revenue_by_transaction_status_fy2025) FROM original_dashboard_source); Validate total gross revenue for specific years and scenarios. Check that `Gross_Revenue_Amount` is always positive (`gross_revenue_positive_test` is a validation check).,high,2,[],"The total revenue generated from sales before any deductions for returns, allowances, or discounts, consistently reported in base currency units.","No direct sample values for revenue amounts are provided, but the existence of `_k` metrics and the business rule `records_not_divided_by_1000` strongly suggest that unit standardization is a primary concern. This will require careful review of source data to determine the correct scaling factor for each metric.","['Inconsistent units for gross revenue metrics (some in thousands, some not).', 'Potential for misinterpretation due to multiple similar-sounding gross revenue metrics.']",CASE WHEN current_metric_name LIKE '%_k' THEN original_value * 1000 ELSE original_value END,26,52dd1ac1-19b5-4695-a7e6-632ef7a9dba3,0,,2,"Inconsistent units for gross revenue metrics (some in thousands, some not)., Potential for misinterpretation due to multiple similar-sounding gross revenue metrics."
