dashboard_id,dashboard_name,consolidation_priority,key_synthesis,response_id
e2102eb1-8bdb-4df7-b3ea-e72481f1bb55,Verity 2.0 Geelong Advertiser: Sunrise Report (Click here to access the full report),low,"The 'Verity 2.0 Geelong Advertiser: Sunrise Report' dashboard is highly focused, featuring a single, high-criticality KPI ('Total C-Score Target') derived from a straightforward aggregation of a reference table. This inherent simplicity and direct data sourcing contribute to its high initial consolidation score (6). While the underlying SQL appears clean and simple, the critical absence of SQL query execution summary data prevents a comprehensive validation of the metric's live performance, data volume, and consistency. This lack of live data is the primary area for immediate investigation, despite the apparent simplicity and good consolidation of the metric definition itself.",10
8ae7916a-45c9-4713-8d46-e3470805c7f6,NewsQuery Cost Operation Dashboard,high,"The analysis is significantly constrained by the absence of live SQL query execution data, preventing direct validation of metric outputs. However, a review of the provided SQL logic reveals critical anti-patterns and potential logical errors. Most notably, the 'PII Data Access Events' metric includes a `LIMIT 1` clause on a `COUNT(*)` aggregation, which will fundamentally misrepresent the actual count of events. Additionally, both metrics exhibit hardcoded values and complex filtering logic that could benefit from consolidation into shared lookup tables or more robust, dynamic parameterization, aligning with the dashboard's low initial consolidation score (3).",11
06bf534b-be32-4ebe-9013-fee9a581dcd6,Verity 2.0 NSN,high,"The dashboard 'Verity 2.0 NSN' exhibits significant opportunities for consolidation and refactoring. A critical observation is the complete absence of SQL query execution summary data, which prevents validation of metric assumptions against live performance or result sets. However, the detailed metric definitions reveal pervasive anti-patterns, including extensive duplication of complex SQL logic (especially for newsletter-related metrics), heavy reliance on hardcoded `REGEXP_CONTAINS` patterns for categorization and filtering, and hardcoded dates for target metrics. These issues indicate a high maintenance burden, potential for inconsistencies, and a lack of a centralized data model or reusable components.",12
6c8affc5-3d5f-4481-a0ff-d3f6b4cec4a8,Verity 2.0 The Australian Daily,high,"The initial AI analysis reported a high consolidation score (8) and zero governance issues for this dashboard. However, a detailed review of the metric SQL logic reveals significant anti-patterns, specifically the repeated use of identical SQL queries with only hardcoded date filters changing. This directly contradicts the reported high consolidation and absence of governance issues, indicating a strong need for metric consolidation and parameterization. The absence of SQL query execution summary data prevents validation of live performance or data consistency, limiting the depth of this analysis.",13
bd697806-2124-441a-b991-fdf075461dbf,Genome - Herald Sun engagement,high,"The dashboard's metrics are well-defined in terms of business descriptions and appear to follow a consistent naming convention. However, the absence of live SQL execution data prevents validation of actual performance or data integrity. A critical anti-pattern identified is the hardcoded date range in the 'HS Masthead' metrics, rendering them static and not suitable for ongoing monitoring. Furthermore, the SQL logic for different mastheads ('AA', 'HS', 'TA') is highly repetitive, relying on hardcoded string filters for masthead, member type, customer type, and classification, indicating a significant opportunity for consolidation and parameterization to improve maintainability and scalability.",14
3da46266-c061-46a2-95df-5c4486efd89c,Last 6 months - highest subscriber usage - PII removed,high,"The dashboard, despite its name 'Last 6 months - highest subscriber usage', relies heavily on hardcoded future `YearMonth` filters (e.g., '2025-06', '2025-01', '2025-02') across almost all its metrics. This renders the dashboard static and unable to dynamically reflect 'Last 6 months' data without manual updates, directly contradicting its implied purpose. The initial AI analysis reported 'total_governance_issues: 0', which is inaccurate given the prevalence of hardcoded logic and complex `CASE` statements for categorization. A significant concern is the dashboard's name stating 'PII removed' while several metrics explicitly use `DETERMINISTIC_DECRYPT` on `email` and reference `PCSID`, suggesting potential PII handling. The absence of `sql_execution_summary` data prevents validation of query performance or actual results, making it impossible to confirm if the queries are even returning data for these future dates.",15
47854b57-024a-4188-adec-cb2f68607208,NewsQuery Overview ,high,"The 'NewsQuery Overview' dashboard, while having a moderate consolidation score, presents a critical issue in its high-criticality KPI, 'Count of Tables by Usage/Load Status (SDM Data Layer)'. This metric's SQL logic relies on a hardcoded future date (2025-07-09) for all its time-based calculations, rendering it static and ineffective for real-time or ongoing operational monitoring of table usage and load status. This directly contradicts its stated business purpose of identifying stale or underutilized tables dynamically. The absence of any SQL execution summary data prevents live validation of query performance or results, indicating a significant gap in observability that requires immediate investigation.",16
76614538-e13f-4fd7-b6f2-f23a1ce65e1b,Postcode paid subscriber lookup - Genome data - draft,high,"The dashboard, despite having a reported consolidation score of 7, presents significant opportunities for architectural improvement and consolidation. Two of its three key metrics are nearly identical, differing only by hardcoded dates, which indicates a lack of dynamic parameterization and leads to redundant metric definitions. A critical observation is the complete absence of SQL query execution data, which prevents any validation of live query performance, cost, or potential runtime errors, making it an immediate area for investigation.",17
7888a780-7777-411b-b07b-398b87d2cfd0,Newpass reporting,high,"The analysis is significantly limited by the absence of live SQL query execution data, preventing validation of metric performance or identification of data mismatches. However, based on the provided metric definitions, the dashboard presents a clear opportunity for consolidation. Both metrics, 'Total Acquisitions by Product, Offer, and Source Dimensions' and 'Total Acquisitions (Excluding The Australian Product)', derive from the same base table (`t_newspass_crm_coversion_myaccount_fct`) and the same core measure (`acquisition_count`). The latter metric is merely a filtered version of the former, indicating that they could be consolidated into a single, more flexible base metric with dynamic filtering capabilities, reducing redundancy and improving maintainability.",18
3f48ba44-14ba-4a43-b02c-7700d0f49c0b,Kidspot Weekly Update,high,"The 'Kidspot Weekly Update' dashboard, despite its low metric count (2) and initial low consolidation score (2), presents a high consolidation priority due to critical hardcoded date ranges within both metric SQL definitions. This design choice renders the dashboard static and effectively useless for ongoing weekly updates without manual intervention, directly contradicting its 'Weekly Update' purpose. The complete absence of `sql_execution_summary` data prevents any validation of query performance, data volume, or potential runtime errors, highlighting a significant gap in observability. The dashboard's current state suggests it functions more as a historical snapshot than a dynamic reporting tool, necessitating immediate refactoring to incorporate dynamic date parameters for true utility and maintainability.",19
bac3734e-7fa0-4c2e-aee2-5547277d21f3,EIC Weekly Newsletter Dashboard,high,"The dashboard, despite its name 'EIC Weekly Newsletter Dashboard' implying dynamic weekly reporting, relies heavily on hardcoded date ranges for all its metrics. This fundamentally limits its utility as a 'weekly' dashboard and necessitates manual updates or re-creation for each new reporting period. Furthermore, specific brand and email filters are hardcoded into individual metrics, leading to significant SQL repetition and hindering true metric reusability. The initial AI analysis's 'consolidation_score' of 8 appears misleading given these hardcoding patterns. The absence of SQL execution summary data prevents validation of query performance or actual data results, leaving critical gaps in the analysis.",20
b1c5901f-a535-42eb-870d-05cc025f7c27,OS extract for month end rec,high,"The dashboard 'OS extract for month end rec' is designed for highly specific financial reporting, evidenced by metrics like 'Budget Amount (FY2025, Week 4, News Media Publishing, Revenue/Expenses)'. While the initial AI analysis assigned a high consolidation score (8), a deeper dive into the SQL reveals that the primary measures (`Budget Amount`, `Actual Amount`) are heavily hardcoded with specific fiscal years, weeks, and business units. This approach, while potentially consolidating specific 'extracts' onto one dashboard, leads to a lack of reusability and scalability for the underlying metric definitions. The repeated, complex subquery logic for calendar and period control across multiple metrics further indicates an opportunity for architectural consolidation and improved maintainability. The absence of SQL execution summary data means observations are based solely on static SQL analysis.",21
0f03691d-f6b8-4313-bfd9-a5fb1e6dedab,IP Engagement Report,high,"The 'IP Engagement Report' dashboard exhibits a high degree of data source consolidation, with all metrics drawing from a single fact table (`b2b_ipsubscriber_engagement_fct`). However, this consolidation is significantly undermined by extensive hardcoding of client names, specific date ranges, and brand exclusions directly within individual metric SQL queries. Crucially, the presence of a `LIMIT 1` clause in *all* metric queries directly contradicts the stated business descriptions that these metrics are 'often analyzed by' various dimensions (e.g., visit hour, client, industry, device type). This indicates that the current metric definitions are not suitable for dynamic slicing and dicing, severely limiting the dashboard's analytical utility and requiring significant refactoring for true reusability and parameterization. The initial AI's high consolidation score (8) likely refers to the single data source, but misses the lack of dynamic parameterization.",22
3c8903a2-8dab-445a-9965-8cc2dbeceb0b,AVP - Video Data Dashboard,high,"The 'AVP - Video Data Dashboard' effectively tracks key video advertising and content metrics. However, a critical observation is the pervasive use of hardcoded exclusion logic for specific ad units across 7 out of 9 metrics. This anti-pattern significantly increases maintenance overhead and the risk of data inconsistencies. The absence of any SQL execution summary data is also a major concern, as it prevents validation of query performance, actual data behavior, or identification of potential runtime issues. This lack of operational insight elevates the consolidation priority to high, necessitating immediate investigation into data collection and a strategic refactoring of the hardcoded logic.",23
63f9fc08-acd1-4d1b-866e-5b2050b5093f,Genome - The Daily Telegraph engagement,high,"The dashboard 'Genome - The Daily Telegraph engagement' demonstrates strong consolidation at the data source level, with all five metrics drawing from the same `ncau-data-newsquery-prd.asl_audience_insights.subscriber_base_agg` table. This is a positive indicator for data governance and consistency. However, a critical anti-pattern observed is the pervasive use of hardcoded `report_date` values across almost all metrics, with each metric using a *different* static date. This severely limits the dashboard's utility for showing current or trending data and necessitates manual updates. Furthermore, there's an inconsistency in filtering for 'Print-only' subscribers across related metrics, which could lead to definitional discrepancies. The absence of live SQL execution data (`sql_execution_summary` was empty) prevents validation of query performance or actual data output, highlighting a crucial area for further investigation into the data pipeline and dashboard's operational health.",24
8ef11f47-cddf-481d-aad5-5d643a5a6031,Registration Journey Data Product,high,"The 'Registration Journey Data Product' dashboard, while having a high initial consolidation score, exhibits significant underlying data consistency issues and anti-patterns. Multiple metrics rely on repeated, complex SQL logic and hardcoded `CASE` statements for masthead and brand categorization. Critically, there are direct contradictions in how mastheads are grouped into 'Food Brands' and 'Lifestyle Brands' across different metrics, leading to potential misreporting and a lack of a single source of truth for these business definitions. The absence of `sql_execution_summary` prevents validation of live data behavior, but the static SQL analysis reveals a high need for refactoring and governance. The initial AI analysis stating '0 governance issues' is inaccurate given these findings.",25
2dfb1b58-42eb-44cb-b550-66469ae7df3c,Data Load Checks,high,"The 'Data Load Checks' dashboard, while having a good initial consolidation score, suffers from a critical anti-pattern: pervasive hardcoding of dates and specific filter values within its metric definitions. This makes the dashboard's metrics static and not reflective of current data load statuses. For instance, metrics are querying data from April/June 2025, whereas the live data execution summary indicates recent data from September 2025. This discrepancy severely limits the dashboard's utility for ongoing data load monitoring and reduces the reusability of its underlying metrics, necessitating a high consolidation priority to implement dynamic filtering.",26
5a9f9224-1cf1-48ec-a970-02bf9884b070,NTTM migrations and cancellations,high,"The dashboard, 'NTTM migrations and cancellations', initially received a high consolidation score (8), likely due to its reliance on a single core dataset (`prstn_consumer.subscription_movement` and `prstn_consumer.subscription_base`). However, a deeper analysis of the underlying SQL logic reveals significant fragmentation and anti-patterns in metric definitions. Multiple metrics employ extensive hardcoded date ranges, specific source codes, and lengthy 'IN' clauses for reason descriptions. This indicates a lack of logical consolidation and parameterization, making the dashboard brittle, difficult to maintain, and prone to errors when business rules or data values change. The absence of a `sql_execution_summary` prevents validation against live query performance or data consistency, highlighting a critical area for investigation.",27
a96a5942-b538-4aba-83cb-d4f16db9a59d,Code App quick look,medium,"The dashboard's initial AI analysis accurately describes its single metric. However, a deeper dive into the SQL logic reveals significant hardcoding, particularly for the report date and masthead identification, which severely limits the dashboard's dynamic utility and maintainability. Crucially, the absence of SQL execution summary data prevents any validation of the metric's live performance or data integrity, raising a critical area for investigation.",28
9269e9c6-1ad0-4415-96c3-aca8a710ba01,Team Sales Performance - FY26 (Interim),high,"The 'Team Sales Performance - FY26 (Interim)' dashboard, while initially assessed with a good consolidation score, presents significant maintainability and accuracy risks due to highly complex and hardcoded logic within its 'Conditional Gross Revenue' metric. The use of a fixed timestamp for date calculations and hardcoded lists for business categories (publication names, sales segments, advertiser parents) directly contradicts the dynamic nature implied by 'FY26 (Interim)' and will lead to data inaccuracies over time without constant manual intervention. The complete absence of live SQL execution data prevents any validation of query performance or actual data output, highlighting a critical gap in the current analysis and raising immediate concerns about the dashboard's operational health and reliability.",29
a474edd4-1aa9-4609-97ed-5d04f19dba9b,Governance Dashboard (MGR-TechM)[Data Portfolio] V2.1,high,"The analysis is significantly impacted by the absence of live SQL query execution data, which prevents direct validation of metric assumptions against runtime behavior. However, based on the provided metric definitions, the dashboard demonstrates good consolidation around a primary source table (`v_servicenow`) for most metrics. A critical observation is the pervasive inclusion of `LIMIT 1` in all metric SQL queries. This fundamental flaw would severely restrict the data returned to Looker Studio, rendering the dashboard largely non-functional for its stated analytical purposes (e.g., time-series analysis, aggregations). This functional impediment elevates the consolidation priority to 'high' due to the immediate need for remediation to ensure data accuracy and usability. While some hardcoded logic exists for priority and caller categorization, the adoption of an external lookup table for incident subject categorization is a positive indicator of good data modeling practice.",30
fed70b12-c274-4cde-9920-592ca4c4dab0,Independent Agency Report,high,"The 'Independent Agency Report' dashboard, while rated high in consolidation, contains a critical hardcoded date within its 'Previous FY YTD Gross Revenue (Adjusted)' KPI. This renders a high-criticality metric inaccurate for dynamic year-to-date comparisons. Additionally, the financial quarter logic relies on a hardcoded CASE statement, which is a common anti-pattern for financial reporting. The absence of SQL execution summary data prevents validation of query performance and actual data values, highlighting a gap in observability for this finance-domain dashboard.",31
abca77ac-e6e3-44ab-8cd9-64f1064d04fd,Mutti Rebranding,high,"The dashboard 'Mutti Rebranding' exhibits a high degree of hardcoded logic, particularly for date ranges and specific rebranding initiatives ('mutti'). Despite an initial consolidation score of 8, the detailed metric analysis reveals significant opportunities for further consolidation by leveraging Looker Studio's dynamic filtering capabilities (e.g., date range controls, dimension filters). The absence of SQL execution summary data prevents validation of query performance or actual data output, leaving critical areas for investigation regarding data integrity and efficiency.",32
3a820eee-f69e-403d-a972-29c4529ec582,Verity 2.0 Weekly performance report: DT & ST,high,"The dashboard's initial AI analysis reported a high consolidation score (5), however, a deeper review of the detailed metric SQL reveals a significant anti-pattern of de-consolidation. All four metrics are essentially variations of two base metrics ('C-Score Target' and 'Daily Website Target') with hardcoded date ranges and specific filters. This design choice necessitates manual updates for each reporting period, severely impacting maintainability and scalability. The absence of SQL execution summary data prevents validation against live query performance or results, limiting the analysis to theoretical code review.",33
9c992f02-f13b-4c32-a400-90135fdff180,Verity 2.0 - TAUS Wealth Last Week,high,"The dashboard 'Verity 2.0 - TAUS Wealth Last Week' exhibits a high degree of hardcoding, particularly for date ranges and categorical filters, across all its metrics. This leads to multiple, near-identical metrics that could be consolidated into fewer, more dynamic metrics using parameters. The absence of SQL execution data prevents validation of these metrics against live results, but the structural issues in the SQL logic are clear. The initial consolidation score of 7 suggests a significant need for improvement, which is strongly supported by the detailed metric analysis.",34
f8b92c6c-021f-47fc-b373-ad37503303c9,The Australian Business Network dashboards,high,"The dashboard's metrics, while seemingly consolidated based on the initial score, exhibit significant anti-patterns in their SQL logic, including deeply nested subqueries, convoluted date parsing, and hardcoded filters. Crucially, the SQL execution summary is empty, preventing live data validation and raising concerns about the dashboard's operational health or the analysis pipeline itself. A critical issue is the 'Record Count of Targets' metric, which is filtered for a future date, likely rendering it uninformative.",35
df9ff24e-bc0e-41ae-ae42-6b52502b3c25,CentOs to RockyLinux migration report [PRD],high,"The dashboard's metrics, while well-defined in their business descriptions, suffer from significant SQL code duplication across multiple measures. A complex subquery for filtering and deduplicating Airflow DAG run data is repeated verbatim in 9 out of 13 metrics. This indicates a strong need for a consolidated data model or common table expressions (CTEs) to improve maintainability, performance, and ensure data consistency. Furthermore, the absence of live SQL execution data prevents validation of these complex queries against actual runtime performance or data consistency, making the identified code duplication a critical area for immediate attention.",36
b7e81310-51c9-4095-a2d9-7b1ad2e25504,Leader: My week last week,high,"The dashboard 'Leader: My week last week' was initially assessed with a high consolidation score (8). However, a detailed review of its metrics reveals a significant anti-pattern: three distinct 'Events by Dimension' metrics are present, each hardcoded to a specific week in 2025. This design choice directly contradicts the principle of consolidation, as a single, parameterized metric with dynamic date filtering would be far more efficient and maintainable. This indicates a high priority for consolidation efforts to improve reusability and reduce metric sprawl. Furthermore, the absence of SQL execution summary data prevents any validation of metric performance, query costs, or actual data consistency, highlighting a critical area for immediate investigation.",37
858161fd-9f14-4882-b218-2190b7325229,REA/RCA Referral Report,high,"The 'REA/RCA Referral Report' dashboard, while having a high consolidation score (8) in its initial summary, exhibits several opportunities for improved data governance and consolidation at the metric level. Key metrics like 'REA News.com.au Traffic Visits' and 'RCA Total Traffic Visits' rely heavily on hardcoded string values for filtering, indicating a potential for maintenance overhead and lack of reusability. Similarly, 'Transformed NCAU Brand' uses a hardcoded CASE statement for display logic. The absence of `SQL Query Execution Summary` data prevents validation of these hardcoded assumptions against live data and the identification of runtime issues or data mismatches. The use of `LIMIT 10` in dimension definitions is also an anti-pattern for production metrics.",38
873c6df9-9e76-46fd-ac4d-c35588976095,"Cases & Booking Test Report - Operational - 14/03/2025, 18:00",high,"The dashboard's metrics, while seemingly consolidated at a high level (indicated by a consolidation score of 8), exhibit significant anti-patterns in their underlying SQL logic. All 8 metrics share an almost identical, complex Common Table Expression (CTE) for `RankedCases`. This repetition indicates a severe lack of data model consolidation and reusability at the SQL level, leading to potential performance inefficiencies, increased maintenance burden, and a higher risk of inconsistencies. Furthermore, the absence of live SQL execution data prevents validation of assumptions or identification of runtime issues, necessitating immediate investigation.",39
f5afdb43-bb70-48be-a049-79cf77f7c6a6,Verity 2.0 The National News Network Weekly,high,"The 'Verity 2.0 The National News Network Weekly' dashboard is critical, with all 4 metrics identified as KPIs and having high business criticality. However, a significant observation is the complete absence of SQL query execution summary data, preventing validation of the provided SQL logic against live performance or results. A primary anti-pattern identified across all metrics is the use of hardcoded date ranges, which severely limits the dashboard's dynamic utility and requires manual updates. Additionally, string-based filtering using `STRPOS` for key dimensions like 'customer type' and 'masthead' could indicate a need for more robust, standardized lookup values or direct equality checks for improved maintainability and performance.",40
80ca81f3-0671-40ef-a0a9-825a1580ca1b,Team Sales Performance,medium,"The 'Team Sales Performance' dashboard, while having a low number of metrics and sourcing from a single table, exhibits a significant anti-pattern in its dimension definitions. The 'Advertiser Name (Filtered by Portfolio)' metric relies on hardcoded values for filtering, which severely impacts its maintainability and reusability, contradicting the initial high consolidation score. The absence of SQL query execution summary data prevents validation of metric performance or data integrity against live results, necessitating further investigation into data pipeline health.",41
eb93c6d9-ab5b-47bb-8acd-3cc0f3978a8b,Video Data Dashboard - development v1,high,"The dashboard's metrics consistently apply a hardcoded exclusion filter for specific ad unit names, which is repeated across all defined metrics. While the initial analysis indicates a high consolidation score (8), this pervasive hardcoded logic contradicts that from a code maintainability and governance perspective. The absence of live SQL execution data prevents validation of metric performance or data accuracy, making it a critical area for investigation. The repeated logic for deriving event counts also presents an opportunity for data model optimization.",42
c4355ac4-14e3-42a0-ae17-f706fa774b3b,Election Reporting,high,"The dashboard's initial analysis reports a high consolidation score (8/10), but a deeper dive into the detailed metric SQL reveals critical issues that render the dashboard non-functional for live reporting. All metrics and dimensions include a 'LIMIT 1' clause, which fundamentally breaks aggregation for counts and prevents dimensions from returning multiple values for grouping or filtering. Furthermore, all queries are hardcoded to a specific future date range (January to April 2025), making them irrelevant for current data. The absence of `sql_execution_summary` prevents validation against live query performance or results, but the inherent flaws in the SQL logic itself are severe. The repeated hardcoded lists of websites and varying hardcoded end dates across metrics indicate a lack of parameterization and potential for inconsistency.",43
c560ed20-040d-4c6a-9c3f-ec8bce27d132,Xtend Details,high,"The analysis is severely hampered by the absence of live SQL execution data, preventing validation of the dashboard's metrics against actual query performance or results. However, a critical anti-pattern was identified in the SQL definitions for all dimensions: they incorrectly use `LIMIT 1`. This design flaw will prevent the dashboard from displaying a full range of values for these dimensions, rendering time-based analysis (year, quarter, load datetime) largely dysfunctional. Additionally, the primary revenue metrics exhibit duplicated hardcoded filtering logic, indicating a potential for maintenance overhead and inconsistency.",44
d3723d73-7698-4fc2-b998-157308d5353f,CDP Ph3 Derived dimensions - subscriber_value_group,low,"The dashboard exhibits strong logical consolidation, with all five metrics sourcing data from the same `subscription_base` table and four out of five metrics applying identical filtering logic for 'active, paying' subscribers. This indicates a well-structured dashboard in terms of data sourcing. However, the absence of live SQL execution summary data prevents a comprehensive validation of these metrics against actual query performance or potential data discrepancies, making it impossible to confirm if the theoretical consolidation translates into optimized live performance or accurate results.",45
77c68c35-20ce-477a-b216-0c781d43a8ca,Cecile - Adsales Adhoc Analysis,medium,"The analysis of the 'Cecile - Adsales Adhoc Analysis' dashboard is significantly constrained by the absence of live SQL execution data. This prevents validation of metric assumptions against actual results and identification of data discrepancies. Based solely on the provided metric definitions, several anti-patterns related to hardcoded values and duplicated filtering logic were identified. While the dashboard's reported consolidation score is good (7), the underlying metric SQL suggests opportunities for improved code consolidation and reusability, particularly in shared filtering criteria. A highly unusual aggregation (summing financial week IDs) also warrants immediate investigation.",46
be89856b-4177-42f1-8cb6-50cdde0d516c,Network Module- Engagement ( version 1.0),high,"The dashboard exhibits a high degree of base metric reuse (e.g., 'total_page_bounces', 'unique_visits'), which contributes to its reported 'consolidation score' of 8. However, the implementation of these metrics is highly fragmented and hardcoded. All metrics are tied to specific, hardcoded date ranges (e.g., June 2025, July 2025, April 2025), requiring manual updates for each reporting period. This significantly increases maintenance overhead and the risk of data staleness or errors. Furthermore, there is a direct duplication of an identical metric definition (`unique_visits_by_source_july2025` and its alias), indicating a lack of robust metric governance. The initial AI analysis reported '0 governance issues', which is contradicted by the detailed metric review, highlighting a gap in automated detection of hardcoded logic and duplication.",47
dcaf9349-5068-4b74-8073-0b6c1cb56435,CTO Dashboard ,high,"The analysis of the 'CTO Dashboard' reveals significant opportunities for consolidation and improvement in SQL coding practices. Crucially, the `sql_execution_summary` was empty, preventing direct validation of metric outputs against live data. This absence means the analysis relies solely on the provided SQL logic and metadata. Based on the SQL, a pervasive anti-pattern of hardcoded values (table names, date ranges, status definitions) and duplicated complex logic for data quality checks was identified across multiple metrics. This indicates a high need for refactoring into shared views or a more robust data quality framework to enhance maintainability, scalability, and accuracy.",48
