metric_id,issue_type,description,code_snippet,recommendation,response_id,dashboard_id
comparison_type_budget,Hardcoded Logic,"This metric, along with `comparison_type_forecast`, `gross_cancellations_label`, and `gross_acquisitions_label`, uses a `CASE` statement with a condition that is always true (e.g., `1 = 1` or `2 = 2`), effectively hardcoding the output to a single, constant string value. This means these metrics function purely as static labels rather than dynamic dimensions that could be used for filtering or comparison.",SELECT MIN(CASE WHEN (1 = 1) THEN 'BUD' WHEN (1 = 2) THEN 'FCT' WHEN (1 = 3) THEN 'YOY' WHEN (1 = 4) THEN 'BUD NY' ELSE NULL END),"If these are intended to be static labels, they should be defined as simple string literals or parameters directly within Looker Studio, rather than complex SQL queries. If they are meant to represent dynamic scenarios or types, their values should be derived from actual data columns or a lookup table.",2,5dae02f0-dc48-418c-bdf9-5e5d2b1d6e26
closing_base_fy2025_bmasnap_close_metros,Hardcoded Logic,"The metric's SQL hardcodes specific `table_union_source` values (`'bmasnap_close', 'SC - CODE Manual APLS', 'SC Manual APLS'`) within its `WHERE` clause. This makes the query inflexible and brittle, as any changes to source names or the addition of new sources would require manual updates to this and potentially other similar metrics.","t0.table_union_source IN ('bmasnap_close', 'SC - CODE Manual APLS', 'SC Manual APLS')","Centralize the definition of valid `table_union_source` values, possibly in a configuration table or a view. For dashboard interactivity, consider implementing a Looker Studio parameter or filter control for `table_union_source` to allow users to dynamically select sources.",2,5dae02f0-dc48-418c-bdf9-5e5d2b1d6e26
earned_amount_nf_or_base_conditional_metros,Anti-Pattern,"This metric, and `closing_base_or_forecast_by_week_fy2025_metros`, uses complex `CASE` statements within `SUM` to conditionally aggregate different columns (e.g., `NFEarnedAmount` vs `EarnedAmount`, `ClosingBase` vs `ForecastClosingBase`) based on `fy_year`, `fy_week_of_year`, and `table_union_source`. While functional, this indicates a potentially un-normalized or overly complex data model for financial reporting, making the logic difficult to read, maintain, and scale.",SUM(CASE WHEN ((t0.fy_year <= 2024 AND t0.table_union_source = 'nfmanualhist') OR (t0.fy_year > 2024 AND t0.table_union_source = 'subsnapfact')) THEN t0.NFEarnedAmount WHEN ((t0.fy_year <= 2024 AND t0.table_union_source = 'nfmanualhist') OR (t0.fy_year > 2024 AND t0.table_union_source = 'subsnapfact')) THEN t0.EarnedAmount ELSE NULL END),"Review the underlying data model (`dt_digital_subscriptions`) to determine if these different 'types' of earned amounts or closing bases can be unified into a single column with an accompanying 'type' dimension. Alternatively, create separate, clearly defined metrics at the data source level to simplify dashboard-level calculations and improve clarity and performance.",2,5dae02f0-dc48-418c-bdf9-5e5d2b1d6e26
revenue_net_by_transaction_type_grouped,Hardcoded Logic,"The 'Total Revenue Net by Transaction Type Group' metric uses a hardcoded CASE statement to categorize transaction types into 'Guaranteed', 'Deal', or 'Open Auction'. While the `structure_sql` indicates there are currently 9 unique transaction types in the source data, and the `CASE` statement explicitly attempts to map 10 distinct values, this approach is prone to errors if new transaction types emerge or existing ones change their definitions. It also makes updates cumbersome as they require direct SQL modification within the dashboard.","SELECT
  CASE
    WHEN (t0.TransactionType = 'AG' OR t0.TransactionType = 'PG - CPM' OR t0.TransactionType = 'PG - CPD') THEN 'Guaranteed'
    WHEN (t0.TransactionType = 'Deal' OR t0.TransactionType = 'pmp' OR t0.TransactionType = 'PMP_DEAL' OR t0.TransactionType = 'UFR') THEN 'Deal'
    WHEN (t0.TransactionType = 'Open Auction' OR t0.TransactionType = 'RTB' OR t0.TransactionType = 'Unknown') THEN 'Open Auction'
    ELSE SAFE_CAST(t0.TransactionType AS STRING)
  END AS TransactionType_Grouped,
  SUM(t0.RevenueNet) AS Total_Revenue_Net
FROM `ncau-data-newsquery-prd.prstn_advertising.programmatic_60_day_view` AS t0
GROUP BY TransactionType_Grouped
LIMIT 100","Replace the hardcoded CASE statement with a join to a dedicated, governed lookup table for transaction type groupings. This would centralize mapping logic, improve maintainability, and allow for easier updates to business rules without modifying dashboard SQL directly. The lookup table should include all current and future transaction types and their corresponding grouped categories.",3,b15d856f-e3ce-4991-bf2a-92395390524f
gross_revenue_booked_billed_adpt_fy2025_excl_mrca_excl_near_zero_invoice_minus_1,Hardcoded Logic/Anti-Pattern,"This metric, and its counterpart `gross_revenue_booked_billed_multi_source_fy2025_excl_mrca_invoice_minus_1`, hardcode numerous filter values including `source_system_code` ('ADPT' vs. 'PLUTO', 'CPQ', 'ADPT'), `revenue_transaction_status` ('Booked', 'Billed'), `invoice_number` ('-1'), `financial_year` ('2025'), and `source_publishing_division` ('Medium Rare Content Agency'). Additionally, a hardcoded range for excluding near-zero `gross_revenue_amount` is present. This redundancy necessitates creating distinct metrics for minor variations, increasing maintenance overhead and reducing reusability. The `business_rules_sql` confirms the existence of 'Booked' and 'Cancelled' statuses, validating the filter values but not the hardcoding practice.","t0.revenue_transaction_status IN ('Booked', 'Billed') AND (t0.source_publishing_division != 'Medium Rare Content Agency' OR t0.source_publishing_division IS NULL) AND t0.source_system_code IN ('ADPT') AND t0.invoice_number = '-1' AND NOT(t0.gross_revenue_amount BETWEEN -1.000000 AND 1.000000) AND t0.financial_year IN ('2025')","Consolidate similar gross revenue metrics into a single, parameterized metric. Utilize Looker Studio parameters for `source_system_code`, `financial_year`, `invoice_number`, and `revenue_transaction_status`. Define exclusions like 'Medium Rare Content Agency' and 'near-zero amounts' as governed parameters or derived fields if they are subject to change, improving flexibility and reducing metric proliferation.",4,77c68c35-20ce-477a-b216-0c781d43a8ca
sum_financial_week_booked_billed_multi_source_fy2025_excl_mrca_invoice_minus_1,Anti-Pattern/Unusual Aggregation,"The business description explicitly notes that 'Summing week numbers is an unusual aggregation.' While it directly reflects the source query, summing an ordinal value like `financial_week` typically does not yield meaningful business insight. This suggests a potential misunderstanding of the data's appropriate use or a highly specific, non-standard business requirement that warrants further investigation and clear documentation.",SELECT SUM(SAFE_CAST(t0.financial_week AS INT64)),"Engage with business users to clarify the exact intent behind summing financial week numbers. If the goal is to count distinct weeks, use `COUNT(DISTINCT financial_week)`. If it's to identify a specific week, `MIN()` or `MAX()` might be more appropriate. Ensure the business logic is robustly documented and understood, and consider if a different metric or visualization approach would better serve the user's need.",4,77c68c35-20ce-477a-b216-0c781d43a8ca
record_count_finance_os_fiscal_week_202548_51,Hardcoded Logic,"This metric hardcodes specific `fiscal_week_id` values ('202548', '202549', '202550', '202551'). While suitable for a one-off ad-hoc analysis, this approach limits reusability and requires manual updates for future periods, which is inefficient for recurring reports.","t0.fiscal_week_id IN ('202548', '202549', '202550', '202551')","If this metric is part of a recurring report, implement dynamic date filtering using Looker Studio date parameters (e.g., start/end fiscal week) or relative date functions to automatically adjust for current or rolling periods. This would make the metric more robust and reduce maintenance.",4,77c68c35-20ce-477a-b216-0c781d43a8ca
distinct_data_load_datetime_non_digital,Hardcoded Logic/Anti-Pattern,"Similar to other metrics, this dimension hardcodes the `revenue_type` filter ('Digital'). A separate metric (`distinct_data_load_datetime_gl_code_9707_9655_9658`) also hardcodes GL codes. This pattern of creating distinct metrics for minor filter variations on a common dimension (`data_load_datetime`) leads to redundancy.",t0.revenue_type NOT IN ('Digital') OR t0.revenue_type IS NULL,"Create a single 'Distinct Data Load Datetime' dimension. Allow users to apply filters on `revenue_type` or `unified_publication_gl_code` directly on the dashboard using filter controls. If specific filter combinations are frequently used, consider creating calculated fields that encapsulate these common filters rather than separate metrics.",4,77c68c35-20ce-477a-b216-0c781d43a8ca
sum_ss_lgb_cw_media_suddenly_publications,Hardcoded Logic,"This metric hardcodes specific `advertiser_name` ('CW Media Pty Ltd') and `unified_publication_name` ('SUDDENLY.CW', 'SUDDENLY.NORTH'). This makes the metric highly specific to a single advertiser and a predefined set of publications, limiting its general applicability. The `primary_analysis_sql` sample data shows `total_ss_lgb` as `0.0`, which might indicate a lack of data for these specific filters or that the column is often zero.","t0.advertiser_name IN ('CW Media Pty Ltd') AND t0.unified_publication_name IN ('SUDDENLY.CW', 'SUDDENLY.NORTH')","If reporting on specific advertisers or publications is a common requirement, consider using parameters for `advertiser_name` and `unified_publication_name`. Alternatively, if these are part of a defined business group, create a lookup table for 'Key Advertisers' or 'Key Publications' that can be joined or referenced in a more generic metric.",4,77c68c35-20ce-477a-b216-0c781d43a8ca
"fiscal_week_id_dimension, returns_route_volume, draw_route_volume, adjustment_route_volume, total_route_volume_draw_adj_returns, total_charge_amount",Hardcoded Logic,"Multiple core metrics and dimensions within the dashboard are hardcoded to filter data specifically for the fiscal year '2025'. This design choice makes the dashboard static and requires manual updates for each new fiscal year, significantly reducing its reusability and increasing maintenance overhead. The live data confirms that data for '202552' (fiscal week 52 of 2025) is being retrieved, but this hardcoded filter prevents dynamic year selection.","WHERE SAFE_CAST(LEFT(SAFE_CAST(fiscal_week_id AS STRING), 4) AS INT64) = 2025","Implement a dynamic fiscal year parameter (e.g., a Looker Studio control or a BigQuery parameter) that allows users to select the desired fiscal year. Alternatively, integrate a robust calendar dimension that can automatically filter for the current fiscal year or a user-defined period, ensuring the dashboard remains relevant and low-maintenance across fiscal cycles.",5,c441950c-1e3f-432c-9838-847d1d315b9e
publication_name_dimension,Anti-Pattern,"The 'Publication Name' dimension is derived using an extensive and complex `CASE WHEN` statement that maps `gl_publication_code` to human-readable names. This approach is difficult to maintain, prone to errors, and does not scale well as new publications are added or existing codes change. The presence of a string literal ('Post Courier') within a mapping that otherwise uses numeric codes also suggests potential data inconsistencies or an oversight in the mapping logic.","SELECT CASE WHEN SAFE_CAST(ci.gl_publication_code AS STRING) IN ('500', '560') THEN 'ADV' ... WHEN SAFE_CAST(ci.gl_publication_code AS STRING) = 'Post Courier' THEN 'Post Courier' ... ELSE 'Other' END AS publication_name","Create and utilize a dedicated lookup table (e.g., `dim_publication`) in BigQuery that stores `gl_publication_code` and `publication_name` mappings. This dimension table should then be joined to the `v_asl_circualtion_insights` view to retrieve the publication name. This approach centralizes mapping logic, improves data governance, simplifies maintenance, and enhances query performance. Further investigation into the 'Post Courier' string literal is recommended to clarify data type consistency.",5,c441950c-1e3f-432c-9838-847d1d315b9e
total_route_volume_draw_adj_returns,Anti-Pattern,"This key performance indicator (KPI) calculates the total route volume by summing three separate `CASE WHEN` statements for 'DRAW', 'ADJUSTMENT', and 'RETURNS' charge types. This approach is less efficient as it redundantly scans and evaluates the `charge_type` column multiple times within a single aggregation. If the individual route volumes are already calculated or needed elsewhere, this method leads to duplicated logic.",SUM(CASE WHEN ci.charge_type = 'DRAW' THEN ci.route_volume ELSE 0 END + CASE WHEN ci.charge_type = 'ADJUSTMENT' THEN ci.route_volume ELSE 0 END + CASE WHEN ci.charge_type = 'RETURNS' THEN ci.route_volume ELSE 0 END),"Refactor the SQL for this metric. If `draw_route_volume`, `adjustment_route_volume`, and `returns_route_volume` are already defined as separate measures or can be easily aggregated, sum those pre-calculated values. Alternatively, for a single query, use a more concise and efficient `SUM` with a `WHERE IN` clause: `SUM(ci.route_volume) WHERE ci.charge_type IN ('DRAW', 'ADJUSTMENT', 'RETURNS')`. This improves readability and potentially query performance.",5,c441950c-1e3f-432c-9838-847d1d315b9e
"spend_ty_rolling12m, spend_ly_rolling12m, spend_ty_calendar_year, spend_ly_calendar_year, spend_ty_financial_year, spend_ly_financial_year, news_corp_spend_ty_rolling12m, min_date_ly_rolling12m, max_date_ly_rolling12m, min_date_ty_rolling12m, max_date_ty_rolling12m",Anti-Pattern,"Almost all time-based metrics independently calculate the `MAX(date)` from the source table using a `CROSS JOIN` subquery. This leads to redundant computations, increased query complexity, and potential performance bottlenecks, especially as the dataset grows. This pattern is repeated across 11 out of 12 metrics.","CROSS JOIN
  (SELECT MAX(date) AS latest_date FROM `ncau-data-newsquery-prd`.sbx_dcp.adex_datasource WHERE source = 'Adex') AS max_date_cte","Centralize the determination of the `latest_date` into a single, shared view, a dedicated Looker model parameter, or a pre-calculated value. This would eliminate redundant subqueries, improve query performance, and simplify metric definitions across the dashboard.",6,601ed0d2-e944-4189-8170-d593c8e72026
news_corp_spend_ty_rolling12m,Hardcoded Logic,"The 'NEWS CORP Spend' metric specifically filters for 'NEWS CORP' using a hardcoded string within an `IF` statement. The `structure_sql` reveals there are 17 unique media networks in the dataset. This hardcoding is a clear anti-pattern that will lead to metric sprawl and difficult maintenance if similar spend metrics are required for other specific media networks, or if the 'NEWS CORP' string ever changes.","SUM(IF(t.Media_Network = 'NEWS CORP', SAFE_DIVIDE(t.Spend, 1000), 0)) AS news_corp_spend_ty_rolling12m","Parameterize the `Media_Network` filter or create a dimension that allows dynamic filtering by media network. This enables users to select any media network without requiring a new hardcoded metric for each, significantly improving reusability and reducing the total metric count.",6,601ed0d2-e944-4189-8170-d593c8e72026
"spend_ty_calendar_year, spend_ly_calendar_year, spend_ty_financial_year, spend_ly_financial_year, spend_ty_rolling12m, spend_ly_rolling12m",Anti-Pattern,"The date filtering logic for various timeframes (rolling 12 months, calendar year, financial year) is complex and duplicated across multiple spend metrics. This includes repeated use of `DATE_DIFF`, `PARSE_DATE`, `CONCAT`, and `EXTRACT(YEAR)`. This duplication increases the risk of inconsistencies in date definitions and makes it challenging to update or debug time-based calculations.","t.date <= max_date_cte.latest_date AND t.date >= PARSE_DATE('%Y-%m-%d', CONCAT(CAST(EXTRACT(YEAR FROM max_date_cte.latest_date) AS STRING),'-1-1'))","Implement a comprehensive date dimension table that pre-calculates and stores various date attributes (e.g., `is_current_rolling_12m`, `is_last_rolling_12m`, `is_current_calendar_year`, `is_current_financial_year`, `financial_year_start_date`, etc.). This would simplify metric SQL to simple `WHERE` clauses on these pre-calculated flags or attributes, ensuring consistency, improving readability, and easing maintenance.",6,601ed0d2-e944-4189-8170-d593c8e72026
adpoint_account_dimension,Anti-Pattern,"The SQL logic for the 'Adpoint Account' dimension uses `LIMIT 1`. This anti-pattern restricts the metric to returning only a single, arbitrary account ID, preventing the dashboard from displaying a comprehensive list of Adpoint accounts or their mappings. This directly contradicts the dashboard's purpose of 'Debtor to Account Mapping'. Live data from `structure_sql` confirms there are 62,966 unique Adpoint accounts, none of which can be fully explored with the current metric definition.",SELECT t0.Adpoint_Account FROM `ncau-data-newsquery-prd.asl_advertising.v_asl_gbaba_act_xref` AS t0 LIMIT 1,"Remove `LIMIT 1` from the SQL logic. If the intent is to show distinct accounts, use `SELECT DISTINCT t0.Adpoint_Account`. The dashboard design should then be updated to display these accounts in a table or similar visualization that supports multiple records.",7,258a722d-9b6e-45df-ba00-1b9954ec36b2
genera_booking_account_dimension,Anti-Pattern,"Similar to other account dimensions, the 'Genera Booking Account' metric uses `LIMIT 1`. This severely limits its utility, as it will only ever show one Genera Booking Account, even though `structure_sql` indicates 41,427 unique Genera accounts exist. The `primary_analysis_sql` sample data even shows `null` for this field, which is a direct consequence of `LIMIT 1` picking a row without a value, further demonstrating the metric's current ineffectiveness.",SELECT t0.Genera_Booking_Account FROM `ncau-data-newsquery-prd.asl_advertising.v_asl_gbaba_act_xref` AS t0 LIMIT 1,"Remove `LIMIT 1` from the SQL logic. If the intent is to show distinct accounts, use `SELECT DISTINCT t0.Genera_Booking_Account`. The dashboard design should be updated to display these accounts in a table or similar visualization that supports multiple records.",7,258a722d-9b6e-45df-ba00-1b9954ec36b2
medium_rare_debtor_account_dimension,Anti-Pattern,"The 'Medium Rare Debtor Account' metric also suffers from the `LIMIT 1` anti-pattern, preventing a comprehensive view of these accounts. Despite `structure_sql` showing 2,773 unique Medium Rare accounts, the dashboard can only ever display one. The `primary_analysis_sql` sample data showing `null` for this field reinforces the problem of arbitrary sampling due to `LIMIT 1`.",SELECT t0.Medium_Rare_Debtor_Account FROM `ncau-data-newsquery-prd.asl_advertising.v_asl_gbaba_act_xref` AS t0 LIMIT 1,"Remove `LIMIT 1` from the SQL logic. If the intent is to show distinct accounts, use `SELECT DISTINCT t0.Medium_Rare_Debtor_Account`. The dashboard design should be updated to display these accounts in a table or similar visualization that supports multiple records.",7,258a722d-9b6e-45df-ba00-1b9954ec36b2
national_debtor_account_dimension,Anti-Pattern,"The 'National Debtor Account' metric, crucial for debtor mapping, is similarly flawed by the `LIMIT 1` clause. This prevents the dashboard from showing the full scope of national debtor accounts (54,011 unique accounts according to `structure_sql`) or their relationships to other account types. This limitation directly impedes the dashboard's ability to fulfill its 'mapping' objective.",SELECT t0.National_Debtor_Account FROM `ncau-data-newsquery-prd.asl_advertising.v_asl_gbaba_act_xref` AS t0 LIMIT 1,"Remove `LIMIT 1` from the SQL logic. If the intent is to show distinct accounts, use `SELECT DISTINCT t0.National_Debtor_Account`. The dashboard design should be updated to display these accounts in a table or similar visualization that supports multiple records.",7,258a722d-9b6e-45df-ba00-1b9954ec36b2
