interaction_type,primary_metric,related_metrics,relationship_description,mathematical_formula,business_validation,validation_sql,relationship_strength,business_impact,response_id,dashboard_id,related_metrics_count,related_metrics_text
dependency,total_gross_revenue,['gross_revenue_amount_base'],Total Gross Revenue is the sum of the base Gross Revenue Amount.,Total Gross Revenue = SUM(Gross Revenue Amount (Base)),Ensures that the aggregated revenue correctly reflects the sum of individual revenue entries.,"SELECT SUM(gross_revenue_amount) FROM `ncau-data-newsquery-prd.asl_advertising.v_adsales_revenue_client` WHERE relative_fy_year_offset IN (-1, 0, 1)",strong,high,4,e83da1de-4227-43e6-bcc6-73051c66914b,1,gross_revenue_amount_base
dependency,ad_size_category,['adsize_name'],Ad Size Category is a derived dimension based on pattern matching within the adsize_name.,N/A (conditional logic),"Categorizes ad bookings for high-level analysis, ensuring consistent grouping of ad types.","SELECT adsize_name, CASE WHEN SAFE.REGEXP_CONTAINS(LOWER(SAFE_CAST(adsize_name AS STRING)), '^(.*event sponsorship.*)$') THEN 'Sponsorship' WHEN SAFE.REGEXP_CONTAINS(LOWER(SAFE_CAST(adsize_name AS STRING)), '^(.*production.*)$') THEN 'Production' ELSE 'Media' END AS derived_category FROM `ncau-data-newsquery-prd.asl_advertising.v_adsales_revenue_client` LIMIT 100",strong,medium,4,e83da1de-4227-43e6-bcc6-73051c66914b,1,adsize_name
filter_impact,total_gross_revenue,"['financial_year', 'fy_year_month_number', 'revenue_transaction_status', 'booking_name', 'ad_size_category']",Total Gross Revenue is frequently filtered and grouped by these dimensions to provide specific business insights.,N/A,"Allows slicing and dicing of revenue data by time, status, specific campaigns, and ad types.","SELECT financial_year, SUM(gross_revenue_amount) FROM `ncau-data-newsquery-prd.asl_advertising.v_adsales_revenue_client` WHERE financial_year = '2025' GROUP BY 1",strong,high,4,e83da1de-4227-43e6-bcc6-73051c66914b,5,"financial_year, fy_year_month_number, revenue_transaction_status, booking_name, ad_size_category"
hierarchical,total_records,['count_by_scenario'],The sum of 'Count by Scenario' across all distinct scenarios should equal the 'Total Records' in the dataset.,SUM(count_by_scenario) = total_records,Ensures data consistency and that all records are correctly categorized and accounted for within the scenario breakdown.,"WITH
  scenario_sum AS (
    SELECT
      SUM(count_by_scenario) AS sum_of_scenario_counts
    FROM (
      SELECT
        COUNT(1) AS count_by_scenario
      FROM
        `ncau-data-newsquery-prd.asl_finance_derived.digital_subscriptions`
      GROUP BY
        scenario
    )
  ),
  total_records_cte AS (
    SELECT
      COUNT(1) AS total_records
    FROM
      `ncau-data-newsquery-prd.asl_finance_derived.digital_subscriptions`
  )
SELECT
  'Consistency Check: Sum of Scenarios vs. Total Records' AS check_name,
  ss.sum_of_scenario_counts,
  tr.total_records,
  CASE
    WHEN ss.sum_of_scenario_counts = tr.total_records THEN 'PASS'
    ELSE 'FAIL'
  END AS consistency_status
FROM
  scenario_sum ss,
  total_records_cte tr;",strong,high,5,52dd1ac1-19b5-4695-a7e6-632ef7a9dba3,1,count_by_scenario
mathematical_relationship,total_spend_ty_k,['total_spend_ly_k'],Calculates the percentage change in total spend from the last period to the current period.,((total_spend_ty_k - total_spend_ly_k) / total_spend_ly_k) * 100,This relationship is crucial for understanding growth or decline in overall advertising spend.,"WITH
  adex_data AS (
    SELECT
      *,
      FORMAT_DATETIME('%b', DATETIME(date)) AS calendar_month_short_name,
      CAST(FORMAT_DATETIME('%Y', DATETIME(date)) AS INT) AS calendar_year
    FROM
      `ncau-data-newsquery-prd`.sbx_dcp.adex_datasource
    WHERE
      source = 'Adex'
  ),
  TEMP1 AS (
    SELECT
      *,
      (SELECT MAX(date) FROM adex_data) AS latest_date,
      (SELECT MAX(financial_year) FROM adex_data) AS max_fin_year
    FROM
      adex_data
  ),
  pre_aggregated_data AS (
    SELECT
      *,
      CASE 'Rolling 12 months'
        WHEN 'Rolling 12 months' THEN
        CASE
          WHEN DATE_DIFF(latest_date, date, MONTH) <= 11 THEN 'ty'
          WHEN DATE_DIFF(latest_date, date, MONTH) BETWEEN 12 AND 23 THEN 'ly'
          ELSE NULL
        END
        WHEN 'Calendar Year' THEN
        CASE
          WHEN date <= latest_date AND date >= PARSE_DATE('%Y-%m-%d', CONCAT(CAST(EXTRACT(YEAR FROM latest_date) AS STRING),'-1-1')) THEN 'ty'
          WHEN date <= DATETIME_ADD(latest_date, INTERVAL -1 YEAR) AND date >= PARSE_DATE('%Y-%m-%d', CONCAT(CAST(EXTRACT(YEAR FROM latest_date) - 1 AS STRING), '-1-1')) THEN 'ly'
          ELSE NULL
        END
        WHEN 'Financial Year' THEN
        CASE
          WHEN date <= latest_date AND date >= PARSE_DATE('%Y-%m-%d', CONCAT(CAST(max_fin_year - 1 AS STRING),'-7-1')) THEN 'ty'
          WHEN date <= DATETIME_ADD(latest_date, INTERVAL -1 YEAR) AND date >= PARSE_DATE('%Y-%m-%d', CONCAT(CAST(max_fin_year - 2 AS STRING), '-7-1')) THEN 'ly'
          ELSE NULL
        END
        ELSE NULL
      END AS ty_ly_embed,
      SAFE_DIVIDE(Spend, 1000) AS spend_k
    FROM
      TEMP1
  )
SELECT 
  SUM(CASE WHEN ty_ly_embed = 'ty' THEN spend_k ELSE 0 END) AS total_spend_ty_k,
  SUM(CASE WHEN ty_ly_embed = 'ly' THEN spend_k ELSE 0 END) AS total_spend_ly_k,
  SAFE_DIVIDE(SUM(CASE WHEN ty_ly_embed = 'ty' THEN spend_k ELSE 0 END) - SUM(CASE WHEN ty_ly_embed = 'ly' THEN spend_k ELSE 0 END), SUM(CASE WHEN ty_ly_embed = 'ly' THEN spend_k ELSE 0 END)) * 100 AS spend_growth_percentage
FROM pre_aggregated_data
WHERE date >= DATE_SUB(CURRENT_DATE(), INTERVAL 2 YEAR);",strong,high,6,601ed0d2-e944-4189-8170-d593c8e72026,1,total_spend_ly_k
mathematical_relationship,news_corp_spend_ty_k,['news_corp_spend_ly_k'],Calculates the percentage change in News Corp spend from the last period to the current period.,((news_corp_spend_ty_k - news_corp_spend_ly_k) / news_corp_spend_ly_k) * 100,This relationship is vital for assessing the performance of the 'NEWS CORP' media network over time.,"WITH
  adex_data AS (
    SELECT
      *,
      FORMAT_DATETIME('%b', DATETIME(date)) AS calendar_month_short_name,
      CAST(FORMAT_DATETIME('%Y', DATETIME(date)) AS INT) AS calendar_year
    FROM
      `ncau-data-newsquery-prd`.sbx_dcp.adex_datasource
    WHERE
      source = 'Adex'
  ),
  TEMP1 AS (
    SELECT
      *,
      (SELECT MAX(date) FROM adex_data) AS latest_date,
      (SELECT MAX(financial_year) FROM adex_data) AS max_fin_year
    FROM
      adex_data
  ),
  pre_aggregated_data AS (
    SELECT
      *,
      CASE 'Rolling 12 months'
        WHEN 'Rolling 12 months' THEN
        CASE
          WHEN DATE_DIFF(latest_date, date, MONTH) <= 11 THEN 'ty'
          WHEN DATE_DIFF(latest_date, date, MONTH) BETWEEN 12 AND 23 THEN 'ly'
          ELSE NULL
        END
        WHEN 'Calendar Year' THEN
        CASE
          WHEN date <= latest_date AND date >= PARSE_DATE('%Y-%m-%d', CONCAT(CAST(EXTRACT(YEAR FROM latest_date) AS STRING),'-1-1')) THEN 'ty'
          WHEN date <= DATETIME_ADD(latest_date, INTERVAL -1 YEAR) AND date >= PARSE_DATE('%Y-%m-%d', CONCAT(CAST(EXTRACT(YEAR FROM latest_date) - 1 AS STRING), '-1-1')) THEN 'ly'
          ELSE NULL
        END
        WHEN 'Financial Year' THEN
        CASE
          WHEN date <= latest_date AND date >= PARSE_DATE('%Y-%m-%d', CONCAT(CAST(max_fin_year - 1 AS STRING),'-7-1')) THEN 'ty'
          WHEN date <= DATETIME_ADD(latest_date, INTERVAL -1 YEAR) AND date >= PARSE_DATE('%Y-%m-%d', CONCAT(CAST(max_fin_year - 2 AS STRING), '-7-1')) THEN 'ly'
          ELSE NULL
        END
        ELSE NULL
      END AS ty_ly_embed,
      SAFE_DIVIDE(Spend, 1000) AS spend_k
    FROM
      TEMP1
  )
SELECT 
  SUM(CASE WHEN ty_ly_embed = 'ty' AND Media_Network = 'NEWS CORP' THEN spend_k ELSE 0 END) AS news_corp_spend_ty_k,
  SUM(CASE WHEN ty_ly_embed = 'ly' AND Media_Network = 'NEWS CORP' THEN spend_k ELSE 0 END) AS news_corp_spend_ly_k,
  SAFE_DIVIDE(SUM(CASE WHEN ty_ly_embed = 'ty' AND Media_Network = 'NEWS CORP' THEN spend_k ELSE 0 END) - SUM(CASE WHEN ty_ly_embed = 'ly' AND Media_Network = 'NEWS CORP' THEN spend_k ELSE 0 END), SUM(CASE WHEN ty_ly_embed = 'ly' AND Media_Network = 'NEWS CORP' THEN spend_k ELSE 0 END)) * 100 AS news_corp_spend_growth_percentage
FROM pre_aggregated_data
WHERE date >= DATE_SUB(CURRENT_DATE(), INTERVAL 2 YEAR);",strong,high,6,601ed0d2-e944-4189-8170-d593c8e72026,1,news_corp_spend_ly_k
filter_impact,total_spend_ty_k,"['Advertiser', 'portfolio_parent_group_name', 'quarter_period']",The total spend metrics are filtered by specific Advertiser lists and Portfolio Parent Group names combined with Quarter periods in the original dashboard queries. These filters are applied at the dashboard level on top of the unified dataset.,N/A,"These filters narrow down the scope of spend analysis to specific client segments or timeframes, allowing for targeted performance reviews.","WITH
  adex_data AS (
    SELECT
      *,
      FORMAT_DATETIME('%b', DATETIME(date)) AS calendar_month_short_name,
      CAST(FORMAT_DATETIME('%Y', DATETIME(date)) AS INT) AS calendar_year
    FROM
      `ncau-data-newsquery-prd`.sbx_dcp.adex_datasource
    WHERE
      source = 'Adex'
  ),
  TEMP1 AS (
    SELECT
      *,
      (SELECT MAX(date) FROM adex_data) AS latest_date,
      (SELECT MAX(financial_year) FROM adex_data) AS max_fin_year
    FROM
      adex_data
  ),
  pre_aggregated_data AS (
    SELECT
      *,
      CASE 'Rolling 12 months'
        WHEN 'Rolling 12 months' THEN
        CASE
          WHEN DATE_DIFF(latest_date, date, MONTH) <= 11 THEN 'ty'
          WHEN DATE_DIFF(latest_date, date, MONTH) BETWEEN 12 AND 23 THEN 'ly'
          ELSE NULL
        END
        WHEN 'Calendar Year' THEN
        CASE
          WHEN date <= latest_date AND date >= PARSE_DATE('%Y-%m-%d', CONCAT(CAST(EXTRACT(YEAR FROM latest_date) AS STRING),'-1-1')) THEN 'ty'
          WHEN date <= DATETIME_ADD(latest_date, INTERVAL -1 YEAR) AND date >= PARSE_DATE('%Y-%m-%d', CONCAT(CAST(EXTRACT(YEAR FROM latest_date) - 1 AS STRING), '-1-1')) THEN 'ly'
          ELSE NULL
        END
        WHEN 'Financial Year' THEN
        CASE
          WHEN date <= latest_date AND date >= PARSE_DATE('%Y-%m-%d', CONCAT(CAST(max_fin_year - 1 AS STRING),'-7-1')) THEN 'ty'
          WHEN date <= DATETIME_ADD(latest_date, INTERVAL -1 YEAR) AND date >= PARSE_DATE('%Y-%m-%d', CONCAT(CAST(max_fin_year - 2 AS STRING), '-7-1')) THEN 'ly'
          ELSE NULL
        END
        ELSE NULL
      END AS ty_ly_embed,
      SAFE_DIVIDE(Spend, 1000) AS spend_k,
      CASE
        WHEN FORMAT_DATETIME('%b', DATETIME(date)) IN ('Jan', 'Feb', 'Mar') THEN 'Q1'
        WHEN FORMAT_DATETIME('%b', DATETIME(date)) IN ('Apr', 'May', 'Jun') THEN 'Q2'
        WHEN FORMAT_DATETIME('%b', DATETIME(date)) IN ('Jul', 'Aug', 'Sep') THEN 'Q3'
        WHEN FORMAT_DATETIME('%b', DATETIME(date)) IN ('Oct', 'Nov', 'Dec') THEN 'Q4'
        ELSE NULL
      END AS calendar_quarter
    FROM
      TEMP1
  )
SELECT 
  Advertiser,
  portfolio_parent_group_name,
  calendar_quarter AS quarter_period,
  SUM(CASE WHEN ty_ly_embed = 'ty' THEN spend_k ELSE 0 END) AS total_spend_ty_k_filtered
FROM pre_aggregated_data
WHERE 
  (portfolio_parent_group_name IN ('KEY ACCOUNTS TRAVEL') AND calendar_quarter IN ('Q2'))
  OR
  (Advertiser IN ('NT Dept Of Trade Business & Innovation', 'NT Dept Of Chief Minister', 'NT Dept Of Infrastructure Planning & Logistics', 'NT Dept Of Industry Tourism & Trade', 'NT Dept Of Education Employment & Training', 'NT Dept Of Tourism & Culture', 'NT Dept Of Transport', 'NT Dept Of Attorney-General & Justice', 'NT Dept Of Environment & Natural Resources', 'NT Dept Of Lands Planning & The Environment', 'NT Dept Of Health', 'NT Dept Of Police Fire & Emergency Services', 'NT Dept Of Business', 'NT Dept Of Territory Families, Housing & Communities', 'NT Dept Of Primary Industry & Resources', 'NT Dept Of Environment Parks & Water Security', 'NT Dept Of Corporate & Information Services'))
GROUP BY 1, 2, 3
LIMIT 100;",strong,high,6,601ed0d2-e944-4189-8170-d593c8e72026,3,"Advertiser, portfolio_parent_group_name, quarter_period"
filter_impact,total_revenue_net,"['source', 'source_transaction_type_upper', 'advertiser', 'financial_period_label', 'month_start_date']","Total Revenue Net is filtered by specific values of Source, Source Transaction Type, Advertiser, Financial Period Label, and Month Start Date. Different combinations of these filters are applied across various dashboard components.",SUM(revenuenet) WHERE [dimension] IN (...) AND [date_dimension] IN (...),"Ensures that revenue figures are specific to the selected advertising platforms, deal types, clients, and time periods.","SELECT SUM(revenuenet) FROM `ncau-data-newsquery-prd.prstn_advertising.programmatic_weekly_master` WHERE UPPER(SAFE_CAST(source_transaction_type AS STRING)) IN ('DEAL', 'UFR') AND advertiser IN ('The Smith Family *');",strong,high,7,783f341c-8660-4e90-bab8-9bc860119cf5,5,"source, source_transaction_type_upper, advertiser, financial_period_label, month_start_date"
dependency,month_start_date,['financial_period_label'],"The 'month_start_date' is derived from the 'financialyear' and 'financialmonthnumber' columns, which are also used to construct the 'financial_period_label'. Both are time-related dimensions, but 'month_start_date' is adjusted by a 6-month offset.","month_start_date = TRUNC(DATE(financialyear, financialmonthnumber, 1) - 6 MONTH, MONTH)","Ensures consistent time-based analysis, allowing for reporting by both calendar month (adjusted) and financial quarter.","SELECT DISTINCT month_start_date, financial_period_label FROM (
  SELECT
    t0.financialyear,
    t0.financialmonthnumber,
    t0.financialquarter,
    CONCAT('FY', SUBSTR(SAFE_CAST(t0.financialyear AS STRING), 3, 2), ' ', SAFE_CAST(t0.financialquarter AS STRING)) AS financial_period_label,
    SAFE_CAST(DATETIME_TRUNC(DATETIME_SUB(SAFE_CAST(DATE(t0.financialyear, t0.financialmonthnumber, 1) AS DATETIME), INTERVAL 6 MONTH), MONTH) AS DATE) AS month_start_date
  FROM `ncau-data-newsquery-prd.prstn_advertising.programmatic_weekly_master` AS t0
) WHERE month_start_date IS NOT NULL AND financial_period_label IS NOT NULL LIMIT 100;",strong,medium,7,783f341c-8660-4e90-bab8-9bc860119cf5,1,financial_period_label
filter_impact,buyer,['advertiser'],"The 'buyer' dimension is retrieved in queries that filter on specific 'advertiser' values, implying that certain buyers are associated with particular advertisers.",SELECT buyer WHERE advertiser IN (...),"Allows for analysis of buyers specific to certain key advertisers, which is important for account management and sales strategy.","SELECT DISTINCT buyer, advertiser FROM `ncau-data-newsquery-prd.prstn_advertising.programmatic_weekly_master` WHERE advertiser IN ('Kmart Corporation *', 'Target Corporation *') LIMIT 100;",medium,medium,7,783f341c-8660-4e90-bab8-9bc860119cf5,1,advertiser
filter_impact,current_month_flag,"['kargo_static_days_current_month', 'non_adx_num_days_current_month', 'financial_month_display_kargo', 'financial_month_display_non_adx']","The 'Current Month Flag' acts as a primary filter, ensuring that all related metrics and display strings reflect data only for the current financial month.",N/A,Ensures that pacing metrics are always relevant to the ongoing reporting period.,SELECT COUNT(*) FROM `ncau-data-newsquery-prd.prstn_advertising.programmatic_fin_month` WHERE CurrentMonthFlag = 1;,strong,high,8,a8fe6bb0-3cbf-4d6e-8838-fa6e6dce447f,4,"kargo_static_days_current_month, non_adx_num_days_current_month, financial_month_display_kargo, financial_month_display_non_adx"
filter_impact,source_dimension,"['kargo_static_days_current_month', 'non_adx_num_days_current_month', 'financial_month_display_kargo', 'financial_month_display_non_adx']","The 'Source' dimension is used to conditionally calculate and display 'Static Days' for 'Kargo' and 'Num Days' for 'Non-AdX' sources, ensuring metrics are specific to their respective platforms.",N/A,"Allows for platform-specific pacing analysis, which is critical for managing advertising campaigns.","SELECT SUM(CASE WHEN Source = 'Kargo' THEN StaticDays ELSE 0 END) AS KargoDays, SUM(CASE WHEN Source NOT IN ('AdX') OR Source IS NULL THEN NumDays ELSE 0 END) AS NonAdXDays FROM `ncau-data-newsquery-prd.prstn_advertising.programmatic_fin_month` WHERE CurrentMonthFlag = 1;",strong,high,8,a8fe6bb0-3cbf-4d6e-8838-fa6e6dce447f,4,"kargo_static_days_current_month, non_adx_num_days_current_month, financial_month_display_kargo, financial_month_display_non_adx"
