metric_id,metric_name,metric_type,calculation_type,data_type,aggregation_level,is_final_output,is_kpi,business_criticality,depends_on_metrics,business_description,sql_logic,data_sources,filters_applied,expected_data_type,business_context,metric_category,update_frequency,seasonality_impact,hardcoded_dates_in_metric,hardcoded_values_in_metric,governance_issues,data_quality_concerns,response_id,dashboard_id,dashboard_name,depends_on_metrics_count,depends_on_metrics_text,data_sources_count,data_sources_text,filters_applied_count,filters_applied_text,hardcoded_dates_in_metric_count,hardcoded_values_in_metric_count,governance_issues_count,governance_issues_text,data_quality_concerns_count,data_quality_concerns_text
revenue_type_dimension,Revenue Type,dimension,string_function|conditional,string,transaction,True,False,low,"['fin_adtype_name', 'revenue_type', 'revenue_group_subtype', 'cost_model_type']","Categorization of revenue based on ad type or revenue type code, including special handling for 'XTEND' and 'PROGRAMMATIC' types.","CASE WHEN (fin_adtype_name = 'XTEND') THEN 'XTEND' WHEN (revenue_group_subtype = 'DIGITAL' AND revenue_type = 'PROGRAMMATIC SOURCE') THEN 'PROGRAMMATIC - DIGITAL OTHER' WHEN (revenue_group_subtype = 'DIGITAL' AND revenue_type = 'PROGRAMMATIC SOURCE' AND SAFE.LEFT(cost_model_type, 3) = 'GUA') THEN 'PROGRAMMATIC - GUARANTEED' WHEN (revenue_group_subtype = 'DIGITAL' AND revenue_type = 'PROGRAMMATIC SOURCE' AND SAFE.LEFT(cost_model_type, 3) = 'NON') THEN 'PROGRAMMATIC - OPEN EXCHANGE' WHEN (revenue_group_subtype = 'DIGITAL' AND revenue_type = 'PROGRAMMATIC SOURCE' AND SAFE.LEFT(cost_model_type, 3) = 'PMP') THEN 'PROGRAMMATIC - PMP' WHEN (revenue_type = 'DIGITAL') THEN 'ADPT DIGITAL' WHEN (SAFE.LEFT(revenue_group_subtype, 6) = 'SUNDRY') THEN 'SUNDRY' ELSE revenue_group_subtype END",['ncau-data-newsquery-prd.asl_advertising.adsales_revenue_performance_daily'],[],string,Key dimension for segmenting revenue performance by different ad and revenue models.,other,daily,none,[],"[""'XTEND'"", ""'PROGRAMMATIC'"", ""'PRINT'"", ""'DIGITAL'"", ""'PROGRAMMATIC EXCHANGE'"", ""'PROGRAMMATIC SOURCE'"", ""'SUNDRY ADSALES OVERLAY'"", ""'PROGRAMMATIC - GUARANTEED'"", ""'PROGRAMMATIC - OPEN EXCHANGE'"", ""'PROGRAMMATIC - PMP'"", ""'ADPT DIGITAL'"", ""'SUNDRY'""]",['Lookup values should use reference table for revenue type classifications.'],[],2,52c11c9c-052a-4e45-9cda-8fecd87d7964,Team Sales Performance - FY26 (Interim)(with Pluto Reporting Date),4,"fin_adtype_name, revenue_type, revenue_group_subtype, cost_model_type",1,ncau-data-newsquery-prd.asl_advertising.adsales_revenue_performance_daily,0,,0,12,1,Lookup values should use reference table for revenue type classifications.,0,
total_gross_revenue,Total Gross Revenue,measure,sum,numeric,transaction,True,True,high,[],The total gross revenue amount before any adjustments.,"SUM(IFNULL(gross_revenue_amount, 0))",['ncau-data-newsquery-prd.asl_advertising.adsales_revenue_performance_daily'],"['relative_fy_year_offset IN (-1, 0, 1) OR relative_cal_year_offset IN (-1, 0)', ""UPPER(IFNULL(revenue_transaction_status_code, 'XXX')) IN ('BILLED', 'BOOKED')"", ""UPPER(IFNULL(style_name, 'XXX')) <> 'ROP COMPOSITE'"", ""UPPER(IFNULL(source_publishing_division_name, 'XXX')) <> 'MEDIUM RARE CONTENT AGENCY'"", ""(UPPER(IFNULL(publication_name, 'XXX')) NOT LIKE 'SUDDENLY%' OR (UPPER(publication_name) LIKE 'SUDDENLY%' AND (advertiser_id_src IN ('17114', '29172', '52809') OR ad_type_name = '-')))""]",decimal,Core revenue metric for sales performance tracking.,revenue,daily,high,[],"[""'BILLED'"", ""'BOOKED'"", ""'ROP COMPOSITE'"", ""'MEDIUM RARE CONTENT AGENCY'"", ""'SUDDENLY%'"", ""'17114'"", ""'29172'"", ""'52809'"", ""'-'""]",['Hardcoded filter values should be managed in reference tables.'],"['Potential for nulls if `gross_revenue_amount` is not always populated, though `IFNULL` handles this.']",2,52c11c9c-052a-4e45-9cda-8fecd87d7964,Team Sales Performance - FY26 (Interim)(with Pluto Reporting Date),0,,1,ncau-data-newsquery-prd.asl_advertising.adsales_revenue_performance_daily,5,"relative_fy_year_offset IN (-1, 0, 1) OR relative_cal_year_offset IN (-1, 0), UPPER(IFNULL(revenue_transaction_status_code, 'XXX')) IN ('BILLED', 'BOOKED'), UPPER(IFNULL(style_name, 'XXX')) <> 'ROP COMPOSITE', UPPER(IFNULL(source_publishing_division_name, 'XXX')) <> 'MEDIUM RARE CONTENT AGENCY', (UPPER(IFNULL(publication_name, 'XXX')) NOT LIKE 'SUDDENLY%' OR (UPPER(publication_name) LIKE 'SUDDENLY%' AND (advertiser_id_src IN ('17114', '29172', '52809') OR ad_type_name = '-')))",0,9,1,Hardcoded filter values should be managed in reference tables.,1,"Potential for nulls if `gross_revenue_amount` is not always populated, though `IFNULL` handles this."
gross_revenue_current_fy,Gross Revenue (Current FY),measure,sum|conditional,numeric,transaction,True,True,high,"['total_gross_revenue', 'relative_fy_year_offset']",Gross revenue specifically for the current fiscal year.,SUM(CASE WHEN relative_fy_year_offset = 0 THEN gross_revenue_amount ELSE 0 END),['ncau-data-newsquery-prd.asl_advertising.adsales_revenue_performance_daily'],[],decimal,Used for current period performance analysis and target comparison.,revenue,daily,high,[],[],[],[],2,52c11c9c-052a-4e45-9cda-8fecd87d7964,Team Sales Performance - FY26 (Interim)(with Pluto Reporting Date),2,"total_gross_revenue, relative_fy_year_offset",1,ncau-data-newsquery-prd.asl_advertising.adsales_revenue_performance_daily,0,,0,0,0,,0,
gross_revenue_next_fy,Gross Revenue (Next FY),measure,sum|conditional,numeric,transaction,True,False,medium,"['total_gross_revenue', 'relative_fy_year_offset']","Gross revenue specifically for the next fiscal year, often used for forecasting or future planning.",SUM(CASE WHEN relative_fy_year_offset = 1 THEN gross_revenue_amount ELSE 0 END),['ncau-data-newsquery-prd.asl_advertising.adsales_revenue_performance_daily'],[],decimal,Provides insight into future revenue commitments.,revenue,daily,high,[],[],[],[],2,52c11c9c-052a-4e45-9cda-8fecd87d7964,Team Sales Performance - FY26 (Interim)(with Pluto Reporting Date),2,"total_gross_revenue, relative_fy_year_offset",1,ncau-data-newsquery-prd.asl_advertising.adsales_revenue_performance_daily,0,,0,0,0,,0,
gross_revenue_current_fy_k,"Gross Revenue (Current FY, '000)",measure,sum|ratio|conditional,numeric,transaction,True,True,high,['gross_revenue_current_fy'],"Gross revenue for the current fiscal year, scaled to thousands.","SUM(SAFE_DIVIDE(CASE WHEN relative_fy_year_offset = 0 THEN gross_revenue_amount ELSE 0 END, 1000))",['ncau-data-newsquery-prd.asl_advertising.adsales_revenue_performance_daily'],[],decimal,"Formatted for easier readability in dashboards, representing current fiscal year performance.",revenue,daily,high,[],[],['Currency scaling (division by 1000) should be driven by a dashboard parameter.'],[],2,52c11c9c-052a-4e45-9cda-8fecd87d7964,Team Sales Performance - FY26 (Interim)(with Pluto Reporting Date),1,gross_revenue_current_fy,1,ncau-data-newsquery-prd.asl_advertising.adsales_revenue_performance_daily,0,,0,0,1,Currency scaling (division by 1000) should be driven by a dashboard parameter.,0,
gross_revenue_next_fy_k,"Gross Revenue (Next FY, '000)",measure,sum|ratio|conditional,numeric,transaction,True,False,medium,['gross_revenue_next_fy'],"Gross revenue for the next fiscal year, scaled to thousands.","SUM(SAFE_DIVIDE(CASE WHEN relative_fy_year_offset = 1 THEN gross_revenue_amount ELSE 0 END, 1000))",['ncau-data-newsquery-prd.asl_advertising.adsales_revenue_performance_daily'],[],decimal,"Formatted for easier readability in dashboards, representing future revenue commitments.",revenue,daily,high,[],[],['Currency scaling (division by 1000) should be driven by a dashboard parameter.'],[],2,52c11c9c-052a-4e45-9cda-8fecd87d7964,Team Sales Performance - FY26 (Interim)(with Pluto Reporting Date),1,gross_revenue_next_fy,1,ncau-data-newsquery-prd.asl_advertising.adsales_revenue_performance_daily,0,,0,0,1,Currency scaling (division by 1000) should be driven by a dashboard parameter.,0,
gross_revenue_conditional_k,"Gross Revenue (Conditional, '000)",measure,sum|conditional|ratio|date_function,numeric,transaction,True,False,medium,"['total_gross_revenue', 'relative_fy_year_offset', 'unified_publication_name', 'revenue_type', 'revenue_group_subtype', 'sales_segment_l_2_name_sync', 'advertiser_parent', 'booking_line_created_date', 'fix_date_lod']","A complex conditional gross revenue metric, scaled to thousands, based on publication type or a specific date comparison involving DoubleClick and booking dates.","SUM(CASE WHEN (relative_fy_year_offset = 0 AND UPPER(unified_publication_name) IN ('OUTSTREAM', 'XTEND', 'EDMEDIA', 'ECOMMERCE')) OR (relative_fy_year_offset = 0 AND (SAFE_CAST(CASE WHEN (revenue_type = 'DIGITAL' AND revenue_group_subtype = 'DIGITAL' AND sales_segment_l_2_name_sync = 'Digital Other' AND advertiser_parent != 'DOUBLECLICK') THEN fix_date_lod ELSE booking_line_created_date_parsed END AS DATETIME) <= DATETIME_ADD(CAST(CURRENT_DATE('Australia/Sydney') AS DATETIME), INTERVAL -365 DAY))) THEN SAFE_DIVIDE(gross_revenue_amount, 1000) ELSE 0 END)",['ncau-data-newsquery-prd.asl_advertising.adsales_revenue_performance_daily'],[],decimal,"Likely a specialized revenue calculation for specific business segments or reporting needs, potentially related to programmatic or digital revenue streams.",revenue,daily,medium,['08/05/2025'],"[""'OUTSTREAM'"", ""'XTEND'"", ""'EDMEDIA'"", ""'ECOMMERCE'"", ""'DIGITAL'"", ""'Digital Other'"", ""'DOUBLECLICK'""]","['Hardcoded date should be replaced with `CURRENT_DATE()` or a parameter.', 'Hardcoded lookup values should use reference tables.', 'Complexity of logic suggests a need for clear documentation or a dedicated business rule engine.']","['Reliance on `fix_date_lod` which is an analytic function, could lead to unexpected results if partitioning changes.', 'Nested `CASE` and `SAFE_CAST` can be fragile.']",2,52c11c9c-052a-4e45-9cda-8fecd87d7964,Team Sales Performance - FY26 (Interim)(with Pluto Reporting Date),9,"total_gross_revenue, relative_fy_year_offset, unified_publication_name, revenue_type, revenue_group_subtype, sales_segment_l_2_name_sync, advertiser_parent, booking_line_created_date, fix_date_lod",1,ncau-data-newsquery-prd.asl_advertising.adsales_revenue_performance_daily,0,,1,7,3,"Hardcoded date should be replaced with `CURRENT_DATE()` or a parameter., Hardcoded lookup values should use reference tables., Complexity of logic suggests a need for clear documentation or a dedicated business rule engine.",2,"Reliance on `fix_date_lod` which is an analytic function, could lead to unexpected results if partitioning changes., Nested `CASE` and `SAFE_CAST` can be fragile."
total_target_amount,Total Target Amount,measure,sum,numeric,transaction,True,True,high,[],The total target revenue amount for sales teams.,"SUM(IFNULL(target_amount, 0))",['ncau-data-newsquery-prd.asl_advertising.adsales_revenue_performance_daily'],[],decimal,Crucial for measuring sales performance against set goals.,revenue,daily,none,[],[],[],['Reliance on `target_amount` being accurately populated.'],2,52c11c9c-052a-4e45-9cda-8fecd87d7964,Team Sales Performance - FY26 (Interim)(with Pluto Reporting Date),0,,1,ncau-data-newsquery-prd.asl_advertising.adsales_revenue_performance_daily,0,,0,0,0,,1,Reliance on `target_amount` being accurately populated.
total_pipeline,Total Pipeline Amount,measure,sum,numeric,transaction,True,True,high,[],The total amount of revenue in the sales pipeline.,"SUM(IFNULL(pipeline_amount, 0))",['ncau-data-newsquery-prd.asl_advertising.adsales_revenue_performance_daily'],[],decimal,Indicates potential future revenue and sales team activity.,revenue,daily,medium,[],[],[],['Accuracy depends on timely and accurate pipeline updates.'],2,52c11c9c-052a-4e45-9cda-8fecd87d7964,Team Sales Performance - FY26 (Interim)(with Pluto Reporting Date),0,,1,ncau-data-newsquery-prd.asl_advertising.adsales_revenue_performance_daily,0,,0,0,0,,1,Accuracy depends on timely and accurate pipeline updates.
revenue_type_encoded_count,Revenue Type Encoded Count,measure,count|conditional,numeric,transaction,True,False,low,['revenue_group_subtype'],"A count of records where `revenue_group_subtype` matches specific categories, encoded as integers.",COUNT(CASE WHEN (UPPER(revenue_group_subtype) = 'PRINT') THEN 1 WHEN (UPPER(revenue_group_subtype) = 'DIGITAL') THEN 2 WHEN (UPPER(revenue_group_subtype) = 'PROGRAMMATIC') THEN 3 WHEN (UPPER(revenue_group_subtype) = 'PROGRAMMATIC EXCHANGE') THEN 4 WHEN (UPPER(revenue_group_subtype) = 'PROGRAMMATIC SOURCE') THEN 5 WHEN (UPPER(revenue_group_subtype) = 'SUNDRY ADSALES OVERLAY') THEN 6 ELSE NULL END),['ncau-data-newsquery-prd.asl_advertising.adsales_revenue_performance_daily'],[],integer,"Likely used internally by Looker Studio for sorting or filtering based on an ordered list of revenue types, rather than a direct business metric.",other,daily,none,[],"[""'PRINT'"", ""'DIGITAL'"", ""'PROGRAMMATIC'"", ""'PROGRAMMATIC EXCHANGE'"", ""'PROGRAMMATIC SOURCE'"", ""'SUNDRY ADSALES OVERLAY'""]",['Hardcoded categories should be managed in a reference table.'],[],2,52c11c9c-052a-4e45-9cda-8fecd87d7964,Team Sales Performance - FY26 (Interim)(with Pluto Reporting Date),1,revenue_group_subtype,1,ncau-data-newsquery-prd.asl_advertising.adsales_revenue_performance_daily,0,,0,6,1,Hardcoded categories should be managed in a reference table.,0,
revenue_type_encoded_sum,Revenue Type Encoded Sum,measure,sum|conditional,numeric,transaction,True,False,low,['revenue_group_subtype'],A sum of encoded integer values representing `revenue_group_subtype` categories.,SUM(CASE WHEN (UPPER(revenue_group_subtype) = 'PRINT') THEN 1 WHEN (UPPER(revenue_group_subtype) = 'DIGITAL') THEN 2 WHEN (UPPER(revenue_group_subtype) = 'PROGRAMMATIC') THEN 3 WHEN (UPPER(revenue_group_subtype) = 'PROGRAMMATIC EXCHANGE') THEN 4 WHEN (UPPER(revenue_group_subtype) = 'PROGRAMMATIC SOURCE') THEN 5 WHEN (UPPER(revenue_group_subtype) = 'SUNDRY ADSALES OVERLAY') THEN 6 ELSE NULL END),['ncau-data-newsquery-prd.asl_advertising.adsales_revenue_performance_daily'],[],integer,"Similar to `revenue_type_encoded_count`, likely for internal Looker Studio ordering or aggregation, not a direct business metric.",other,daily,none,[],"[""'PRINT'"", ""'DIGITAL'"", ""'PROGRAMMATIC'"", ""'PROGRAMMATIC EXCHANGE'"", ""'PROGRAMMATIC SOURCE'"", ""'SUNDRY ADSALES OVERLAY'""]",['Hardcoded categories should be managed in a reference table.'],[],2,52c11c9c-052a-4e45-9cda-8fecd87d7964,Team Sales Performance - FY26 (Interim)(with Pluto Reporting Date),1,revenue_group_subtype,1,ncau-data-newsquery-prd.asl_advertising.adsales_revenue_performance_daily,0,,0,6,1,Hardcoded categories should be managed in a reference table.,0,
gross_amount_diff_total,Total Gross Amount Difference,measure,sum,numeric,custom,True,True,high,[],"The total gross amount difference, representing the primary revenue or financial movement value.",SUM(GROSS_AMOUNT_DIFF),['ncau-data-newsquery-prd.asl_finance_derived.revenue_movement'],"['movement_date filter', 'financial_year filter', 'portfolio_parent_group_name_sync filter', 'portfolio_conformed_name_sync filter']",decimal,Core financial metric for tracking revenue movement across various dimensions.,revenue,daily,medium,[],[],[],"['potential nulls in GROSS_AMOUNT_DIFF', 'accuracy depends on source data freshness']",3,a1b901e6-c4fb-44bc-955a-3a7070c15829,Revenue Movement,0,,1,ncau-data-newsquery-prd.asl_finance_derived.revenue_movement,4,"movement_date filter, financial_year filter, portfolio_parent_group_name_sync filter, portfolio_conformed_name_sync filter",0,0,0,,2,"potential nulls in GROSS_AMOUNT_DIFF, accuracy depends on source data freshness"
digital_revenue,Digital Revenue,calculated_field,conditional,numeric,custom,True,True,high,"['gross_amount_diff_total', 'revenue_type']",The gross amount difference specifically attributed to 'DIGITAL' revenue types.,SUM(CASE WHEN revenue_type = 'DIGITAL' THEN GROSS_AMOUNT_DIFF ELSE 0 END),['ncau-data-newsquery-prd.asl_finance_derived.revenue_movement'],"['movement_date filter', 'financial_year filter', 'portfolio_parent_group_name_sync filter', 'portfolio_conformed_name_sync filter']",decimal,Key metric for understanding the contribution of digital channels to overall revenue.,revenue,daily,medium,[],"[""'DIGITAL'""]","[""revenue_type 'DIGITAL' is hardcoded; should ideally come from a lookup table.""]",['accuracy depends on correct classification of revenue_type'],3,a1b901e6-c4fb-44bc-955a-3a7070c15829,Revenue Movement,2,"gross_amount_diff_total, revenue_type",1,ncau-data-newsquery-prd.asl_finance_derived.revenue_movement,4,"movement_date filter, financial_year filter, portfolio_parent_group_name_sync filter, portfolio_conformed_name_sync filter",0,1,1,revenue_type 'DIGITAL' is hardcoded; should ideally come from a lookup table.,1,accuracy depends on correct classification of revenue_type
print_revenue,Print Revenue,calculated_field,conditional,numeric,custom,True,True,high,"['gross_amount_diff_total', 'revenue_type']",The gross amount difference specifically attributed to 'PRINT' revenue types.,SUM(CASE WHEN revenue_type = 'PRINT' THEN GROSS_AMOUNT_DIFF ELSE 0 END),['ncau-data-newsquery-prd.asl_finance_derived.revenue_movement'],"['movement_date filter', 'financial_year filter', 'portfolio_parent_group_name_sync filter', 'portfolio_conformed_name_sync filter']",decimal,Key metric for understanding the contribution of print channels to overall revenue.,revenue,daily,medium,[],"[""'PRINT'""]","[""revenue_type 'PRINT' is hardcoded; should ideally come from a lookup table.""]",['accuracy depends on correct classification of revenue_type'],3,a1b901e6-c4fb-44bc-955a-3a7070c15829,Revenue Movement,2,"gross_amount_diff_total, revenue_type",1,ncau-data-newsquery-prd.asl_finance_derived.revenue_movement,4,"movement_date filter, financial_year filter, portfolio_parent_group_name_sync filter, portfolio_conformed_name_sync filter",0,1,1,revenue_type 'PRINT' is hardcoded; should ideally come from a lookup table.,1,accuracy depends on correct classification of revenue_type
