dashboard_id,dashboard_name,business_domain
76614538-e13f-4fd7-b6f2-f23a1ce65e1b,Postcode paid subscriber lookup - Genome data - draft,finance
40ca2397-e61c-42bd-874c-ea7be0681a4b,KTV Dashboard,media_and_publishing
5d551155-3caa-466b-a1ef-01d0cfa95966,PTC - Topic Authority,finance
35de2eed-9c03-48a7-8cef-50e2ea1e1235,Dear Rachelle,media
1184f09d-0506-4e10-aa79-b2cc9612feec,Mindgames Weekly Sales,finance
c22e86d8-835d-4a68-8c10-5d131e225e6b,Verity 2.0 The Mercury: Sunrise Report (Click here to access the full report) ,finance
4d22b4c2-4bb3-49db-a0c1-4d46d4fba101,Copy of Acquisitions - Extracts,finance
59390a9a-e996-46b9-8151-cada4cafef65,Verity At-A-Glance: Vic/tas titles,finance
61c9dcaa-ebb1-48fc-9d1d-1b0042d3c075,CODE Unlocked articles,media
34cd05a8-37bb-4a61-b1f5-c782a32bffb3,BAU Dashboard ,IT_Operations
3c4b6517-cd6a-4138-bd32-09644e44c44a,HS morning report,finance
705edcb5-737a-4600-b1a7-11870177f97a,Programmatic Impact Reporting,finance
2dfb1b58-42eb-44cb-b550-66469ae7df3c,Data Load Checks,finance
d381c80a-e345-4120-8950-e85e976e50b6,Verity 2.0 - Prod - PRSTN - Social Summary,finance
c51835dc-61f0-4277-ab19-e374508dccd2,Last 6 months - highest subscriber usage,customer_analytics
70ed3b92-987b-479b-9ed7-d2903bd2787e,Monthly Invoicing Breakdown,finance
736e39be-8b74-442d-bf5a-0b75971e3de0,Verity At-A-Glance: TAUS,finance
bb705701-76b0-40eb-bc6f-0159956fda7a,Verity 2.0 NT News : Sunrise Report (Click here to access the full report) ,finance
6596264e-ca48-4ca6-8871-77d1e0d29b28,Verity 2.0 NSN LAST WEEK,media_analytics
f5e8e7c6-17e2-4ad7-bae5-79dfa8c47c3a,Verity 1.0 Daily C-Score report: DT,finance
1d90f8d5-1170-44b0-9c20-3e16f00ddf1d,"Code Sports Clusters age, gender, mosaic",media_publishing
246977b9-22df-4780-b0ad-f575607cd32d,Health today,finance
6e1a98d6-289f-44d8-9b75-7ab171ea23e4,Occupancy Dashboard usage logs,Internal Analytics
7ffe7054-679e-4e8f-bb3d-01c6e7799899,Engagement data - Audience Insights M&R + TA,finance
0f03691d-f6b8-4313-bfd9-a5fb1e6dedab,IP Engagement Report,Media/Publishing
9e810f08-0171-451e-a406-6bf7076c4d2f,Verity 2.0 - TAUS Wealth Daily Update,finance
c794898d-8468-454e-97c7-de1fa293c759,VERITY AT A GLANCE - [CMWEEKLYVIEW + QUESTWEEKLY VIEW ] Verity 2.0 - Prod - At-a-Glance,finance
73aa273f-1632-484a-b0eb-c1132725d861,Verity 2.0 Daily Snapshot,finance
0e05b4ce-cb33-488a-8537-b9e68a844e2e,Acquisitions - Extracts,finance
19077aa0-64b6-4ca2-b0ce-4e328780e073,Self Learning Segments Report,finance
c9b68cfe-7e00-4414-beaf-839ae216cc14,Verity 2.0 Pulse Check - Weekly v2,unknown
eda51dbb-3cc6-46c2-b1f7-8189b682760a,VERITY AT A GLANCE - [QLD REGIONAL WEEKLYVIEW ] Verity 2.0 - Prod - At-a-Glance,business_operations
f9b52275-5924-4afb-8222-2c55854183ba,Finance Health - Check  ,finance
8956e94b-f6d1-46a3-9c7f-87a91fbe98b5,LODs,finance
d7412673-0af1-4efe-8374-ca475b001fb6,Finance OS datasource template report,finance
3dba3db1-7b70-4bd1-9c89-c78fd19832ac,Gen Ai: comment summaries,media
5705039f-1f6f-4c93-aba9-8ce549025d5c,SVOC - SIT QVR data sets - Exploration,finance
7b5f16b7-e7eb-4989-97fe-2a2e74100bfe,Weekly Marketing comms sends,marketing
35b59adf-a1d7-4673-ad92-77cf87d13b7d,Engagement: Abandoned Cart Lead Nurture Program Performance,finance
c6d33dfc-2694-44ce-85ae-8fed018197bb,Print to Digital ,finance
d768f28d-cc4a-4314-b972-cffd680d1bb8,Adpoint Line Items,finance
c412242b-14aa-4045-84f0-b8c3b5594898,Missing PCSID deep dive,finance
6640a246-777a-4fcf-a692-85e02e7f7a8e,Supercoach Engagement Activity Summary,digital_media
d3723d73-7698-4fc2-b998-157308d5353f,CDP Ph3 Derived dimensions - subscriber_value_group,finance
77c68c35-20ce-477a-b216-0c781d43a8ca,Cecile - Adsales Adhoc Analysis,finance
8a5e8eb0-fe0e-40f6-9131-e7a564f5e60b,NewsQuery Data Reconciliation Dashboard - For Ops,finance
b80779c9-a393-4f32-adc1-605745ac8957,Verity 2.0 - Active Paid Closing Base - Engagement and Demographic Deep Dive - DRAFT,finance
b821747c-3075-4a4b-b4a5-c12a548b4e1b,CVM dashboard,finance
8531208f-5b20-40d0-8b57-2d15ac1fca33,Verity 2.0 Toowoomba Chronicle Sunrise Report (Click here to access the full report) ,finance
abe67573-53fb-4cc2-a622-5cb9aa20166,Verity 2.0 - Prod - Newsroom display - TWT,finance
ca71779e-655c-4fda-a06a-c32970fc283a,Verity FY26 - Testing newsroom screen & possible new KPIs,finance
abca77ac-e6e3-44ab-8cd9-64f1064d04fd,Mutti Rebranding,Content Analytics
5506c033-2f12-4464-b45b-4a12b7849ed6,CP-RoyMorgan_Data,finance
cbab66df-64cb-4ec4-a112-088557684b7e,FY25 OS extract for month end rec,finance
3ee20092-1897-49b7-8bcd-4157d5f816eb,AdSales Data for Pacing Report ,finance
f65a9149-93b4-4aa9-aef6-d12002853222,Digital Video Content Audio,finance
4d233abb-3d9b-4942-98b0-3989e8986970,Verity Newsroom display - National Sports Newsroom,finance
4b158218-2a09-443c-929a-a7f5dae09979,BEYOND WORDS,finance
e2102eb1-8bdb-4df7-b3ea-e72481f1bb55,Verity 2.0 Geelong Advertiser: Sunrise Report (Click here to access the full report) ,media_analytics
5645b0e9-2850-4984-b808-b90bcb74ed92,Verity Newsroom display - Code Sports,
a2edd9c0-9f0c-45f4-b481-6ed9e4a3f11d,PACMAN Dashboard - FY25,finance
6ee6cea9-d444-437d-96c9-cf93a94aad6b,Verity - Prod - Newsroom display - The Chronicle,finance
52b2e0a6-fd53-4788-94da-101037302104,Data Townhall Feedback,finance
56624f8b-0974-4212-b3ef-46f11233c639,Stuart Kavanagh - Leader: My week last week,internal operations / analytics
c16a956e-a495-4678-bc4d-cb7009ab8899,Puzzles Engagement,finance
404605d3-dac4-4af9-b43e-b7915ecd7125,Inflated App PVS investigation,Digital Analytics
744cc917-29e9-4af7-b811-3043e3ced208,MGR BIOps,project_management
1479f9e9-5993-4969-a5b4-e74112f9134a,BSG - PowerBI,IT Operations
63911575-4b9d-45c4-830c-8726e98adb93,Verity 2.0 Weekly performance report: CODE + NSN,finance
f8b92c6c-021f-47fc-b373-ad37503303c9,The Australian Business Network dashboards,finance
1091b278-b70b-40d5-af7b-5750a63c662d,Engagement: Subscriber Onboarding & In-Life Program Performance,Marketing/Customer Engagement
fbf4d483-b17a-4040-b18c-091481d62200,NewsQuery - Cost Tracking,finance
b8ff9b19-a3c3-4b05-a4a1-d6626d5783da,Verity 2.0: NSN Weekly Subs dashboard,finance
7af6d106-46fc-4721-8a0c-3da32bc27707,Cadets,finance
e33ad43b-7f46-4dd7-bfd4-bd53657e4538,Paid Consumer Subscriptions Cancellation Dashboard,finance
3d387428-38ed-4de6-81a0-f75f3e904118,Subscriber Linked Google Account Engagement,media
f5afdb43-bb70-48be-a049-79cf77f7c6a6,Verity 2.0 The National News Network Weekly,finance
1b29c0eb-ab01-4e6f-b3f6-8161f5d3c669,Verity sdm salesforce subscrip - WEB_ONL100 FY24,Sales
4db22271-c915-4a3b-95f1-57f52f6beaf1,Verity 2.0 Weekly performance report: TABN,finance
45bc0813-2c47-4f36-bcac-ed638ce69ce2,Live Dashboard,finance
d4d68a71-2b12-4caf-bc6b-96fc2d18a025,Adsales Details Dashboard,finance
830018a3-2d7c-4496-bd33-5471d610b39d,Verity 2.0 Daily C-Score report: AA,finance
b456ee91-66d6-4bcb-b3a7-c752a3e02170,Verity 2.0 - S&C Health Last Week,finance
435638dc-cebd-41fe-8e93-f4a0e2f0f5a9,Audience Insights PRSTN - Medallia VOC survey dashboard,Customer Experience
4bd7954c-5a94-4fb6-92e1-ed152b1cf7b3,Copy of Interim Adsales Performance Dashboard for FY26,finance
af5b3038-ea93-4cf0-9bf5-44a9b09b3766,Conde Nast Analysis,finance
b1c5901f-a535-42eb-870d-05cc025f7c27,OS extract for month end rec,finance
0cbe9a87-5f64-4e05-b993-a508e98ecdcd,S+C morning health report,media
464dbd27-97f1-4665-bd93-22b4e9520bfe,Audience Insights - Adds Performance - DRAFT,finance
a6c0f7df-8da6-44dc-bf50-72a907020ebc,Cluster by Engagement Level & Tenure Groupings,Customer Analytics
56ec5017-2440-42e1-a7dd-3791f557b283,Audience Insights - Growth Performance - DRAFT,finance
58dce9a4-ca60-474d-bf3a-733ee23e565b,Sports monthly snapshot - IPSOS,finance
38809f41-7138-4b94-94d1-ae919b2d9517,Adpoint Line Items for Financial Accounting V2,finance
0823e425-5885-4fd6-b89e-5c9508f3cf1d,Verity 2.0 - Prod - PRSTN - Article Summary,finance
f4967be9-6a67-4865-bd2a-fb16baaf1f6b,Tech Network Dashboard - Dev v0.2,finance
e83da1de-4227-43e6-bcc6-73051c66914b,Ad Events Dashboard,finance
8ae7916a-45c9-4713-8d46-e3470805c7f6,NewsQuery Cost Operation Dashboard,finance
828d35dc-ea9f-4c01-b95f-9b64ae7500f1,Verity 2.0 AA Weekly Performance Report,publishing performance
9b27e204-fd9a-4032-8669-58b6f23bf3ef,Verity 2.0 Cairns Post : Sunrise Report (Click here to access the full report),finance
0071d646-565a-46be-b47c-e78a85d5cee7,Verity 2.0 Metro Business Network: Sunrise Report,finance
89140d65-10c7-4de8-9dfa-f5585b101519,Verity 2.0 - SC Health 7 DAY,Media/Publishing
5b6fc742-e514-4052-9c56-1d7a44f755f6,Decay - Dev,finance
ed91d3f4-4175-4293-a648-e8dbca4cea93,Newscorp Australia Daily Update,
1f63540f-8268-4e9f-83a3-3acf63da5da5,Travel monthly snapshot - IPSOS,Audience Analytics
71dfdbc0-a8d2-4131-bf4e-7e54ac7e6b5e,Lapsed/Cancelled EDM stats,Marketing
83a1c0b2-67b2-4d3e-8bc4-98a9f3683ad1,CVR Source Code,Digital Analytics
a934f5eb-3b42-46f4-bd22-815444731247,NewsQuery Rewards redemption data test,Customer Loyalty
77631717-5cc6-4903-87bd-7314bf461243,Free & Complimentary SuperCoach Extract,finance
be89856b-4177-42f1-8cb6-50cdde0d516c,Network Module- Engagement ( version 1.0),Media/Engagement
a6b35c09-d774-4509-95d0-4e3c05417e57,MLOPS - GCP AI Usage Summary,finance
dc9bcf46-d0a0-4501-8eb6-607f061379d9,Looker workspace test ,finance
b15d856f-e3ce-4991-bf2a-92395390254f,Programmatic Rolling 60 Day Overview_NQ Data,finance
8a7be976-10d2-4657-aa8a-8bcbcb4c4cd7,News.com.au - Best Of & Checkout - Daily Update,media
e5702a4e-27f6-42cc-8cd8-0b5ff84421e4,Paid Consumer Subscriptions Acquisition Dashboard,finance
712ca6fe-b491-4a01-af6e-1495fb3c7d12,Finance Data Checks,finance
ec3c813c-6c23-4a43-926c-73a56c6df69e,TCS Governance Dashboard [Data Portfolio] V2,finance
a17622e2-ad43-49cc-b3c5-19c95036fd14,Advertising Rebates Dashboard,finance
c441950c-1e3f-432c-9838-847d1d315b9e,Circulation Insights for Analysis,finance
42b711d5-6567-46b6-bf11-0f33e66e297e,Elton's alert dashboard - TEST,finance
da75444c-ed16-43f1-accc-56326aa8ccb0,Verity 2.0 - TAUS World Daily Update,finance
7ab2395e-d246-4e16-b376-dd763ecefecb,Verity 2.0 Weekly DT reporter pack,finance
63f9fc08-acd1-4d1b-866e-5b2050b5093f,Audience Insights - The Daily Telegraph engagement,media
cb5ce22d-b196-49dc-9d7b-8db7ca1f1f4d,Performance Solutions - Fin Year,finance
5e816a83-a077-4fdb-9b1f-bdaf0d527a62,Editorial AI - data discovery,Media/Publishing
9edf8948-86f2-40ac-9bce-1cd4a7289c8a,Sky News Dashboard (Paywall),media
80ca81f3-0671-40ef-a0a9-825a1580ca1b,Team Sales Performance,finance
41dda2e0-7935-4eca-9a86-1b0e763c2657,News.com.au Daily Update 5.0,media
