consolidated_metric_id,metric_name,business_description,consolidated_sql_core,source_tables,original_metric_ids,dashboard_id
cons_gross_revenue_digital_fy24_25,"Gross Revenue (Digital, FY24-25)","The total gross revenue generated from digital advertising and publication campaigns, specifically for fiscal years 2024 and 2025. This metric aggregates revenue amounts from the underlying campaign data, applying filters for digital channels and specific ad/publication types as defined by the dashboard's scope.",SUM(t0.gross_revenue_amount),"[{'gcp_project': 'your-gcp-project-id', 'dataset': 'marketing', 'table': 'campaign_revenue_data'}]",t0_D2172003841457318143;t0_qt_efs0nrtjod,4114bd43-f752-4628-9b6c-1941b3c0d962
cons_data_load_timestamp,Data Load Timestamp,"The precise timestamp indicating when the underlying data for the dashboard was last successfully loaded or refreshed, truncated to the second. This metric is crucial for monitoring data freshness and ensuring users are viewing up-to-date information.","DATETIME_TRUNC(t0.data_load_datetime, SECOND)","[{'gcp_project': 'your-gcp-project-id', 'dataset': 'marketing', 'table': 'campaign_revenue_data'}]",t0_qt_mwa7rinxnd,4114bd43-f752-4628-9b6c-1941b3c0d962
cons_financial_month,Financial Month,"Represents the financial month associated with the campaign data, cast as a floating-point number. This allows for numerical operations, sorting, and consistent representation of financial periods within the dashboard.",SAFE_CAST(t0.financial_month AS FLOAT64),"[{'gcp_project': 'your-gcp-project-id', 'dataset': 'marketing', 'table': 'campaign_revenue_data'}]",t0_qt_fjaazrtjod,4114bd43-f752-4628-9b6c-1941b3c0d962
cons_total_spend_amount,Total Spend Amount,The total monetary amount spent on digital marketing campaigns over a specified period.,SUM(SAFE_CAST(t0.spend_amount AS FLOAT64)),"[{'gcp_project': 'your_gcp_project', 'dataset': 'your_dataset', 'table': 'your_campaign_data_table'}]",t0_qt_ozz0tzcb8c,d7dcf866-1b93-48f8-a0c3-56c743029896
cons_total_impression_count,Total Impression Count,"The total number of times digital campaign content (e.g., ads, posts) was displayed to users, regardless of interaction.",SUM(SAFE_CAST(t0.impression_count AS FLOAT64)),"[{'gcp_project': 'your_gcp_project', 'dataset': 'your_dataset', 'table': 'your_campaign_data_table'}]",t0_qt_q7y0tzcb8c;t0_qt_vi80tzcb8c,d7dcf866-1b93-48f8-a0c3-56c743029896
cons_total_breach_count,Total Breach Count,"The total count of data breaches, anomalies, or validation failures detected within the campaign data, indicating potential data quality issues or policy violations.",SUM(SAFE_CAST(t0.breach_count AS FLOAT64)),"[{'gcp_project': 'your_gcp_project', 'dataset': 'your_dataset', 'table': 'your_campaign_data_table'}]",t0_qt_rzz0tzcb8c;t0_qt_r290tzcb8c,d7dcf866-1b93-48f8-a0c3-56c743029896
cons_total_link_click_count,Total Link Click Count,The total number of times users clicked on specific links embedded within the digital campaign content.,SUM(SAFE_CAST(t0.link_click_count AS FLOAT64)),"[{'gcp_project': 'your_gcp_project', 'dataset': 'your_dataset', 'table': 'your_campaign_data_table'}]",t0_qt_t7y0tzcb8c,d7dcf866-1b93-48f8-a0c3-56c743029896
cons_total_subscription_count,Total Subscription Count,"The total number of new subscriptions (e.g., newsletter, service sign-ups) generated as a direct result of digital campaign efforts.",SUM(SAFE_CAST(t0.subscription_count AS FLOAT64)),"[{'gcp_project': 'your_gcp_project', 'dataset': 'your_dataset', 'table': 'your_campaign_data_table'}]",t0_qt_ze87addb8c,d7dcf866-1b93-48f8-a0c3-56c743029896
cons_total_c_score_target,Total C-Score Target,"The aggregated sum of all C-Score targets, representing the total target value for customer satisfaction or engagement scores across all relevant dimensions (e.g., Messenger, Publication Group). This metric provides the foundational total before any specific filtering or grouping is applied.",SUM(t0.c_score_target),"[{'gcp_project': 'your_gcp_project_id', 'dataset': 'your_dataset_name', 'table': 'c_score_data'}]",t0_qt_u22hcf8klc;t0_qt_j2b9jbhclc,0546f07c-bb7b-4ec0-aba8-06c738dd12ec
incident_month_dim,Incident Month,"Represents the calendar month in which an incident's start time falls. This dimension is crucial for temporal analysis, identifying monthly trends, and reporting incident volumes over time.",EXTRACT(MONTH FROM DATE(start_time)),"[{'gcp_project': 'your_gcp_project', 'dataset': 'your_dataset', 'table': 'incidents_table'}]",INC_MONTH,bedebbe4-3e46-47d5-bc36-6d867544ba66
total_distinct_incidents,Total Distinct Incidents,The total count of unique incidents reported within the specified reporting period. This metric provides the overall volume of issues being managed.,COUNT(DISTINCT number),"[{'gcp_project': 'your_gcp_project', 'dataset': 'your_dataset', 'table': 'incidents_table'}]",total_incident,bedebbe4-3e46-47d5-bc36-6d867544ba66
incidents_response_achieved,Incidents with Response Achieved,"The count of incidents where the initial response time target, as defined by the Service Level Agreement (SLA), was successfully met.",COUNT(number) FILTER (WHERE response_status = 'Achieved'),"[{'gcp_project': 'your_gcp_project', 'dataset': 'your_dataset', 'table': 'incidents_table'}]",Responce_Achived,bedebbe4-3e46-47d5-bc36-6d867544ba66
incidents_response_breached,Incidents with Response Breached,"The count of incidents where the initial response time target, as defined by the Service Level Agreement (SLA), was not met, indicating a breach of the response SLA.",COUNT(number) FILTER (WHERE response_status = 'Breached'),"[{'gcp_project': 'your_gcp_project', 'dataset': 'your_dataset', 'table': 'incidents_table'}]",Responce_Breached,bedebbe4-3e46-47d5-bc36-6d867544ba66
incidents_resolution_achieved,Incidents with Resolution Achieved,"The count of incidents where the final resolution time target, as defined by the Service Level Agreement (SLA), was successfully met.",COUNT(number) FILTER (WHERE resolution_status = 'Achieved'),"[{'gcp_project': 'your_gcp_project', 'dataset': 'your_dataset', 'table': 'incidents_table'}]",Resolution_Achived,bedebbe4-3e46-47d5-bc36-6d867544ba66
incidents_resolution_breached,Incidents with Resolution Breached,"The count of incidents where the final resolution time target, as defined by the Service Level Agreement (SLA), was not met, indicating a breach of the resolution SLA.",COUNT(number) FILTER (WHERE resolution_status = 'Breached'),"[{'gcp_project': 'your_gcp_project', 'dataset': 'your_dataset', 'table': 'incidents_table'}]",Resolution_Breached,bedebbe4-3e46-47d5-bc36-6d867544ba66
cm_active_subscription_count,Active Subscription Count,"The total count of currently active subscriptions. This metric serves as a foundational measure for understanding the size of the active subscriber base, irrespective of specific engagement levels or acquisition channels, which should be handled as dimensions applied to this core metric.",SUM(t0.active_subscription_count),"[{'gcp_project': 'your-gcp-project', 'dataset': 'your-dataset', 'table': 'your-subscription-base-table'}]",t0_qt_xnkm4es08c;t0_qt_wxdubwrrzc,b80779c9-a393-4f32-adc1-605745ac8957
cm_subscription_movement_count,Subscription Movement Count,"The total count of events indicating a change or movement in subscription status, such as new acquisitions, upgrades, or downgrades. This metric represents the raw, unscaled count of these movements, with any scaling or division to be applied at the presentation layer.",SUM(t0.subscription_movement_count),"[{'gcp_project': 'your-gcp-project', 'dataset': 'your-dataset', 'table': 'your-subscription-movement-table'}]",t0_qt_e7050ggahd,b80779c9-a393-4f32-adc1-605745ac8957
cons_total_article_views,Total Article Views,The cumulative count of all article views recorded across the platform by subscribers.,SUM(ArticleViews),[],t0_qt_d28ru3bbsd,c51835dc-61f0-4277-ab19-e374508dccd2
cons_total_logins,Total Logins,The cumulative count of successful login events by subscribers to the platform.,SUM(Logins),[],t0_qt_d4fpf4bbsd,c51835dc-61f0-4277-ab19-e374508dccd2
cons_total_page_views,Total Page Views,"The cumulative count of all page views across the platform by subscribers, encompassing all content and navigational pages.",SUM(PVs),[],t0_qt_ig7961bbsd;t0_qt_1780cccbsd,c51835dc-61f0-4277-ab19-e374508dccd2
cons_max_six_month_device_count,Max Six Month Device Count,"The maximum number of unique devices used by any single subscriber within the last six months, indicating the highest device footprint observed.",MAX(SixMonthDeviceCount),[],t0_qt_ikjo1mdxsd,c51835dc-61f0-4277-ab19-e374508dccd2
cons_total_monthly_devices,Total Monthly Devices,"The cumulative count of unique devices observed accessing the platform on a monthly basis, aggregated across all subscribers.",SUM(MonthlyDevices),[],t0_qt_vhvud4bbsd;t0_qt_pc99lfcbsd,c51835dc-61f0-4277-ab19-e374508dccd2
cons_aggregated_circulation_amount,Aggregated Circulation Amount,"Represents the total aggregated financial amount (e.g., revenue, sales value) associated with circulation activities. This metric provides the core sum of 'amount' data, which can then be segmented or filtered by various dimensions such as 'Revenue Type', 'Year', or other relevant circulation attributes to derive specific insights. Note: While original metric names suggested 'Amount or Volume', the underlying SQL consistently calculates only the 'Amount'.",SUM(t0.amount),"[{'gcp_project': 'your_gcp_project_id', 'dataset': 'your_dataset_name', 'table': 'fact_circulation_data'}]",t0_qt_m6jzjhydqd;t0_qt_wcwi6vydqd,c32d96e5-38f4-48a8-9b70-3d89a83f03aa
cons_video_media_starts_portrait_news_com_au,"Video Media Starts (Portrait, News.com.au)","Total count of video media starts for content displayed in portrait orientation, specifically originating from the 'News.com.au' content source. This metric measures initial video plays under these specific conditions.",SUM(CASE WHEN content_orientation = 'portrait' AND Content_Source = 'News.com.au' THEN video_media_starts END),"[{'gcp_project': 'your-gcp-project', 'dataset': 'your_dataset', 'table': 'video_analytics'}]",t0c1d0_qt_7nz9xektfd;t0_qt_7nz9xektfd,eb904391-4d82-4b02-9f99-5eef7336117f
cons_video_media_starts_portrait_all_sources,Video Media Starts (Portrait),"Total count of video media starts for content displayed in portrait orientation, aggregated across all content sources. This metric provides an overall measure of initial video plays for portrait-oriented content.",SUM(CASE WHEN content_orientation = 'portrait' THEN video_media_starts END),"[{'gcp_project': 'your-gcp-project', 'dataset': 'your_dataset', 'table': 'video_analytics'}]",t0_qt_7nz9xektfd;t0c1d0_qt_7nz9xektfd,eb904391-4d82-4b02-9f99-5eef7336117f
cons_unique_subscribers,Unique Subscribers,The total count of distinct individuals identified as subscribers within the dataset. This metric is crucial for understanding the unique customer base.,COUNT(DISTINCT segmentation_engagement_date_dif.subscriber_id_src),"[{'gcp_project': 'your_gcp_project', 'dataset': 'your_dataset', 'table': 'segmentation_engagement_date_dif'}]",t0_qt_9gr4k68ytd;t0_qt_u5ft078ytd,a6c0f7df-8da6-44dc-bf50-72a907020ebc
cons_unique_subscriptions,Unique Subscriptions,The total count of distinct subscription instances recorded in the dataset. This metric helps in understanding the volume of active or historical subscriptions.,COUNT(DISTINCT segmentation_engagement_date_dif.subscription_id_src),"[{'gcp_project': 'your_gcp_project', 'dataset': 'your_dataset', 'table': 'segmentation_engagement_date_dif'}]",t0_qt_tpfnrsuktd,a6c0f7df-8da6-44dc-bf50-72a907020ebc
cons_records_with_tenure_data,Count of Records with Subscription Tenure Data,The total number of records within the dataset for which subscription tenure days information is available. This indicates the completeness of tenure data or the number of data points contributing to tenure analysis.,COUNT(segmentation_engagement_date_dif.subscription_tenure_days),"[{'gcp_project': 'your_gcp_project', 'dataset': 'your_dataset', 'table': 'segmentation_engagement_date_dif'}]",t0___LEGO_COUNT_qt_unvje68ytd,a6c0f7df-8da6-44dc-bf50-72a907020ebc
cons_total_subscription_tenure_days,Total Subscription Tenure Days,"The cumulative sum of all recorded subscription tenure days across all relevant records. This metric provides an aggregate measure of the total duration of all subscriptions, useful for understanding overall customer longevity.",SUM(segmentation_engagement_date_dif.subscription_tenure_days),"[{'gcp_project': 'your_gcp_project', 'dataset': 'your_dataset', 'table': 'segmentation_engagement_date_dif'}]",t0___LEGO_SUM_qt_unvje68ytd,a6c0f7df-8da6-44dc-bf50-72a907020ebc
cons_sum_subscription_ids_review,Sum of Subscription IDs (Review Required),The sum of all subscription identifiers. This metric's business utility is highly questionable as summing unique identifiers typically does not yield a meaningful business insight. It is recommended for review to determine its intended purpose or consider its removal.,SUM(segmentation_engagement_date_dif.subscription_id_src),"[{'gcp_project': 'your_gcp_project', 'dataset': 'your_dataset', 'table': 'segmentation_engagement_date_dif'}]",t0_qt_h1s1g8uktd,a6c0f7df-8da6-44dc-bf50-72a907020ebc
cons_total_email_sends,Total Email Sends,The total count of emails successfully sent to recipients for the specified period and segment. This metric represents the volume of outbound email communication.,SUM(clmn3_),"[{'gcp_project': None, 'dataset': None, 'table': None}]",t0_D4898481670075807154;t0_qt_i2y0gwwxtd;t0_qt_ir0hzzwxtd;t0_qt_adb2snwxtd;t0_qt_024luqwxtd,71dfdbc0-a8d2-4131-bf4e-7e54ac7e6b5e
cons_total_email_clicks,Total Email Clicks,The total count of clicks on links within emails for the specified period and segment. This metric indicates engagement with the email content.,SUM(clmn2_),"[{'gcp_project': None, 'dataset': None, 'table': None}]",t0_D863437973470424866,71dfdbc0-a8d2-4131-bf4e-7e54ac7e6b5e
cons_unique_email_opens,Unique Email Opens,The total count of unique recipients who opened an email for the specified period and segment. This metric measures the reach and initial engagement of the email campaign.,SUM(clmn4_),"[{'gcp_project': None, 'dataset': None, 'table': None}]",t0_D9960026467518230873,71dfdbc0-a8d2-4131-bf4e-7e54ac7e6b5e
cons_c_score_target_sum,C-Score Target Sum,"The aggregated sum of the target C-Score values, representing a key performance indicator for the 'Verity 2.0 NNN' initiative, used to measure progress against defined goals.",SUM(t0.c_score_target),"[{'gcp_project': 'unknown_project', 'dataset': 'unknown_dataset', 'table': 'unknown_table_t0'}]",t0_qt_j2b9jbhclc,a42a8045-0c60-4346-bfd2-6d2b5839ebec
cons_event_date_parsed,Event Date (Parsed),"The parsed date of an event, derived from a string representation. This metric serves as a temporal dimension for filtering and analyzing event data.","PARSE_DATE('%Y%m%d', SAFE_CAST(t0c0d1.event_date AS STRING))","[{'gcp_project': 'unknown_project', 'dataset': 'unknown_dataset', 'table': 'unknown_table_t0c0d1'}]",t0c0d1_qt_c4g34c1bxc,a42a8045-0c60-4346-bfd2-6d2b5839ebec
cons_event_count,Event Count,"The total number of events recorded, serving as a fundamental volume indicator for activity within the 'Verity 2.0 NNN' system.",COUNT(1),"[{'gcp_project': 'unknown_project', 'dataset': 'unknown_dataset', 'table': 'unknown_table_t0c0d1'}]",t0c0d1_qt_s926bf1bxc,a42a8045-0c60-4346-bfd2-6d2b5839ebec
cons_daily_target_pub_group_sum,Daily Target by Publication Group Sum,"The aggregated sum of daily targets specifically for publication groups, indicating performance goals related to content distribution or publishing activities.",SUM(t0.day_target_by_publication_group),"[{'gcp_project': 'unknown_project', 'dataset': 'unknown_dataset', 'table': 'unknown_table_t0'}]",t0_qt_ri7pj5hdlc,a42a8045-0c60-4346-bfd2-6d2b5839ebec
cons_daily_target_website_sum,Daily Target Website Sum,"The aggregated sum of daily targets specifically for website performance, indicating goals related to online presence, traffic, or user engagement.",SUM(t0.day_target_website),"[{'gcp_project': 'unknown_project', 'dataset': 'unknown_dataset', 'table': 'unknown_table_t0'}]",t0_qt_y7qal64alc,a42a8045-0c60-4346-bfd2-6d2b5839ebec
cons_digital_adds,Total Digital Adds,"The total count of new digital subscriptions, users, or customer additions recorded for a given period.",SUM(t0.adds),"[{'gcp_project': None, 'dataset': None, 'table': 't0'}]",t0_qt_9gk5krcs6c,acf4223b-efb2-4a6e-961d-a2f5fe0e004e
cons_digital_cancels,Total Digital Cancels,"The total count of digital subscriptions, users, or customer cancellations recorded for a given period.",SUM(t0.cancels),"[{'gcp_project': None, 'dataset': None, 'table': 't0'}]",t0_qt_ahk5krcs6c,acf4223b-efb2-4a6e-961d-a2f5fe0e004e
cons_digital_net_adds,Digital Net Adds,"The net change in digital subscriptions, users, or customers, calculated as the total additions minus total cancellations for a given period.",SUM(t0.adds - t0.cancels),"[{'gcp_project': None, 'dataset': None, 'table': 't0'}]",t0_qt_bhk5krcs6c,acf4223b-efb2-4a6e-961d-a2f5fe0e004e
cons_website_daily_target,Website Daily Target,"The predefined daily target value for website performance, used as a benchmark for comparison against actual website metrics.",SUM(t0.day_target_website),"[{'gcp_project': None, 'dataset': None, 'table': 't0'}]",t0_qt_y7qal64alc,acf4223b-efb2-4a6e-961d-a2f5fe0e004e
cons_iso_week_start_date,ISO Week Start Date,"The calculated start date of the ISO week for a given target date, primarily used as a dimension for weekly aggregation and time-series analysis.","SAFE_CAST(DATETIME_TRUNC(SAFE_CAST(PARSE_DATE('%Y%m%d', SAFE_CAST(t0.targetdate AS STRING)) AS DATETIME), ISOWEEK) AS DATE)","[{'gcp_project': None, 'dataset': None, 'table': 't0'}]",t0_qt_iptij9shzc,acf4223b-efb2-4a6e-961d-a2f5fe0e004e
cons_total_page_views,Total Page Views,"The sum of all page views recorded across all content, representing the total number of times content was viewed by users. This metric can be segmented by various dimensions such as time, client, industry, or device type, which should be handled by dashboard filters or groupings rather than separate metric definitions.",SUM(t0.page_view),"[{'gcp_project': 'your-gcp-project', 'dataset': 'your-dataset', 'table': 'engagement_data'}]",t0_qt_hbp9bt813c;t0_qt_vgeigzhz2c;t0_qt_573w68us5c;t0_qt_k1sjclnz2c,0f03691d-f6b8-4313-bfd9-a5fb1e6dedab
cons_unique_users,Unique Users,"The count of distinct user IDs, indicating the number of unique individuals who have engaged with the content or platform within a given period. This metric helps assess audience reach and can be analyzed over time.",COUNT(DISTINCT t0.ub_id),"[{'gcp_project': 'your-gcp-project', 'dataset': 'your-dataset', 'table': 'engagement_data'}]",t0_qt_vevrha813c,0f03691d-f6b8-4313-bfd9-a5fb1e6dedab
cons_unique_articles,Unique Articles,The count of distinct article IDs that have been viewed or referenced. This metric helps understand the breadth of content consumption and the variety of intellectual property being accessed.,COUNT(DISTINCT t0.articleid),"[{'gcp_project': 'your-gcp-project', 'dataset': 'your-dataset', 'table': 'engagement_data'}]",t0_qt_kqg8bu813c,0f03691d-f6b8-4313-bfd9-a5fb1e6dedab
cons_total_records,Total Records,"The total count of individual records processed or ingested by the Editorial AI system. This metric provides a fundamental measure of data volume and can be used as a base for further segmentation by various attributes (e.g., use case, event type) at the dashboard or reporting layer.",COUNT(1),"[{'gcp_project': 'your_gcp_project', 'dataset': 'your_dataset', 'table': 'your_source_table'}]",t0_qt_6x5l12l2ud;t0_qt_odsa42l2ud,a7a1d3ee-3b79-471c-a04a-22383717538e
cons_record_creation_timestamp_second_trunc,Record Creation Timestamp (Second Truncation),"The precise timestamp, truncated to the nearest second, indicating when a record was originally created or ingested into the system. This metric is essential for granular temporal analysis, allowing for the tracking of data freshness, ingestion patterns, and identifying time-based data anomalies.","DATETIME_TRUNC(t0.created_at, SECOND)","[{'gcp_project': 'your_gcp_project', 'dataset': 'your_dataset', 'table': 'your_source_table'}]",t0_qt_0sqp0xl2ud,a7a1d3ee-3b79-471c-a04a-22383717538e
cons_total_day_target_by_pub_group,Total Day Target by Publication Group,"Represents the aggregated daily content or performance target assigned to specific publication groups within the National Sports Newsroom. This metric is used to measure the collective daily goals for content creation, distribution, or audience reach.",SUM(t0.day_target_by_publication_group),"[{'gcp_project': 'verity-production', 'dataset': 'newsroom_data', 'table': 'daily_targets'}]",t0_qt_ynvcbtp3gd,4d233abb-3d9b-4942-98b0-3989e8986970
cons_daily_target_section_team,Daily Target - Section Team,The aggregated daily performance target specifically assigned to and measured for various section teams within the 'Verity 2.0 Local' operations.,SUM(t0.day_target_by_section_team),"[{'gcp_project': 'unknown', 'dataset': 'unknown', 'table': 'unknown'}]",t0_qt_nczzqawhwc,07de4dcd-194f-42aa-87bf-ee79996fb768
cons_daily_target_website,Daily Target - Website,The aggregated daily performance target specifically assigned to and measured for various websites under the 'Verity 2.0 Local' operations.,SUM(t0.day_target_website),"[{'gcp_project': 'unknown', 'dataset': 'unknown', 'table': 'unknown'}]",t0_qt_kgw2t5cewc,07de4dcd-194f-42aa-87bf-ee79996fb768
