record_id,dashboard_id,response_id,record_type,dashboard_name,business_domain,complexity_score,consolidation_score,date_grain,data_grain,primary_data_sources,date_range_detected,total_metrics_count,kpi_metrics_count,final_output_metrics_count,hardcoded_dates_count,hardcoded_values_count,governance_issues_count,metric_interactions_count,dashboard_description,metrics_summary,governance_summary,full_context,metric_id,metric_name,metric_type,calculation_type,is_kpi,is_final_output,business_criticality,metric_category,business_description,sql_logic,depends_on_metrics_count,data_sources_count
601ed0d2-e944-4189-8170-d593c8e72026_total_spend_ty,601ed0d2-e944-4189-8170-d593c8e72026,0,metric,Adex,advertising,,,,,,,,,,,,0,,"Total Spend (This Year) is a measure metric using sum calculation. classified as a key performance indicator. measuring Aggregated total spend for the 'This Year' period, based on selected time period and display unit.. from the Adex dashboard.","Aggregated total spend for the 'This Year' period, based on selected time period and display unit.",,individual_metric,total_spend_ty,Total Spend (This Year),measure,sum,True,True,high,revenue,"Aggregated total spend for the 'This Year' period, based on selected time period and display unit.",SUM(spend_ty_adjusted),1.0,2.0
601ed0d2-e944-4189-8170-d593c8e72026_total_spend_ly,601ed0d2-e944-4189-8170-d593c8e72026,0,metric,Adex,advertising,,,,,,,,,,,,0,,"Total Spend (Last Year) is a measure metric using sum calculation. classified as a key performance indicator. measuring Aggregated total spend for the 'Last Year' period, based on selected time period and display unit.. from the Adex dashboard.","Aggregated total spend for the 'Last Year' period, based on selected time period and display unit.",,individual_metric,total_spend_ly,Total Spend (Last Year),measure,sum,True,True,high,revenue,"Aggregated total spend for the 'Last Year' period, based on selected time period and display unit.",SUM(spend_ly_adjusted),1.0,2.0
601ed0d2-e944-4189-8170-d593c8e72026_total_spend_ty_news_corp,601ed0d2-e944-4189-8170-d593c8e72026,0,metric,Adex,advertising,,,,,,,,,,,,1,,Total Spend TY (News Corp) is a measure metric using sum calculation. classified as a key performance indicator. measuring Total spend for 'This Year' specifically for 'NEWS CORP' media network.. from the Adex dashboard.,Total spend for 'This Year' specifically for 'NEWS CORP' media network.,hardcoded_value_should_be_parameter,individual_metric,total_spend_ty_news_corp,Total Spend TY (News Corp),measure,sum,True,True,high,revenue,Total spend for 'This Year' specifically for 'NEWS CORP' media network.,SUM(CASE WHEN Media_Network = 'NEWS CORP' THEN spend_ty_adjusted ELSE 0 END),2.0,1.0
601ed0d2-e944-4189-8170-d593c8e72026_total_spend_ly_news_corp,601ed0d2-e944-4189-8170-d593c8e72026,0,metric,Adex,advertising,,,,,,,,,,,,1,,Total Spend LY (News Corp) is a measure metric using sum calculation. classified as a key performance indicator. measuring Total spend for 'Last Year' specifically for 'NEWS CORP' media network.. from the Adex dashboard.,Total spend for 'Last Year' specifically for 'NEWS CORP' media network.,hardcoded_value_should_be_parameter,individual_metric,total_spend_ly_news_corp,Total Spend LY (News Corp),measure,sum,True,True,high,revenue,Total spend for 'Last Year' specifically for 'NEWS CORP' media network.,SUM(CASE WHEN Media_Network = 'NEWS CORP' THEN spend_ly_adjusted ELSE 0 END),2.0,1.0
601ed0d2-e944-4189-8170-d593c8e72026_total_spend_ty_youtube,601ed0d2-e944-4189-8170-d593c8e72026,0,metric,Adex,advertising,,,,,,,,,,,,1,,Total Spend TY (Youtube) is a measure metric using sum calculation. measuring Total spend for 'This Year' specifically for 'youtube' media network.. from the Adex dashboard.,Total spend for 'This Year' specifically for 'youtube' media network.,hardcoded_value_should_be_parameter,individual_metric,total_spend_ty_youtube,Total Spend TY (Youtube),measure,sum,False,False,medium,revenue,Total spend for 'This Year' specifically for 'youtube' media network.,"SUM(IF(Media_Network = 'youtube' AND ty_ly_embed = 'ty', spend, 0)) OVER (PARTITION BY Advertiser)",2.0,1.0
601ed0d2-e944-4189-8170-d593c8e72026_total_spend_ty_facebook,601ed0d2-e944-4189-8170-d593c8e72026,0,metric,Adex,advertising,,,,,,,,,,,,1,,Total Spend TY (Facebook) is a measure metric using sum calculation. measuring Total spend for 'This Year' specifically for 'facebook' media network.. from the Adex dashboard.,Total spend for 'This Year' specifically for 'facebook' media network.,hardcoded_value_should_be_parameter,individual_metric,total_spend_ty_facebook,Total Spend TY (Facebook),measure,sum,False,False,medium,revenue,Total spend for 'This Year' specifically for 'facebook' media network.,"SUM(IF(Media_Network = 'facebook' AND ty_ly_embed = 'ty', spend, 0)) OVER (PARTITION BY Advertiser)",2.0,1.0
601ed0d2-e944-4189-8170-d593c8e72026_fixed_publisher_count,601ed0d2-e944-4189-8170-d593c8e72026,0,metric,Adex,advertising,,,,,,,,,,,,0,,Fixed Publisher Count is a measure metric using count_distinct calculation. measuring A global count of distinct media networks in the dataset. This value is constant across all rows.. from the Adex dashboard.,A global count of distinct media networks in the dataset. This value is constant across all rows.,,individual_metric,fixed_publisher_count,Fixed Publisher Count,measure,count_distinct,False,True,low,other,A global count of distinct media networks in the dataset. This value is constant across all rows.,COUNT(DISTINCT media_network) OVER (),1.0,2.0
d7412673-0af1-4efe-8374-ca475b001fb6_dashboard,d7412673-0af1-4efe-8374-ca475b001fb6,1,dashboard_summary,Finance OS datasource template report,finance,7.0,8.0,weekly,aggregate,ncau-data-newsquery-prd.asl_finance.v_asl_FCT_finance_os_aggregated;ncau-data-newsquery-prd.asl_finance.v_asl_DIM_os_publication_hierachy;ncau-data-newsquery-prd.asl_finance.v_asl_DIM_calendar;ncau-data-newsquery-prd.asl_finance.v_asl_DIM_period_control;ncau-data-newsquery-prd.asl_finance.v_asl_DIM_gl_department;ncau-data-newsquery-prd.asl_finance.v_asl_DIM_os_rel_timeperiod_weekly,"Relative to current date, filtered by 'CP' (Current Period) and 'PY' (Prior Year) in period control.",78.0,2.0,33.0,0.0,2.0,1,3.0,Finance OS datasource template report is a finance dashboard. containing 78 metrics. including 2 key performance indicators. with moderate complexity. drawing from 6 data sources.,Contains 78 metrics. 2 are key performance indicators. primarily focused on other metrics.,Has 1 governance issues. 1 hardcoded variable issues.,dashboard_summary,,,,,,,,,,,,
d7412673-0af1-4efe-8374-ca475b001fb6_fy_year,d7412673-0af1-4efe-8374-ca475b001fb6,1,metric,Finance OS datasource template report,finance,,,,,,,,,,,,0,,Fiscal Year is a dimension metric using direct calculation. measuring Categorical dimension for Fiscal Year.. from the Finance OS datasource template report dashboard.,Categorical dimension for Fiscal Year.,,individual_metric,fy_year,Fiscal Year,dimension,direct,False,True,medium,other,Categorical dimension for Fiscal Year.,t0.fy_year,0.0,4.0
d7412673-0af1-4efe-8374-ca475b001fb6_source_system_name,d7412673-0af1-4efe-8374-ca475b001fb6,1,metric,Finance OS datasource template report,finance,,,,,,,,,,,,0,,Source System Name is a dimension metric using direct calculation. measuring Categorical dimension for Source System Name.. from the Finance OS datasource template report dashboard.,Categorical dimension for Source System Name.,,individual_metric,source_system_name,Source System Name,dimension,direct,False,True,medium,other,Categorical dimension for Source System Name.,t0.source_system_name,0.0,4.0
d7412673-0af1-4efe-8374-ca475b001fb6_fiscal_week_id,d7412673-0af1-4efe-8374-ca475b001fb6,1,metric,Finance OS datasource template report,finance,,,,,,,,,,,,0,,Fiscal Week ID is a dimension metric using direct calculation. measuring Categorical dimension for Fiscal Week ID.. from the Finance OS datasource template report dashboard.,Categorical dimension for Fiscal Week ID.,,individual_metric,fiscal_week_id,Fiscal Week ID,dimension,direct,False,True,medium,other,Categorical dimension for Fiscal Week ID.,t0.fiscal_week_id,0.0,4.0
d7412673-0af1-4efe-8374-ca475b001fb6_gl_publication_code,d7412673-0af1-4efe-8374-ca475b001fb6,1,metric,Finance OS datasource template report,finance,,,,,,,,,,,,0,,GL Publication Code is a dimension metric using direct calculation. measuring Categorical dimension for GL Publication Code.. from the Finance OS datasource template report dashboard.,Categorical dimension for GL Publication Code.,,individual_metric,gl_publication_code,GL Publication Code,dimension,direct,False,True,medium,other,Categorical dimension for GL Publication Code.,t0.gl_publication_code,0.0,2.0
d7412673-0af1-4efe-8374-ca475b001fb6_day_of_week,d7412673-0af1-4efe-8374-ca475b001fb6,1,metric,Finance OS datasource template report,finance,,,,,,,,,,,,0,,Day of Week is a dimension metric using direct calculation. measuring Categorical dimension for Day of Week.. from the Finance OS datasource template report dashboard.,Categorical dimension for Day of Week.,,individual_metric,day_of_week,Day of Week,dimension,direct,False,True,medium,other,Categorical dimension for Day of Week.,t0.day_of_week,0.0,1.0
d7412673-0af1-4efe-8374-ca475b001fb6_state,d7412673-0af1-4efe-8374-ca475b001fb6,1,metric,Finance OS datasource template report,finance,,,,,,,,,,,,0,,State is a dimension metric using direct calculation. measuring Categorical dimension for State.. from the Finance OS datasource template report dashboard.,Categorical dimension for State.,,individual_metric,state,State,dimension,direct,False,True,medium,other,Categorical dimension for State.,t0.state,0.0,1.0
d7412673-0af1-4efe-8374-ca475b001fb6_fy_year_week_number,d7412673-0af1-4efe-8374-ca475b001fb6,1,metric,Finance OS datasource template report,finance,,,,,,,,,,,,0,,Fiscal Year Week Number is a dimension metric using direct calculation. measuring Categorical dimension for Fiscal Year Week Number.. from the Finance OS datasource template report dashboard.,Categorical dimension for Fiscal Year Week Number.,,individual_metric,fy_year_week_number,Fiscal Year Week Number,dimension,direct,False,True,medium,other,Categorical dimension for Fiscal Year Week Number.,t0.fy_year_week_number,0.0,4.0
d7412673-0af1-4efe-8374-ca475b001fb6_fy_first_day_of_week,d7412673-0af1-4efe-8374-ca475b001fb6,1,metric,Finance OS datasource template report,finance,,,,,,,,,,,,0,,Fiscal First Day of Week is a dimension metric using direct calculation. measuring Categorical dimension for Fiscal First Day of Week.. from the Finance OS datasource template report dashboard.,Categorical dimension for Fiscal First Day of Week.,,individual_metric,fy_first_day_of_week,Fiscal First Day of Week,dimension,direct,False,True,medium,other,Categorical dimension for Fiscal First Day of Week.,t0.fy_first_day_of_week,0.0,4.0
d7412673-0af1-4efe-8374-ca475b001fb6_fy_last_day_of_week,d7412673-0af1-4efe-8374-ca475b001fb6,1,metric,Finance OS datasource template report,finance,,,,,,,,,,,,0,,Fiscal Last Day of Week is a dimension metric using direct calculation. measuring Categorical dimension for Fiscal Last Day of Week.. from the Finance OS datasource template report dashboard.,Categorical dimension for Fiscal Last Day of Week.,,individual_metric,fy_last_day_of_week,Fiscal Last Day of Week,dimension,direct,False,True,medium,other,Categorical dimension for Fiscal Last Day of Week.,t0.fy_last_day_of_week,0.0,4.0
d7412673-0af1-4efe-8374-ca475b001fb6_fy_month_of_year,d7412673-0af1-4efe-8374-ca475b001fb6,1,metric,Finance OS datasource template report,finance,,,,,,,,,,,,0,,Fiscal Month of Year is a dimension metric using direct calculation. measuring Categorical dimension for Fiscal Month of Year.. from the Finance OS datasource template report dashboard.,Categorical dimension for Fiscal Month of Year.,,individual_metric,fy_month_of_year,Fiscal Month of Year,dimension,direct,False,True,medium,other,Categorical dimension for Fiscal Month of Year.,t0.fy_month_of_year,0.0,4.0
d7412673-0af1-4efe-8374-ca475b001fb6_fy_year_month_number,d7412673-0af1-4efe-8374-ca475b001fb6,1,metric,Finance OS datasource template report,finance,,,,,,,,,,,,0,,Fiscal Year Month Number is a dimension metric using direct calculation. measuring Categorical dimension for Fiscal Year Month Number.. from the Finance OS datasource template report dashboard.,Categorical dimension for Fiscal Year Month Number.,,individual_metric,fy_year_month_number,Fiscal Year Month Number,dimension,direct,False,True,medium,other,Categorical dimension for Fiscal Year Month Number.,t0.fy_year_month_number,0.0,4.0
d7412673-0af1-4efe-8374-ca475b001fb6_relative_fisc_year_number,d7412673-0af1-4efe-8374-ca475b001fb6,1,metric,Finance OS datasource template report,finance,,,,,,,,,,,,0,,Relative Fiscal Year Number is a dimension metric using direct calculation. measuring Categorical dimension for Relative Fiscal Year Number.. from the Finance OS datasource template report dashboard.,Categorical dimension for Relative Fiscal Year Number.,,individual_metric,relative_fisc_year_number,Relative Fiscal Year Number,dimension,direct,False,True,medium,other,Categorical dimension for Relative Fiscal Year Number.,t0.relative_fisc_year_number,0.0,4.0
d7412673-0af1-4efe-8374-ca475b001fb6_relative_fisc_week_number,d7412673-0af1-4efe-8374-ca475b001fb6,1,metric,Finance OS datasource template report,finance,,,,,,,,,,,,0,,Relative Fiscal Week Number is a dimension metric using direct calculation. measuring Categorical dimension for Relative Fiscal Week Number.. from the Finance OS datasource template report dashboard.,Categorical dimension for Relative Fiscal Week Number.,,individual_metric,relative_fisc_week_number,Relative Fiscal Week Number,dimension,direct,False,True,medium,other,Categorical dimension for Relative Fiscal Week Number.,t0.relative_fisc_week_number,0.0,4.0
d7412673-0af1-4efe-8374-ca475b001fb6_fy_month_of_year_short_name,d7412673-0af1-4efe-8374-ca475b001fb6,1,metric,Finance OS datasource template report,finance,,,,,,,,,,,,0,,Fiscal Month Short Name is a dimension metric using direct calculation. measuring Categorical dimension for Fiscal Month Short Name.. from the Finance OS datasource template report dashboard.,Categorical dimension for Fiscal Month Short Name.,,individual_metric,fy_month_of_year_short_name,Fiscal Month Short Name,dimension,direct,False,True,medium,other,Categorical dimension for Fiscal Month Short Name.,t0.fy_month_of_year_short_name,0.0,4.0
d7412673-0af1-4efe-8374-ca475b001fb6_fy_quarter_of_year,d7412673-0af1-4efe-8374-ca475b001fb6,1,metric,Finance OS datasource template report,finance,,,,,,,,,,,,0,,Fiscal Quarter of Year is a dimension metric using direct calculation. measuring Categorical dimension for Fiscal Quarter of Year.. from the Finance OS datasource template report dashboard.,Categorical dimension for Fiscal Quarter of Year.,,individual_metric,fy_quarter_of_year,Fiscal Quarter of Year,dimension,direct,False,True,medium,other,Categorical dimension for Fiscal Quarter of Year.,t0.fy_quarter_of_year,0.0,4.0
d7412673-0af1-4efe-8374-ca475b001fb6_department_code,d7412673-0af1-4efe-8374-ca475b001fb6,1,metric,Finance OS datasource template report,finance,,,,,,,,,,,,0,,Department Code is a dimension metric using direct calculation. measuring Categorical dimension for Department Code.. from the Finance OS datasource template report dashboard.,Categorical dimension for Department Code.,,individual_metric,department_code,Department Code,dimension,direct,False,True,medium,other,Categorical dimension for Department Code.,t0.department_code,0.0,2.0
d7412673-0af1-4efe-8374-ca475b001fb6_period_name,d7412673-0af1-4efe-8374-ca475b001fb6,1,metric,Finance OS datasource template report,finance,,,,,,,,,,,,0,,Period Name (CP/PY) is a dimension metric using direct calculation. measuring Categorical dimension for Period Name (CP/PY).. from the Finance OS datasource template report dashboard.,Categorical dimension for Period Name (CP/PY).,,individual_metric,period_name,Period Name (CP/PY),dimension,direct,False,True,medium,other,Categorical dimension for Period Name (CP/PY).,t0.period_name,0.0,4.0
d7412673-0af1-4efe-8374-ca475b001fb6_os_level_1,d7412673-0af1-4efe-8374-ca475b001fb6,1,metric,Finance OS datasource template report,finance,,,,,,,,,,,,0,,OS Level 1 is a dimension metric using direct calculation. measuring Categorical dimension for OS Level 1.. from the Finance OS datasource template report dashboard.,Categorical dimension for OS Level 1.,,individual_metric,os_level_1,OS Level 1,dimension,direct,False,True,medium,other,Categorical dimension for OS Level 1.,t0.os_level_1,0.0,1.0
d7412673-0af1-4efe-8374-ca475b001fb6_os_level_2,d7412673-0af1-4efe-8374-ca475b001fb6,1,metric,Finance OS datasource template report,finance,,,,,,,,,,,,0,,OS Level 2 is a dimension metric using direct calculation. measuring Categorical dimension for OS Level 2.. from the Finance OS datasource template report dashboard.,Categorical dimension for OS Level 2.,,individual_metric,os_level_2,OS Level 2,dimension,direct,False,True,medium,other,Categorical dimension for OS Level 2.,t0.os_level_2,0.0,1.0
d7412673-0af1-4efe-8374-ca475b001fb6_os_level_3,d7412673-0af1-4efe-8374-ca475b001fb6,1,metric,Finance OS datasource template report,finance,,,,,,,,,,,,0,,OS Level 3 is a dimension metric using direct calculation. measuring Categorical dimension for OS Level 3.. from the Finance OS datasource template report dashboard.,Categorical dimension for OS Level 3.,,individual_metric,os_level_3,OS Level 3,dimension,direct,False,True,medium,other,Categorical dimension for OS Level 3.,t0.os_level_3,0.0,1.0
d7412673-0af1-4efe-8374-ca475b001fb6_os_level_4,d7412673-0af1-4efe-8374-ca475b001fb6,1,metric,Finance OS datasource template report,finance,,,,,,,,,,,,0,,OS Level 4 is a dimension metric using direct calculation. measuring Categorical dimension for OS Level 4.. from the Finance OS datasource template report dashboard.,Categorical dimension for OS Level 4.,,individual_metric,os_level_4,OS Level 4,dimension,direct,False,True,medium,other,Categorical dimension for OS Level 4.,t0.os_level_4,0.0,1.0
d7412673-0af1-4efe-8374-ca475b001fb6_os_level_5,d7412673-0af1-4efe-8374-ca475b001fb6,1,metric,Finance OS datasource template report,finance,,,,,,,,,,,,0,,OS Level 5 is a dimension metric using direct calculation. measuring Categorical dimension for OS Level 5.. from the Finance OS datasource template report dashboard.,Categorical dimension for OS Level 5.,,individual_metric,os_level_5,OS Level 5,dimension,direct,False,True,medium,other,Categorical dimension for OS Level 5.,t0.os_level_5,0.0,1.0
d7412673-0af1-4efe-8374-ca475b001fb6_os_level_6,d7412673-0af1-4efe-8374-ca475b001fb6,1,metric,Finance OS datasource template report,finance,,,,,,,,,,,,0,,OS Level 6 is a dimension metric using direct calculation. measuring Categorical dimension for OS Level 6.. from the Finance OS datasource template report dashboard.,Categorical dimension for OS Level 6.,,individual_metric,os_level_6,OS Level 6,dimension,direct,False,True,medium,other,Categorical dimension for OS Level 6.,t0.os_level_6,0.0,1.0
d7412673-0af1-4efe-8374-ca475b001fb6_os_level_7,d7412673-0af1-4efe-8374-ca475b001fb6,1,metric,Finance OS datasource template report,finance,,,,,,,,,,,,0,,OS Level 7 is a dimension metric using direct calculation. measuring Categorical dimension for OS Level 7.. from the Finance OS datasource template report dashboard.,Categorical dimension for OS Level 7.,,individual_metric,os_level_7,OS Level 7,dimension,direct,False,True,medium,other,Categorical dimension for OS Level 7.,t0.os_level_7,0.0,1.0
d7412673-0af1-4efe-8374-ca475b001fb6_os_level_8,d7412673-0af1-4efe-8374-ca475b001fb6,1,metric,Finance OS datasource template report,finance,,,,,,,,,,,,0,,OS Level 8 is a dimension metric using direct calculation. measuring Categorical dimension for OS Level 8.. from the Finance OS datasource template report dashboard.,Categorical dimension for OS Level 8.,,individual_metric,os_level_8,OS Level 8,dimension,direct,False,True,medium,other,Categorical dimension for OS Level 8.,t0.os_level_8,0.0,1.0
d7412673-0af1-4efe-8374-ca475b001fb6_os_level_9,d7412673-0af1-4efe-8374-ca475b001fb6,1,metric,Finance OS datasource template report,finance,,,,,,,,,,,,0,,OS Level 9 is a dimension metric using direct calculation. measuring Categorical dimension for OS Level 9.. from the Finance OS datasource template report dashboard.,Categorical dimension for OS Level 9.,,individual_metric,os_level_9,OS Level 9,dimension,direct,False,True,medium,other,Categorical dimension for OS Level 9.,t0.os_level_9,0.0,1.0
d7412673-0af1-4efe-8374-ca475b001fb6_os_level_10,d7412673-0af1-4efe-8374-ca475b001fb6,1,metric,Finance OS datasource template report,finance,,,,,,,,,,,,0,,OS Level 10 is a dimension metric using direct calculation. measuring Categorical dimension for OS Level 10.. from the Finance OS datasource template report dashboard.,Categorical dimension for OS Level 10.,,individual_metric,os_level_10,OS Level 10,dimension,direct,False,True,medium,other,Categorical dimension for OS Level 10.,t0.os_level_10,0.0,1.0
d7412673-0af1-4efe-8374-ca475b001fb6_os_level_11,d7412673-0af1-4efe-8374-ca475b001fb6,1,metric,Finance OS datasource template report,finance,,,,,,,,,,,,0,,OS Level 11 is a dimension metric using direct calculation. measuring Categorical dimension for OS Level 11.. from the Finance OS datasource template report dashboard.,Categorical dimension for OS Level 11.,,individual_metric,os_level_11,OS Level 11,dimension,direct,False,True,medium,other,Categorical dimension for OS Level 11.,t0.os_level_11,0.0,1.0
