variable_type,hardcoded_values,context,suggested_governance,impact,maintenance_risk,response_id,dashboard_id,issue_type,hardcoded_values_count,hardcoded_values_text,date_value,original_format,suggested_fix,urgency
lookup_codes,"[""'TA'"", ""'CM'"", ""'DT'"", ""'HS'"", ""'AA'"", ""'CP'"", ""'GA'"", ""'GC'"", ""'NT'"", ""'TM'"", ""'TB'"", ""'TC'"", ""'WT'"", ""'SC'"", ""'CS'"", ""'TS'"", ""'AP'"", ""'RN'"", ""'PU'""]",Maps `masthead` codes to `Masthead Grouping` and `Masthead Category` dimensions.,Create a `masthead_lookup` reference table with `masthead_grouping` and `masthead_category` columns.,high,high,2,4d22b4c2-4bb3-49db-a0c1-4d46d4fba101,hardcoded_variable,19.0,"'TA', 'CM', 'DT', 'HS', 'AA', 'CP', 'GA', 'GC', 'NT', 'TM', 'TB', 'TC', 'WT', 'SC', 'CS', 'TS', 'AP', 'RN', 'PU'",,,,
business_rules,"[""'op'""]",Excludes records where `table_nm` is 'op'.,Define exclusion rules in a configuration table or parameter.,low,low,2,4d22b4c2-4bb3-49db-a0c1-4d46d4fba101,hardcoded_variable,1.0,'op',,,,
lookup_codes,"[""'_AB'"", ""'_BB'"", ""'_CF'"", ""'_CS'"", ""'_FA'"", ""'_FF'"", ""'_NA'"", ""'_PC'"", ""'_PE'"", ""'_SL'"", ""'_SS'"", ""'_TE'"", ""'_TH'"", ""'_TO'"", ""'_WS'"", ""'PRED'"", ""'AMP'"", ""'FBK'"", ""'FMB'"", ""'GGL'"", ""'GGN'"", ""'INS'"", ""'LIN'"", ""'NEW'"", ""'NWL'"", ""'POD'"", ""'POR'"", ""'RED'"", ""'SCP'"", ""'SEC'"", ""'TCA'"", ""'TMP'"", ""'TWA'"", ""'TWT'"", ""'WID'""]",Extensive `STRPOS` logic to derive `Source/Channel` from `sold_in_source_code`.,Create a `source_channel_mapping` reference table with regex patterns or `STRPOS` values and their corresponding channel names.,high,high,2,4d22b4c2-4bb3-49db-a0c1-4d46d4fba101,hardcoded_variable,35.0,"'_AB', '_BB', '_CF', '_CS', '_FA', '_FF', '_NA', '_PC', '_PE', '_SL', '_SS', '_TE', '_TH', '_TO', '_WS', 'PRED', 'AMP', 'FBK', 'FMB', 'GGL', 'GGN', 'INS', 'LIN', 'NEW', 'NWL', 'POD', 'POR', 'RED', 'SCP', 'SEC', 'TCA', 'TMP', 'TWA', 'TWT', 'WID'",,,,
lookup_codes,"[""'App Subscribers'"", ""'Bundles'"", ""'Digital'"", ""'DPE only'"", ""'Essentials'"", ""'Gift Bundles Activation'"", ""'Gift Digital Activation'"", ""'Mind Games'"", ""'Press Reader'"", ""'Print-only'"", ""'Wine Club'"", ""'Campus Activation'"", ""'Campus Sub'"", ""'Corp Volume Print'"", ""'Corporate Activation'"", ""'Corporate Enterprise Sub'"", ""'Corporate Enterprise Activation'"", ""'Corporate Enterprise Activation - Amex'"", ""'Corporate Enterprise Activation - Qantas'"", ""'Corporate Sub'"", ""'Corporate Volume Activation'"", ""'Corporate Volume Sub'"", ""'SMB Activation'"", ""'SMB Digital'"", ""'Free Staff'"", ""'IP Access'"", ""'Teachers Bundle'"", ""'Teachers Digital'"", ""'Teachers Print'"", ""'University Bundle'"", ""'University Digital'""]",Maps `classification_level_2` values to `Classification Level Grouping` (B2C/B2B/Others).,Create a `classification_level_lookup` reference table.,high,high,2,4d22b4c2-4bb3-49db-a0c1-4d46d4fba101,hardcoded_variable,31.0,"'App Subscribers', 'Bundles', 'Digital', 'DPE only', 'Essentials', 'Gift Bundles Activation', 'Gift Digital Activation', 'Mind Games', 'Press Reader', 'Print-only', 'Wine Club', 'Campus Activation', 'Campus Sub', 'Corp Volume Print', 'Corporate Activation', 'Corporate Enterprise Sub', 'Corporate Enterprise Activation', 'Corporate Enterprise Activation - Amex', 'Corporate Enterprise Activation - Qantas', 'Corporate Sub', 'Corporate Volume Activation', 'Corporate Volume Sub', 'SMB Activation', 'SMB Digital', 'Free Staff', 'IP Access', 'Teachers Bundle', 'Teachers Digital', 'Teachers Print', 'University Bundle', 'University Digital'",,,,
,,financial_year filter in all queries,,high,,3,e83da1de-4227-43e6-bcc6-73051c66914b,hardcoded_date,,,2025,STRING,replace with a parameter or a function like GET_CURRENT_FINANCIAL_YEAR(),high
,,fy_year_month_number filter in query 1,,high,,3,e83da1de-4227-43e6-bcc6-73051c66914b,hardcoded_date,,,"202501, 202502, 202503",INT64,"replace with parameters or relative month logic (e.g., first quarter of current FY)",high
categories,"[""'^(.*event sponsorship.*)$'"", ""'^(.*production.*)$'""]","adsize_name categorization into 'Sponsorship', 'Production', 'Media'","define adsize categories in a lookup table and join, or use a UDF for categorization logic",medium,high,3,e83da1de-4227-43e6-bcc6-73051c66914b,hardcoded_variable,2.0,"'^(.*event sponsorship.*)$', '^(.*production.*)$'",,,,
business_entities,"[""'Future Bradfield 2024'"", ""'Sydney & Brisbane Future Series'"", ""'Future Bradfield FY25 B1'"", ""'Future Sydney Bradfield 2024'""]",booking_name filter in query 3,manage specific booking names in a reference table or allow dynamic selection via dashboard controls,medium,high,3,e83da1de-4227-43e6-bcc6-73051c66914b,hardcoded_variable,4.0,"'Future Bradfield 2024', 'Sydney & Brisbane Future Series', 'Future Bradfield FY25 B1', 'Future Sydney Bradfield 2024'",,,,
relative_offset,"['-1', '0', '1']",relative_fy_year_offset filter in all queries,"while common, consider making the offset range configurable if business needs change frequently",low,low,3,e83da1de-4227-43e6-bcc6-73051c66914b,hardcoded_variable,3.0,"-1, 0, 1",,,,
lookup_codes,"[""'03'""]",Revenue type prefix used in CASE statement to filter amount and volume.,Join to a `revenue_type_lookup` table that maps codes to descriptions.,high,high,4,f7a9efeb-df3c-45c9-899d-0bcada701572,hardcoded_variable,1.0,'03',,,,
business_rules,"[""'Circulation'"", ""'Estimate'"", ""'RCTI'"", ""'THINK'"", ""'DTI'""]",Filters applied to `finance_operating_statement` and `v_circulation_snapshot_fct` for data freshness metric.,"Use a configuration table for source system names, scenarios, and sub-source system names.",medium,medium,4,f7a9efeb-df3c-45c9-899d-0bcada701572,hardcoded_variable,5.0,"'Circulation', 'Estimate', 'RCTI', 'THINK', 'DTI'",,,,
timezone,"[""'Australia/Sydney'""]",Timezone used in `datetime` function for load timestamp.,Parameterize timezone or use a global configuration setting.,low,low,4,f7a9efeb-df3c-45c9-899d-0bcada701572,hardcoded_variable,1.0,'Australia/Sydney',,,,
,,"Used as a fixed reference date for calculating relative dates (e.g., 365 days prior) and for filtering. This date seems to be the 'current' date for FY26 interim reporting.",,high,,5,9269e9c6-1ad0-4415-96c3-aca8a710ba01,hardcoded_date,,,2025-06-23,2025-06-23 10:00:32.354880+00,"Replace with CURRENT_DATE() or a dashboard parameter for the reporting date. If it's a specific FY end date, it should be derived from a fiscal calendar table.",high
business_rules,"[""'$\\'000'"", ""'$'""]",Controls whether revenue amounts are divided by 1000. This is an unusual way to implement a 'thousands' toggle.,"Implement a boolean parameter (e.g., `show_in_thousands BOOLEAN`) in Looker Studio or a configuration table to control this conversion.",medium,medium,5,9269e9c6-1ad0-4415-96c3-aca8a710ba01,hardcoded_variable,2.0,"'$\'000', '$'",,,,
categories,"[""'OUTSTREAM'"", ""'XTEND'"", ""'EDMEDIA'"", ""'ECOMMERCE'""]",Specific categories of 'unified_publication_name' used in a filter for 'clmn27_'.,Create a reference table for 'unified_publication_name_categories' or define these as a Looker Studio parameter list.,medium,medium,5,9269e9c6-1ad0-4415-96c3-aca8a710ba01,hardcoded_variable,4.0,"'OUTSTREAM', 'XTEND', 'EDMEDIA', 'ECOMMERCE'",,,,
categories,"[""'Consortium QLD'""]",Specific 'sales_segment_l_2_name' used as a filter.,Create a reference table for 'sales_segments' or define as a Looker Studio parameter.,medium,medium,5,9269e9c6-1ad0-4415-96c3-aca8a710ba01,hardcoded_variable,1.0,'Consortium QLD',,,,
exclusions,"[""'DOUBLECLICK'""]",Specific 'advertiser_parent' excluded from some calculations.,Create a reference table for 'excluded_advertisers' or define as a Looker Studio parameter.,low,low,5,9269e9c6-1ad0-4415-96c3-aca8a710ba01,hardcoded_variable,1.0,'DOUBLECLICK',,,,
business_rules,"['0', '1']",Used for 'relative_fy_year_offset' to distinguish current (0) vs. previous (1) fiscal year revenue.,Document these values clearly or derive them from a fiscal calendar table that explicitly defines 'current_fy_offset' and 'previous_fy_offset'.,low,low,5,9269e9c6-1ad0-4415-96c3-aca8a710ba01,hardcoded_variable,2.0,"0, 1",,,,
categories,"[""'DIGITAL'"", ""'Digital Other'""]","Used for 'revenue_group_subtype', 'revenue_type', and 'sales_segment_l_2_name_sync' in conditional logic.",Define these categories in a lookup table if they are subject to change or need more detailed definitions.,low,low,5,9269e9c6-1ad0-4415-96c3-aca8a710ba01,hardcoded_variable,2.0,"'DIGITAL', 'Digital Other'",,,,
business_rules,"[""'Jul Q1 H1'""]",Specific combined period string used as a filter for advertiser_parent.,"This complex string should be derived from date parameters (e.g., selected month, quarter, half-year) rather than hardcoded.",high,high,5,9269e9c6-1ad0-4415-96c3-aca8a710ba01,hardcoded_variable,1.0,'Jul Q1 H1',,,,
,,Used as the reference date for calculating 'current' fiscal week (Week 38) in Query 1.,,high,,6,bb49fa78-5abe-4e68-a9c1-8172a832e724,hardcoded_date,,,2025-03-26,2025-03-26 03:31:44.896010+00,Replace with `CURRENT_DATE()` or a dashboard parameter for dynamic 'current week' calculation.,high
,,Used as the reference date for calculating 'current' fiscal week (Week 37) in Query 2.,,high,,6,bb49fa78-5abe-4e68-a9c1-8172a832e724,hardcoded_date,,,2025-03-25,2025-03-25 23:59:29.736172+00,Replace with `CURRENT_DATE()` or a dashboard parameter for dynamic 'current week' calculation.,high
,,Used as the baseline date for `DATETIME_DIFF` to calculate week numbers from the start of a fiscal year/period.,,medium,,6,bb49fa78-5abe-4e68-a9c1-8172a832e724,hardcoded_date,,,2024-07-03,2024-07-03T00:00:00,"This might be a fixed fiscal year start date. If so, it should be documented. If it's meant to be dynamic, it should be parameterized or derived from a fiscal calendar table.",medium
filter_values,"[""'Discontinued'"", ""'Digital Recognition'""]",Used to filter `masthead_group` and `finance_recognition`.,"These values should be managed in a reference table (e.g., `dim_masthead_status`, `dim_finance_recognition_type`) and joined, or exposed as dashboard parameters.",medium,medium,6,bb49fa78-5abe-4e68-a9c1-8172a832e724,hardcoded_variable,2.0,"'Discontinued', 'Digital Recognition'",,,,
fiscal_years,"['2025', '2024']",Used to filter data for specific fiscal years (current and prior).,"Replace with dynamic calculations (e.g., `EXTRACT(YEAR FROM CURRENT_DATE())`, `EXTRACT(YEAR FROM CURRENT_DATE()) - 1`) or dashboard parameters for selecting fiscal years.",high,high,6,bb49fa78-5abe-4e68-a9c1-8172a832e724,hardcoded_variable,2.0,"2025, 2024",,,,
conditional_logic_flags,"['1 = 1', '1 = 2', '1 = 3', '1 = 4', '0 = 0']","Used extensively in `CASE WHEN` statements to select specific branches of logic. In Query 3, this makes the 'Dashboard View Type' static.","This pattern often indicates Looker Studio's internal parameter handling. If the dashboard is intended to be dynamic, these conditions should be replaced by actual parameter values passed from Looker Studio. If static, the `CASE WHEN` can be simplified.",high,high,6,bb49fa78-5abe-4e68-a9c1-8172a832e724,hardcoded_variable,5.0,"1 = 1, 1 = 2, 1 = 3, 1 = 4, 0 = 0",,,,
custom_fiscal_week_buckets,"['clmn30_ <= 4', 'clmn30_ <= 9', 'clmn30_ <= 13', 'clmn30_ <= 17', 'clmn30_ <= 22', 'clmn30_ <= 26', 'clmn30_ <= 30', 'clmn30_ <= 35', 'clmn30_ <= 39', 'clmn30_ <= 43', 'clmn30_ <= 48', 'clmn30_ <= 53']","Used to categorize fiscal weeks into custom periods (e.g., for reporting cycles).","These bucketing rules should be defined in a dedicated fiscal calendar dimension table or a configuration table, rather than hardcoded in queries. This allows for easier updates and consistency across reports.",medium,medium,6,bb49fa78-5abe-4e68-a9c1-8172a832e724,hardcoded_variable,12.0,"clmn30_ <= 4, clmn30_ <= 9, clmn30_ <= 13, clmn30_ <= 17, clmn30_ <= 22, clmn30_ <= 26, clmn30_ <= 30, clmn30_ <= 35, clmn30_ <= 39, clmn30_ <= 43, clmn30_ <= 48, clmn30_ <= 53",,,,
,,Used as a reference date for calculating day of week and week differences. Appears in multiple nested calculations.,,high,,7,6a26c78f-0070-4fb3-88b8-691ee4a4485a,hardcoded_date,,,2025-04-15,2025-04-15 04:14:20.297382+00,Replace with CURRENT_TIMESTAMP() or a dashboard date parameter to allow dynamic reporting.,high
,,Used as a baseline date in DATETIME_DIFF calculation for week differences. Appears in multiple nested calculations.,,high,,7,6a26c78f-0070-4fb3-88b8-691ee4a4485a,hardcoded_date,,,2024-07-03,2024-07-03T00:00:00,Replace with a dynamic fiscal year start date from a calendar dimension table or a parameter.,high
lookup_codes,"[""'The Daily Telegraph'"", ""'The Herald Sun'"", ""'The Advertiser'"", ""'Courier Mail'"", ""'Weekly Times'"", ""'The Australian'"", ""'The Sportsman'"", ""'Mercury'"", ""'Northern Territory News'"", ""'Geelong Advertiser'"", ""'Cairns Post'"", ""'GCB'"", ""'Townsville Bulletin'"", ""'The Chronicle'"", ""'Daily Mercury'"", ""'Sunshine Coast'""]",Publication names are hardcoded in extensive CASE statements for standardization and grouping. This logic is duplicated across queries.,"Create a `dim_publication` table with `publication_code`, `publication_name`, `standardized_name`, `state_region`, `publication_group` (e.g., '6 Day Pubs', 'PNG'), and join to this dimension.",high,high,7,6a26c78f-0070-4fb3-88b8-691ee4a4485a,hardcoded_variable,16.0,"'The Daily Telegraph', 'The Herald Sun', 'The Advertiser', 'Courier Mail', 'Weekly Times', 'The Australian', 'The Sportsman', 'Mercury', 'Northern Territory News', 'Geelong Advertiser', 'Cairns Post', 'GCB', 'Townsville Bulletin', 'The Chronicle', 'Daily Mercury', 'Sunshine Coast'",,,,
business_rules,"[""'CIRCULATION'"", ""'FY2025'"", ""'Free News & Lifestyle'"", ""'Food'"", ""'Prestige'"", ""'DTI Free Copies'"", ""'Retail'"", ""'ALL SALES CHANNELS'"", ""'6 Day Pubs'"", ""'PNG'"", ""'M-F'"", ""'SAT'"", ""'Sun'"", ""'YTD'""]",Core business filters and categorization logic are hardcoded directly in WHERE clauses and CASE statements.,"Externalize these rules into configuration tables or flags within dimension tables. For example, a `dim_channel` table for 'Retail' or a `dim_product_category` for 'Food'/'Prestige'. Fiscal year 'FY2025' should be a parameter.",high,high,7,6a26c78f-0070-4fb3-88b8-691ee4a4485a,hardcoded_variable,14.0,"'CIRCULATION', 'FY2025', 'Free News & Lifestyle', 'Food', 'Prestige', 'DTI Free Copies', 'Retail', 'ALL SALES CHANNELS', '6 Day Pubs', 'PNG', 'M-F', 'SAT', 'Sun', 'YTD'",,,,
thresholds,"['0', '1', '2', '3', '4', '5', '6', '7', '9', '10', '12', '26', '40']","Numeric values used in conditional logic (e.g., `relative_fisc_week_number < 0`, `fy_month_of_year < 4`, `week_num_for_calc*2`, `week_num_for_calc*5`, `fy_week_of_year = 26`).","Review if these are fixed business rules or configurable thresholds. If configurable, move to a configuration table. If fixed, add comments to explain their business meaning.",medium,medium,7,6a26c78f-0070-4fb3-88b8-691ee4a4485a,hardcoded_variable,13.0,"0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 12, 26, 40",,,,
,,Used as a fixed snapshot date for fiscal week calculations in Query 1. This implies a static report.,,high,,8,5dae02f0-dc48-418c-bdf9-5e5d2b1d6e26,hardcoded_date,,,2025-03-23,2025-03-23 04:54:02.058726+00,"Replace with a dynamic date (e.g., CURRENT_DATE()) or a Looker Studio date parameter to allow for flexible reporting periods.",high
,,Used as the baseline date for calculating fiscal week numbers (DATETIME_DIFF).,,medium,,8,5dae02f0-dc48-418c-bdf9-5e5d2b1d6e26,hardcoded_date,,,2024-07-03,2024-07-03T00:00:00,Parameterize the fiscal year start date or derive it from a fiscal calendar table.,medium
,,Hardcoded fiscal year in the 'FY YYYY Week WW (Month Name)' string.,,medium,,8,5dae02f0-dc48-418c-bdf9-5e5d2b1d6e26,hardcoded_date,,,2025,'2025',Derive the fiscal year dynamically from the transaction date or a fiscal calendar table.,medium
business_rules,"[""'a' = 'a'"", '0 = 0', '1 = 1', '2 = 1', '2 = 2', '2 = 3', '2 = 4']",Redundant or hardcoded conditions used for scenario selection or simple pass-through logic.,"Remove redundant conditions. For scenario selection, use parameters or a lookup table.",low,low,8,5dae02f0-dc48-418c-bdf9-5e5d2b1d6e26,hardcoded_variable,7.0,"'a' = 'a', 0 = 0, 1 = 1, 2 = 1, 2 = 2, 2 = 3, 2 = 4",,,,
categories,"[""'All Mastheads'"", ""'Digital Recognition'"", ""'Print Recognition'"", ""'The Australian'"", ""'Metros'"", ""'Regionals'"", ""'Others'"", ""'Deep Niche Publications'"", ""'Discontinued'"", ""'The Australian and Prestige'"", ""'States & Community'"", ""'Commercial Content'"", ""'Free & Lifestyle'""]","Categorical values for masthead groups, recognition types, and masthead categories are hardcoded within CASE statements.",Create and join to a `masthead_lookup` or `category_master` table. This centralizes definitions and simplifies updates.,high,high,8,5dae02f0-dc48-418c-bdf9-5e5d2b1d6e26,hardcoded_variable,13.0,"'All Mastheads', 'Digital Recognition', 'Print Recognition', 'The Australian', 'Metros', 'Regionals', 'Others', 'Deep Niche Publications', 'Discontinued', 'The Australian and Prestige', 'States & Community', 'Commercial Content', 'Free & Lifestyle'",,,,
lookup_codes,"[""specific gl_publication_code numbers (e.g., '100', '400', '301')"", ""specific masthead_code abbreviations (e.g., 'TA', 'CM', 'DT', 'HS')"", ""'Standard Paid'"", ""'The Oz'"", ""'Bundle'"", ""'subsnapfact'"", ""'Y'"", ""'N'""]","Direct comparison of raw `gl_publication_code`, `masthead_code`, and other flags to derive human-readable masthead names and recognition types.",Implement a `masthead_dimension` table that maps these codes to their descriptive names and categories. Join to this table instead of using complex CASE statements.,high,high,8,5dae02f0-dc48-418c-bdf9-5e5d2b1d6e26,hardcoded_variable,8.0,"specific gl_publication_code numbers (e.g., '100', '400', '301'), specific masthead_code abbreviations (e.g., 'TA', 'CM', 'DT', 'HS'), 'Standard Paid', 'The Oz', 'Bundle', 'subsnapfact', 'Y', 'N'",,,,
scenario_types,"[""'BUD'"", ""'FCT'"", ""'YOY'"", ""'BUD NY'"", ""'Gross Cancellations'"", ""'Net Cancellations'"", ""'Gross Acquisitions'"", ""'Net Acquisitions'""]","Hardcoded strings representing period types (e.g., Forecast, Budget) and metric types (e.g., Gross Cancellations, Gross Acquisitions). These are used as labels or filters.",Define these scenarios/metric types in a configuration table or use Looker Studio parameters to allow dynamic selection and management.,medium,medium,8,5dae02f0-dc48-418c-bdf9-5e5d2b1d6e26,hardcoded_variable,8.0,"'BUD', 'FCT', 'YOY', 'BUD NY', 'Gross Cancellations', 'Net Cancellations', 'Gross Acquisitions', 'Net Acquisitions'",,,,
,,Specific reporting month filter in query 1,,high,,9,783f341c-8660-4e90-bab8-9bc860119cf5,hardcoded_date,,,2024-11-01,DATE '2024-11-01',"replace with date parameters (e.g., start_date, end_date) or relative date functions (e.g., DATE_TRUNC(CURRENT_DATE(), MONTH))",high
,,Specific reporting month filter in query 1,,high,,9,783f341c-8660-4e90-bab8-9bc860119cf5,hardcoded_date,,,2025-06-01,DATE '2025-06-01',"replace with date parameters (e.g., start_date, end_date) or relative date functions (e.g., DATE_TRUNC(CURRENT_DATE(), MONTH))",high
,,"Specific fiscal year quarter filter in query 1, 2, 3",,high,,9,783f341c-8660-4e90-bab8-9bc860119cf5,hardcoded_date,,,FY25 Q2,'FY25 Q2',replace with parameters or derive dynamically based on current date and fiscal year logic,high
categories,"[""'AdX'"", ""'AppNexus'"", ""'DFP'"", ""'Index Exchange'"", ""'InSkin'"", ""'Kargo'"", ""'Playground XYZ'"", ""'PubMatic'"", ""'Rubicon'"", ""'Tremor'""]",Source platform filter in query 1 (broad set),join to a `source_platform_lookup` reference table,medium,high,9,783f341c-8660-4e90-bab8-9bc860119cf5,hardcoded_variable,10.0,"'AdX', 'AppNexus', 'DFP', 'Index Exchange', 'InSkin', 'Kargo', 'Playground XYZ', 'PubMatic', 'Rubicon', 'Tremor'",,,,
categories,"[""'DFP'"", ""'Index Exchange'"", ""'Rubicon'""]","Source platform filter in query 1 (narrower set, effectively the active filter)",join to a `source_platform_lookup` reference table,medium,high,9,783f341c-8660-4e90-bab8-9bc860119cf5,hardcoded_variable,3.0,"'DFP', 'Index Exchange', 'Rubicon'",,,,
categories,"[""'DEAL'"", ""'UFR'"", ""'PG - CPD'"", ""'PG - CPM'"", ""'DIRECT'""]",Transaction type filter in all queries,join to a `transaction_type_lookup` reference table,medium,high,9,783f341c-8660-4e90-bab8-9bc860119cf5,hardcoded_variable,5.0,"'DEAL', 'UFR', 'PG - CPD', 'PG - CPM', 'DIRECT'",,,,
lookup_codes,"[""'The Smith Family *'"", ""'Kmart Corporation *'"", ""'Target Corporation *'"", ""'Myer *'""]",Advertiser name filter in all queries. The '*' suggests a potential misunderstanding of `IN` vs `LIKE`.,"join to an `advertiser_master` table. If wildcard matching is intended, use `LIKE` operator.",high,high,9,783f341c-8660-4e90-bab8-9bc860119cf5,hardcoded_variable,4.0,"'The Smith Family *', 'Kmart Corporation *', 'Target Corporation *', 'Myer *'",,,,
,,Used as a fixed reference point for date calculations (clmn0_ in query 1).,,high,,10,1a5f7b4e-ea3a-46e4-8b77-b428f4178510,hardcoded_date,,,2025-01-02,2025-01-02 01:26:03.721975+00,Replace with CURRENT_DATE() or a dashboard parameter for dynamic reporting.,high
business_rules,"[""'BILLED'"", ""'BOOKED'""]",Revenue transaction statuses used for filtering.,Manage valid statuses in a reference table.,medium,medium,10,1a5f7b4e-ea3a-46e4-8b77-b428f4178510,hardcoded_variable,2.0,"'BILLED', 'BOOKED'",,,,
business_rules,"[""'ROP COMPOSITE'"", ""'MEDIUM RARE CONTENT AGENCY'""]",Specific style names and publishing divisions excluded from analysis.,Manage exclusion lists in a configuration table.,medium,medium,10,1a5f7b4e-ea3a-46e4-8b77-b428f4178510,hardcoded_variable,2.0,"'ROP COMPOSITE', 'MEDIUM RARE CONTENT AGENCY'",,,,
business_rules,"[""'SUDDENLY%'"", ""'17114'"", ""'29172'"", ""'52809'""]",Complex logic for publication names and associated account numbers.,Define these exceptions in a dedicated business rule table.,high,high,10,1a5f7b4e-ea3a-46e4-8b77-b428f4178510,hardcoded_variable,4.0,"'SUDDENLY%', '17114', '29172', '52809'",,,,
categories,"[""'MRCA'"", ""'Client'""]",Categorization of Sales_Group.,"If these are fixed, they can remain; otherwise, consider a lookup.",low,low,10,1a5f7b4e-ea3a-46e4-8b77-b428f4178510,hardcoded_variable,2.0,"'MRCA', 'Client'",,,,
categories,"[""'XTEND'""]",Specific value used in `fin_adtype_name` derivation.,"If this is a dynamic category, manage in a lookup table.",low,low,10,1a5f7b4e-ea3a-46e4-8b77-b428f4178510,hardcoded_variable,1.0,'XTEND',,,,
