dashboard_id,dashboard_name,dashboard_description,total_source_metrics,total_consolidated_metrics,metric_complexity_score,governance_summary
52b2e0a6-fd53-4788-94da-101037302104,Data Townhall Feedback,"This dashboard is designed to track engagement or participation in 'Data Townhall' events by counting the number of unique contacts involved. It likely serves to measure audience reach or attendance for feedback sessions, providing insights into the distinct individuals who have interacted or provided input.",2,1,1,"This dashboard exhibits a significant governance issue related to metric redundancy and inconsistent naming. Two distinct metrics (`Unique Contacts Count (Alias 1)` and `Unique Contacts Count (Alias 2)`) are defined with identical underlying SQL logic (`COUNT(DISTINCT t0.contact_id)`). This indicates a lack of a centralized metric catalog or enforcement of naming conventions, leading to duplication, potential confusion, and increased maintenance overhead. Standardization of metric definitions and naming is highly recommended to improve data governance and reliability."
4114bd43-f752-4628-9b6c-1941b3c0d962,FY26 Campaigns Report (Sandbox),"This dashboard, despite being named for FY26, primarily focuses on reporting gross revenue from digital campaigns for fiscal years 2024-2025. It includes metrics for tracking revenue performance, financial period context, and data freshness. Its 'sandbox' designation suggests it might be under development or used for testing new reporting capabilities.",4,3,2,"This dashboard exhibits a clear governance issue with duplicate metrics. Specifically, 'Gross Revenue Sum (Digital, FY24-25, Filtered Ad/Pub Types)' and its 'Alt Alias' counterpart are identical in their core SQL logic but have different names and IDs. This redundancy can lead to confusion, inconsistent reporting, and increased maintenance overhead. Additionally, the dashboard name 'FY26 Campaigns Report' conflicts with the FY24-25 scope indicated in the metric names, suggesting a potential misalignment or a need for clearer versioning/scoping."
d7dcf866-1b93-48f8-a0c3-56c743029896,Digital Campaign Performance - Data Validation,"This dashboard is designed to monitor and validate key performance indicators (KPIs) for digital marketing campaigns. It tracks essential metrics such as campaign spend, impression counts, link clicks, and subscription conversions, while also highlighting data quality issues like 'breach counts'. The 'Data Validation' in its name suggests its primary use is to ensure the accuracy and completeness of campaign performance data, identifying potential anomalies or inconsistencies.",7,5,3,"This dashboard exhibits clear governance issues, primarily metric duplication and inconsistent naming conventions. Two core metrics, 'Total Impression Count' and 'Total Breach Count', have redundant entries with 'Variation 2' suffixes, despite having identical underlying SQL logic. This redundancy can lead to confusion among users, inconsistent reporting, and increased maintenance overhead. It highlights a critical need for standardized metric definitions, a centralized metric catalog, and a robust process for deprecating or consolidating redundant metrics to improve data governance and reliability."
0546f07c-bb7b-4ec0-aba8-06c738dd12ec,Verity 2.0 Messenger Weekly Subs and C-Score dashboard,"This dashboard is designed to monitor key performance indicators related to customer satisfaction or engagement, specifically focusing on 'C-Score Targets' within the 'Verity 2.0 Messenger' platform. While the dashboard name suggests tracking weekly subscriptions, the provided metrics primarily focus on the aggregated C-Score targets, potentially broken down by different dimensions like publication groups in the visualization layer.",2,1,1,"This dashboard exhibits a clear opportunity for metric consolidation. Multiple metrics (`Total C-Score Target for Messenger`, `Total C-Score Target by Publication Group`) share identical underlying SQL logic (`SUM(t0.c_score_target)`), indicating redundancy and a lack of a standardized 'golden' metric definition. This leads to potential inconsistencies in reporting and increased maintenance overhead. Consolidating these into a single 'Total C-Score Target' metric will improve data governance, ensure consistency, and simplify future development."
bedebbe4-3e46-47d5-bc36-6d867544ba66,News Incident Report,"This dashboard provides a critical overview of incident management performance, likely for a news organization's operational systems. It tracks key metrics related to the volume of incidents, and crucially, assesses the adherence to service level agreements (SLAs) by categorizing incidents based on whether their initial response and final resolution targets were achieved or breached. This allows stakeholders to monitor operational efficiency and identify areas for improvement in incident handling.",6,6,6,"This dashboard presents significant governance challenges primarily due to the ambiguity and incompleteness of the 'metric_sql_core' definitions for several key performance indicators. Specifically, metrics like 'Responce_Achived' and 'Resolution_Breached' all share a generic 'COUNT(number)' SQL core. This implies that the critical filtering logic (e.g., 'WHERE response_status = 'Achieved'') is either missing from the metric definition itself or is handled externally, leading to a lack of transparency, potential for misinterpretation, and difficulty in auditing or replicating calculations. Furthermore, there are minor naming inconsistencies, such as the 'Responce' typo and mixed casing ('INC_MONTH' vs. 'total_incident'), which could be standardized for improved clarity and maintainability. The current setup heavily relies on tribal knowledge to fully understand the true calculation logic for several metrics, posing a significant risk to data integrity and trust."
b80779c9-a393-4f32-adc1-605745ac8957,Verity 2.0 - Active Paid Closing Base - Engagement and Demographic Deep Dive - DRAFT,"This dashboard is designed for an in-depth analysis of the active paid subscriber base. Its primary purpose is to provide insights into subscriber engagement levels, demographic characteristics, and key movements within the subscription lifecycle, such as acquisitions. The 'DRAFT' status indicates that this dashboard is currently under development and refinement.",3,2,3,"This dashboard exhibits several governance challenges. Firstly, there is clear metric redundancy, with two distinct metric names ('Active Subscription Count (CS Masthead)' and 'Active Paid Subscription Count by Engagement Level') sharing identical underlying SQL logic. This indicates a lack of a single source of truth for this core metric and potential for inconsistent reporting if definitions diverge in the future. Secondly, metric naming is inconsistent; one metric ('Acquisition Movement Count (Divided by 10)') embeds a presentation-layer calculation ('Divided by 10') directly into its name, which should ideally be handled at the visualization layer to maintain metric purity. Lastly, the provided metric data lacks explicit source table details (GCP project, dataset, table name beyond 't0' alias), which is critical for complete data lineage, impact analysis, and overall data governance."
c51835dc-61f0-4277-ab19-e374508dccd2,Last 6 months - highest subscriber usage,"This dashboard is designed to provide insights into subscriber engagement and activity over the most recent six-month period. It focuses on key usage metrics such as content consumption (article and page views), platform access (logins), and device usage patterns, likely to identify high-value subscribers or trends in subscriber behavior.",7,5,3,"This dashboard exhibits significant governance issues, primarily due to metric duplication. Multiple metrics ('Total Page Views' and 'Total Monthly Devices') are defined with identical underlying SQL logic but are presented as distinct entities, often differentiated only by arbitrary 'Query' suffixes. This indicates a lack of standardized metric definitions, inconsistent naming conventions, and potential for future data inconsistencies if the underlying logic were to diverge. It highlights a clear need for a centralized metric store and robust governance processes to ensure consistency and reduce analytical overhead."
c32d96e5-38f4-48a8-9b70-3d89a83f03aa,Circulation Insights,"The 'Circulation Insights' dashboard is designed to provide an aggregated view of financial or operational performance related to circulation activities. Based on the available metrics, its primary focus is on tracking the total 'Amount' (likely revenue or sales value) across different categories, such as 'Revenue Type 01' and 'Revenue Type 02', and for specific periods like 'Year 2025'. It aims to offer high-level summaries of key aggregated values within the circulation domain.",2,1,2,"This dashboard exhibits several governance challenges. Firstly, the underlying SQL logic for all metrics is identical and contains redundant `CASE WHEN` clauses that effectively simplify to a direct `SUM(t0.amount)`. This indicates inefficient SQL and a potential misunderstanding of the `CASE` statement's application. Secondly, there's a significant discrepancy between the metric names ('Aggregated Amount or Volume') and the actual SQL implementation, which consistently calculates only 'Amount'. This can lead to misinterpretation of data. Lastly, specific filtering criteria (e.g., 'Revenue Type 01', 'Year 2025') are embedded directly into metric names, leading to metric proliferation rather than leveraging dashboard filters or dimensions for dynamic analysis. This approach hinders scalability, reusability, and maintainability of the dashboard's metrics."
eb904391-4d82-4b02-9f99-5eef7336117f,Martini Dashboard,"The 'Martini Dashboard' appears to be focused on video consumption analytics, specifically tracking 'Video Media Starts'. Its primary purpose is to provide insights into video engagement, with a particular emphasis on content displayed in portrait orientation and, in some cases, filtered by specific content sources like 'News.com.au'. This dashboard likely serves to monitor the performance of video content based on display characteristics and origin.",4,2,2,"This dashboard exhibits significant governance challenges. The most critical issue is the presence of duplicate `metric_sql_core` definitions, each associated with inconsistent `metric_id` and `metric_name` combinations. Specifically, the same SQL logic is represented by different IDs and names, and conversely, the same ID is used for different SQL logic. This indicates a severe lack of a centralized, authoritative metric definition system, leading to redundancy, potential for inconsistent reporting, and increased maintenance overhead. The hardcoding of 'News.com.au' also suggests a lack of parameterization or dimension-driven filtering, which could hinder scalability and flexibility."
a6c0f7df-8da6-44dc-bf50-72a907020ebc,Cluster by Engagement Level & Tenure Groupings,"This dashboard is designed to provide analytical insights into customer engagement and subscription longevity. It segments and groups customers based on their engagement levels and the duration of their subscriptions (tenure). Key metrics focus on counting unique subscribers and subscriptions, as well as aggregating subscription tenure data to understand customer cohorts and their lifecycle within the service.",6,5,3,"This dashboard exhibits several governance challenges. There is a direct duplication of the 'Unique Subscribers' metric, indicating a lack of standardized metric definitions and potentially leading to confusion or redundant development efforts. Furthermore, the presence of a 'Sum of Subscription IDs' metric is highly unusual and suggests a potential misinterpretation of data utility or a data quality issue, as summing identifiers typically yields no business value. This highlights a critical need for a robust data governance framework to enforce metric standardization, eliminate redundancy, and ensure the business relevance and validity of all reported metrics."
71dfdbc0-a8d2-4131-bf4e-7e54ac7e6b5e,Lapsed/Cancelled EDM stats,"This dashboard provides key performance indicators for email marketing campaigns targeting lapsed or cancelled customer segments. It tracks fundamental engagement metrics such as the total number of emails sent, the total clicks within those emails, and the count of unique email opens, aiming to assess the effectiveness of re-engagement efforts.",7,3,4,"This dashboard exhibits significant data governance issues, primarily the presence of multiple identical metrics ('Total Sends') with the same underlying SQL logic, indicating redundancy and potential for inconsistency if logic were to diverge. The use of generic column names (`clmn2_`, `clmn3_`, `clmn4_`) instead of descriptive business terms hinders understandability and maintainability. Furthermore, critical metadata such as source table information is missing, which complicates data lineage tracking and impact analysis. These issues suggest a lack of standardized metric definitions and a need for robust data cataloging and metric governance processes."
a42a8045-0c60-4346-bfd2-6d2b5839ebec,Verity 2.0 NNN Weekly Performance Report,"This dashboard provides a weekly performance overview for 'Verity 2.0 NNN', focusing on key operational targets such as C-Score, daily targets for publication groups, and website-specific targets, alongside general event volume tracking. It aims to monitor progress against defined goals and provide insights into weekly performance trends.",5,5,2,"This dashboard exhibits a clear separation of concerns among its metrics, with distinct aggregation targets. The SQL logic is simple and direct, primarily involving basic aggregations (SUM, COUNT) and a date parsing function, indicating low complexity. There are no immediate signs of naming ambiguity or hardcoded logic within the provided `metric_sql_core` snippets. A key governance improvement area is the lack of explicit source table details (GCP project, dataset, table names) within the metric definitions, which currently only use aliases (t0, t0c0d1). Providing this metadata would significantly enhance data lineage, maintainability, and understanding of the underlying data model."
acf4223b-efb2-4a6e-961d-a2f5fe0e004e,Verity 2.0 - Daily Digital Retro - DT,"This dashboard provides a daily retrospective view of key digital performance indicators. It tracks customer acquisition ('Adds'), customer churn ('Cancels'), and the resulting 'Net Adds' to assess subscriber or user growth. Additionally, it includes a 'Day Target Website' metric, likely used to measure daily website performance against predefined goals. The inclusion of 'ISO Week Start Date' suggests support for weekly trend analysis.",5,5,7,"This dashboard exhibits several governance considerations. While metric names are generally clear, the underlying SQL for 'ISO Week Start Date' is overly complex and verbose, indicating a potential lack of standardized date handling functions or a need for simplification. The inclusion of a date dimension ('ISO Week Start Date') as a 'metric' blurs the distinction between facts and dimensions, which can lead to confusion in data modeling. Crucially, the source table's project, dataset, and name are not explicitly provided in the metric definitions (only an alias 't0' is used), hindering clear data lineage and impact analysis. This suggests a need for improved metadata capture and a more robust metric definition framework."
0f03691d-f6b8-4313-bfd9-a5fb1e6dedab,IP Engagement Report,"This dashboard provides insights into intellectual property (IP) engagement, focusing on content consumption and user interaction. It tracks key metrics such as total page views, unique users, and unique articles accessed, likely segmented by various dimensions like time, client, industry, and device type to understand content performance and audience behavior.",7,3,3,"This dashboard exhibits significant opportunities for metric consolidation and standardization. There are multiple instances of the same core calculation (e.g., SUM(t0.page_view)) being represented as separate metrics, differentiated only by implied filtering or grouping. A critical governance issue is the duplication of a 'metric_id' ('t0_qt_kqg8bu813c') for two distinct metric names ('Unique Article IDs for DFAT' and 'Unique Article IDs for DFAT (Filtered Brands)'), which can lead to confusion and data integrity problems. The current naming convention embeds dimensions into metric names, which is inefficient and hinders scalability. Adopting a 'golden metric' approach will greatly improve maintainability, consistency, and data governance."
a7a1d3ee-3b79-471c-a04a-22383717538e,Editorial AI - Source Data,"This dashboard provides an overview of the volume and temporal characteristics of raw source data ingested into the Editorial AI system. It primarily tracks the total number of records and their creation timestamps, serving as a foundational monitoring tool for data ingestion rates, data freshness, and identifying potential anomalies in the data flow.",3,2,2,"The dashboard exhibits a minor governance issue related to metric redundancy. Two original metrics ('Total Records by Use Case' and 'Total Records by Event Type') share identical underlying SQL logic (`COUNT(1)`). This indicates that their differentiation is likely handled at the visualization layer (e.g., via grouping dimensions) rather than within the core metric definition. Consolidating these into a single 'Total Records' metric improves reusability, reduces maintenance overhead, and promotes a cleaner, more scalable metric architecture. The remaining metric is a simple, direct timestamp truncation, which is well-defined."
4d233abb-3d9b-4942-98b0-3989e8986970,Verity Newsroom display - National Sports Newsroom,"This dashboard, 'Verity Newsroom display - National Sports Newsroom', is designed to monitor and display key performance targets specifically for the National Sports Newsroom. Its primary function, based on the available metric, is to track the 'Total Day Target by Publication Group', likely representing daily content output or engagement goals categorized by different publication groups within the sports news domain.",1,1,1,"Based on the single metric provided, no specific governance issues such as ambiguous naming, hardcoded logic, or redundant calculations can be identified. A comprehensive governance review would require a larger set of metrics and associated metadata (e.g., data lineage, ownership, business definitions, and explicit governance flags) to assess consistency, accuracy, and maintainability across the dashboard."
07de4dcd-194f-42aa-87bf-ee79996fb768,Verity 2.0 Local Last week's performance,"This dashboard provides a performance overview for 'Verity 2.0 Local' operations, specifically focusing on the previous week's data. It tracks key daily targets, broken down by organizational units (Section Teams) and digital properties (Websites), allowing stakeholders to monitor performance against established goals for different operational dimensions.",2,2,1,"Based on the provided limited metric definitions, there are no explicit 'governance_issue' fields to summarize. However, observations include: opaque `metric_id` values which hinder traceability; the absence of explicit source table details (project, dataset, table) beyond a generic alias `t0`, which is a gap for data lineage and governance; and the use of distinct columns for different 'Day Targets' (`day_target_by_section_team` vs. `day_target_website`) suggests a potentially fragmented data model for targets, which could be unified if a single 'target' concept with associated dimensions were to be modeled."
d3bcf796-2396-4a6f-b0a3-da0b7f299a58,Publisher and Product Performance Dashboard - FY25 v2,"This dashboard is designed to provide a comprehensive overview of financial performance related to publishers and products for the current fiscal year (FY25). It likely enables users to analyze key financial dimensions such as 'Financial Ad Type Name' and 'Revenue Type Level 2', with a specific focus on the 'Current Financial Week' to track real-time or near real-time performance. Its primary purpose is to monitor and understand revenue generation and ad-related financial metrics broken down by various business dimensions.",3,3,3,"This dashboard exhibits some governance challenges, primarily with the use of generic and non-descriptive `metric_id`s (e.g., 'clmn0_', 'clmn1_'), which hinders traceability and understanding. While metric names are reasonably clear, the lack of explicit source table details (GCP project, dataset, table) within the provided metric metadata for the 't0' alias could pose a challenge for data lineage and impact analysis. The specific `CASE WHEN` logic for 'Current Financial Week' suggests a need for standardized time intelligence definitions across dashboards to ensure consistency and avoid redundant logic."
b456ee91-66d6-4bcb-b3a7-c752a3e02170,Verity 2.0 - S&C Health Last Week,"This dashboard appears to be an operational or performance monitoring tool for a 'Sales & Customer' (S&C) team, focusing on key health-related metrics from the previous week. It tracks the total number of health registrations and the sum of daily targets, likely to assess team performance and progress against goals.",3,2,2,"This dashboard exhibits a clear opportunity for metric consolidation, as two distinct metrics ('Count of Health Registrations by Social Referrer' and 'Total Health Registrations') share identical underlying SQL logic (`COUNT(1)`), indicating redundancy. Additionally, one metric uses a generic column name (`clmn1_`), which hinders readability and maintainability. A significant governance gap is the absence of explicit source table information within the provided metric definitions, which is crucial for data lineage and understanding the data's origin and context."
3dba3db1-7b70-4bd1-9c89-c78fd19832ac,Gen Ai: comment summaries,"This dashboard provides a comprehensive overview of emotional sentiment extracted from comments, likely analyzed by a Generative AI model. It allows users to track the total volume of emotions, as well as specific positive and negative emotion counts, offering insights into the overall emotional tone and specific emotional types present in the analyzed content.",3,1,2,"This dashboard exhibits significant metric redundancy, with three distinct metrics sharing identical core calculation logic (`SUM(sum(MAX(emotion_count)))`). This indicates a lack of standardization and potential for maintenance overhead, as variations (positive, negative, total) are likely achieved through implicit filtering rather than distinct metric definitions. Furthermore, the nested aggregation pattern in the `metric_sql_core` suggests a potentially ambiguous or overly complex calculation that warrants further investigation for optimization and clarity."
a318d7d9-e528-475f-8c17-9aefdfac4190,Copy of Test of Consumer - Core Subscription Health Check ,"This dashboard appears to monitor the health and operational status of data updates or processing related to core consumer subscriptions. Its primary purpose is to track the volume of monitored events, identify successful or acceptable updates, and understand the variety of statuses encountered during these operations. It serves as a health check for critical data processes.",3,3,3,"This dashboard exhibits several governance opportunities. The use of 'Copy of Test' in the dashboard name suggests it may be a development or ad-hoc dashboard, lacking a formal naming convention. Metric names show slight inconsistencies (e.g., 'Table Updates' vs. 'Monitored Tables'). A significant governance concern is the ambiguous column name 'TABLE' used in COUNT functions, which likely represents a record identifier rather than an actual database table name, leading to potential misinterpretation. Furthermore, hardcoded status values ('Success', '', ' ') within the SQL logic for 'acceptable' statuses reduce maintainability and flexibility. Standardizing column names and externalizing lookup values would significantly improve data governance."
0cc68971-6bc6-41be-89c9-89776561c2f4,Genome Dashboards,"This dashboard appears to be focused on tracking core subscriber metrics, specifically the total count of subscribers. Given the name 'Genome Dashboards', it likely serves to monitor the foundational user base or customer population for a product or service, providing a high-level overview of audience size.",3,1,1,"This dashboard exhibits significant governance issues primarily due to extreme metric redundancy. All three source metrics are identical in both name and underlying SQL logic, indicating a severe lack of centralized metric definitions and a high risk of inconsistent reporting if the SQL were to diverge in the future. Furthermore, critical metadata such as the specific source table (GCP project, dataset, and table name) is missing from the provided metric definitions, as the SQL only references a generic alias 't0'. This absence severely impedes data lineage, impact analysis, and overall data governance, making it difficult to understand the data's origin and ensure its reliability."
8f848270-688f-4455-82a6-3bc9a7d39cce,Newsquery Health App,"This dashboard provides a high-level overview of the operational health and monitoring status of data tables within the Newsquery system. It tracks the total number of tables under active monitoring and identifies how many of these are currently in a healthy state or have been intentionally excluded from alerting, indicating overall system stability and data quality.",2,2,2,"This dashboard presents two distinct but related metrics concerning table health monitoring. While the original metrics are clear and do not exhibit immediate issues like ambiguous naming or redundant logic, formalizing them into consolidated definitions enhances data governance. This provides authoritative, reusable metrics for 'Total Monitored Tables' and 'Healthy or Excluded Monitored Tables', ensuring consistent interpretation and improved reusability across the organization."
af564bd3-ec49-4836-9e6f-2040699aa76b,DP Dashboard - Draft v1,"This dashboard provides an overview of key business performance indicators, specifically focusing on 'Sales Total' and 'Traffic Total' for specific fiscal years (2024 and 2025). It appears to be designed to track and compare these core metrics across different fiscal periods, likely for financial and operational performance monitoring. The 'Draft v1' in the name suggests it is an early version under development.",4,2,2,"This dashboard exhibits a common anti-pattern where fiscal year filtering is hardcoded directly into the metric definitions. This leads to metric proliferation, as evidenced by four distinct metrics representing only two core business concepts (Sales and Traffic). This approach is not scalable, as new metrics would be required for each new fiscal year or reporting period. It also hinders flexibility, as users cannot easily change the reporting period without modifying the underlying metric definitions. The use of a generic alias 't0' for the source table also suggests a lack of explicit data source documentation within the metric definitions themselves, which could impede data lineage and understanding."
828d35dc-ea9f-4c01-b95f-9b64ae7500f1,Verity 2.0 AA Weekly Performance Report,"This dashboard provides a weekly performance overview for 'Verity 2.0 AA', focusing on key targets and social media engagement. It tracks aggregated daily subscription targets, C-Score targets, and counts of social accounts and posts. The report is likely used by marketing, content, or business operations teams to monitor progress against defined goals and assess social media reach and activity.",4,4,2,"The dashboard metrics are straightforward, primarily utilizing simple aggregation functions (SUM, COUNT). All metrics consistently reference a single aliased table ('t0'), suggesting a unified primary data source for the dashboard. A potential ambiguity exists with the 'Number of Social Accounts' metric, which uses `COUNT(1)`; its precise meaning is entirely dependent on the underlying structure and content of the 't0' table. Crucially, explicit source table details (GCP project, dataset, and full table name) are not provided within the metric definitions, which is a significant gap for data lineage, traceability, and overall data governance."
f65a9149-93b4-4aa9-aef6-d12002853222,Digital Video Content Audio,"This dashboard appears to be designed for analyzing the financial performance of digital video content, specifically focusing on gross revenue. It provides capabilities to view total revenue and contextualize this data using dimensions such as booking numbers and financial years, potentially with specific filters applied for different ad types and quarters.",3,3,2,"This dashboard exhibits a significant governance concern where metric names imply specific filtering or contextual logic (e.g., 'Content/Native Ad Types', 'Q4') that is not reflected in their `metric_sql_core`. The `metric_sql_core` for these metrics are simple column references, suggesting that critical business logic is either hardcoded elsewhere, applied externally, or missing from the metric definition, leading to potential misinterpretation and lack of reusability. Additionally, the source table alias `t0` is used without explicit table details, hindering data lineage and understanding. The overall SQL complexity is low, but the implied business logic complexity is high and poorly documented within the metric definitions."
