interaction_type,primary_metric,related_metrics,relationship_description,mathematical_formula,business_validation,validation_sql,relationship_strength,business_impact,response_id,dashboard_id,related_metrics_count,related_metrics_text
filter_impact,budget_earned_amount_current_week,"['masthead_group', 'finance_recognition']",All financial metrics are filtered by 'masthead_group != 'Discontinued'' and 'finance_recognition = 'Digital Recognition''.,N/A,Ensures that financial metrics only include relevant digital subscription data and exclude discontinued mastheads.,SELECT COUNT(*) FROM `ncau-data-newsquery-prd.sbx_fda_corefin.dt_digital_subscriptions` WHERE masthead_group = 'Discontinued' OR finance_recognition != 'Digital Recognition';,strong,high,3,bb49fa78-5abe-4e68-a9c1-8172a832e724,2,"masthead_group, finance_recognition"
mathematical_relationship,net_base_change_previous_year_same_week,"['closing_base_previous_year_same_week', 'opening_base_previous_year_same_week']",Net Base Change is calculated as Closing Base minus Opening Base for the specified period.,Net Base Change = Closing Base - Opening Base,"This calculation provides insight into the net change in subscriber base over a period, crucial for growth analysis.","SELECT SUM(ClosingBase - OpeningBase) AS calculated_net_change, SUM(ClosingBase) - SUM(OpeningBase) AS sum_of_diff_net_change FROM `ncau-data-newsquery-prd.sbx_fda_corefin.dt_digital_subscriptions` WHERE fy_year = (EXTRACT(YEAR FROM CURRENT_DATE()) - 1) AND fy_week_of_year = DATETIME_DIFF(SAFE_CAST(CURRENT_DATE() AS DATETIME), SAFE_CAST(DATETIME '2024-07-03T00:00:00' AS DATETIME), WEEK) LIMIT 1;",strong,high,3,bb49fa78-5abe-4e68-a9c1-8172a832e724,2,"closing_base_previous_year_same_week, opening_base_previous_year_same_week"
dependency,budget_earned_amount_current_week,['earned_amount_current_week'],"Budget Earned Amount is a target metric, while Earned Amount is the actual performance. They are often compared.",N/A (comparison),Comparison of actual earned amount against budgeted amount for performance tracking.,"SELECT SUM(CASE WHEN fy_year = EXTRACT(YEAR FROM CURRENT_DATE()) AND fy_week_of_year = DATETIME_DIFF(SAFE_CAST(CURRENT_DATE() AS DATETIME), SAFE_CAST(DATETIME '2024-07-03T00:00:00' AS DATETIME), WEEK) THEN SAFE_CAST(BudgetEarnedAmount AS NUMERIC) ELSE 0 END) AS current_budget, SUM(CASE WHEN fy_year = EXTRACT(YEAR FROM CURRENT_DATE()) AND fy_week_of_year = DATETIME_DIFF(SAFE_CAST(CURRENT_DATE() AS DATETIME), SAFE_CAST(DATETIME '2024-07-03T00:00:00' AS DATETIME), WEEK) THEN SAFE_CAST(EarnedAmount AS NUMERIC) ELSE 0 END) AS current_earned FROM `ncau-data-newsquery-prd.sbx_fda_corefin.dt_digital_subscriptions` WHERE masthead_group != 'Discontinued' AND finance_recognition = 'Digital Recognition' LIMIT 1;",medium,high,3,bb49fa78-5abe-4e68-a9c1-8172a832e724,1,earned_amount_current_week
inconsistency,closing_base_current_week,"['opening_base_current_week', 'earned_amount_current_week']","The 'current week' definition varies slightly between Query 1 (based on 2025-03-26) and Query 2 (based on 2025-03-25), leading to different week numbers (38 vs 37).",N/A,"This inconsistency can lead to different values for 'current week' metrics depending on which query is used, causing confusion and distrust in data.","SELECT DATETIME_DIFF(SAFE_CAST(DATETIME '2025-03-26T00:00:00' AS DATETIME), SAFE_CAST(DATETIME '2024-07-03T00:00:00' AS DATETIME), WEEK) AS week_q1, DATETIME_DIFF(SAFE_CAST(DATETIME '2025-03-25T00:00:00' AS DATETIME), SAFE_CAST(DATETIME '2024-07-03T00:00:00' AS DATETIME), WEEK) AS week_q2;",strong,high,3,bb49fa78-5abe-4e68-a9c1-8172a832e724,2,"opening_base_current_week, earned_amount_current_week"
filter_impact,total_gross_revenue,"['financial_year', 'fy_year_month_number', 'booking_name', 'revenue_transaction_status', 'adsize_category']","The `total_gross_revenue` metric is consistently filtered and grouped by various dimensions across the dashboard queries. Filters on `financial_year`, `fy_year_month_number`, and `booking_name` directly restrict the data used for revenue calculation. Grouping by `adsize_category` and `revenue_transaction_status` breaks down the total revenue into meaningful segments.",SUM(gross_revenue_amount) WHERE [dimension_filters] GROUP BY [dimensions],"This relationship allows users to analyze revenue performance over specific periods, for particular campaigns, or by different ad product categories and transaction statuses, providing granular insights into ad sales performance.","-- SQL to validate filter impact on total_gross_revenue
SELECT
  SAFE_CAST(financial_year AS STRING) AS financial_year,
  SUM(SAFE_CAST(gross_revenue_amount AS NUMERIC)) AS total_gross_revenue_filtered
FROM
  `ncau-data-newsquery-prd.asl_advertising.v_adsales_revenue_client`
WHERE
  relative_fy_year_offset IN (0) -- Current FY
  AND SAFE_CAST(financial_year AS STRING) = '2025' -- Specific hardcoded filter from queries
GROUP BY
  financial_year
HAVING
  SUM(SAFE_CAST(gross_revenue_amount AS NUMERIC)) IS NOT NULL
LIMIT 10;",strong,high,4,e83da1de-4227-43e6-bcc6-73051c66914b,5,"financial_year, fy_year_month_number, booking_name, revenue_transaction_status, adsize_category"
dependency,adsize_category,['adsize_name'],The `adsize_category` dimension is directly derived from the `adsize_name` field using a `CASE WHEN` statement with `REGEXP_CONTAINS` logic. This means any changes or inconsistencies in `adsize_name` will directly impact the categorization.,adsize_category = f(adsize_name),"This derivation is a key business rule for segmenting ad products. Its accuracy is vital for correct reporting of 'Sponsorship', 'Production', and 'Media' revenue. Any changes to product naming conventions or categorization rules require updating this logic.","-- SQL to validate adsize_category derivation
SELECT
  adsize_name,
  CASE
    WHEN (SAFE.REGEXP_CONTAINS(LOWER(SAFE_CAST(adsize_name AS STRING)), '^(.*event sponsorship.*)$')) THEN 'Sponsorship'
    WHEN (SAFE.REGEXP_CONTAINS(LOWER(SAFE_CAST(adsize_name AS STRING)), '^(.*production.*)$')) THEN 'Production'
    ELSE 'Media'
  END AS derived_adsize_category,
  COUNT(*) AS record_count
FROM
  `ncau-data-newsquery-prd.asl_advertising.v_adsales_revenue_client`
WHERE
  relative_fy_year_offset IN (0) -- Current FY
GROUP BY
  adsize_name, derived_adsize_category
ORDER BY
  record_count DESC
LIMIT 100;",strong,high,4,e83da1de-4227-43e6-bcc6-73051c66914b,1,adsize_name
mathematical_relationship,calculated_daily_volume_type_1_q3,"['calculated_daily_volume_type_2_q3', 'total_volume_q1']","Both 'Total Calculated Daily Volume Type 1' and 'Type 2' are derived from base volume metrics (like `volume`, `Forecast_Volume`) by applying complex conditional logic, division by a hardcoded '48', and then further division by 6 or 7 based on publication type. They represent different ways of normalizing volume to a daily average. 'Total Volume (Q1 Filtered)' is a direct sum of raw volume for a specific period, serving as a foundational metric.","Calculated_Daily_Volume = (Base_Volume / 48) / (6 or 7 days, conditionally)","These metrics aim to provide comparable daily volume figures across different publications and reporting periods, accounting for variations in publication schedules (e.g., 6-day vs. 7-day publications). The relationship highlights the need for clear definitions of 'daily volume' in a business context.","SELECT
  SUM(CASE WHEN T2.fy_year = 2025 AND T2.fy_year_week_number <= 202548 AND T2.publication_name NOT IN ('Weekly Times', 'Sunshine Coast', 'Mackay') AND T2.os_level_7 = 'All Sales Channels' AND T2.publication_group_q3_type_3 IN ('Geelong Advertiser', 'Mercury', 'Sunday Tasmanian', 'Sunshine Coast', 'Sydney Suburbans', 'The Australian', 'The Daily Telegraph', 'The Herald Sun', 'Toowoomba', 'Townsville Bulletin', 'Weekly Times') THEN T2.q3_final_volume_type_1 ELSE 0 END) AS total_calculated_volume_type_1_q3,
  SUM(CASE WHEN T2.fy_year = 2025 AND T2.fy_year_week_number <= 202548 AND T2.publication_name NOT IN ('Weekly Times', 'Sunshine Coast', 'Mackay') AND T2.os_level_7 = 'All Sales Channels' AND T2.publication_group_q3_type_3 IN ('Geelong Advertiser', 'Mercury', 'Sunday Tasmanian', 'Sunshine Coast', 'Sydney Suburbans', 'The Australian', 'The Daily Telegraph', 'The Herald Sun', 'Toowoomba', 'Townsville Bulletin', 'Weekly Times') THEN T2.q3_final_volume_type_2 ELSE 0 END) AS total_calculated_volume_type_2_q3,
  SUM(CASE WHEN T2.q1_week_match_filter = TRUE AND T2.publication_name NOT IN ('Weekly Times', 'Sunshine Coast', 'Mackay') AND T2.os_level_7 = 'All Sales Channels' THEN T2.volume ELSE 0 END) AS total_volume_q1
FROM CalculatedMetrics AS T2
LIMIT 1;",strong,high,5,2104a3f5-9424-4087-a928-e67fecae789a,2,"calculated_daily_volume_type_2_q3, total_volume_q1"
filter_impact,total_actual_amount_q1,"['total_volume_q1', 'publication_count_advertiser_q2', 'calculated_daily_volume_type_1_q3', 'calculated_daily_volume_type_2_q3']","All metrics share common base filters from the `OSandFACT` CTE (e.g., `os_level_6 = 'CIRCULATION'`, `gl_hierarchy_code = 'FY2025'`). However, each metric then applies additional, distinct filters (e.g., specific fiscal week, publication exclusions, sales channel, publication groups). This means that while they draw from the same underlying data, their final aggregated values are not directly comparable without understanding their specific filter contexts.",N/A,Understanding the specific filters applied to each metric is crucial for accurate interpretation and comparison. Misinterpreting the scope of each metric could lead to incorrect business decisions.,"SELECT
  'Filter Overlap Analysis' as analysis_type,
  SUM(CASE WHEN T2.q1_week_match_filter = TRUE AND T2.publication_name NOT IN ('Weekly Times', 'Sunshine Coast', 'Mackay') AND T2.os_level_7 = 'All Sales Channels' THEN 1 ELSE 0 END) AS q1_filtered_records,
  SUM(CASE WHEN T2.publication_group_q2 = 'Advertiser' THEN 1 ELSE 0 END) AS q2_filtered_records,
  SUM(CASE WHEN T2.fy_year = 2025 AND T2.fy_year_week_number <= 202548 AND T2.publication_name NOT IN ('Weekly Times', 'Sunshine Coast', 'Mackay') AND T2.os_level_7 = 'All Sales Channels' AND T2.publication_group_q3_type_3 IN ('Geelong Advertiser', 'Mercury', 'Sunday Tasmanian', 'Sunshine Coast', 'Sydney Suburbans', 'The Australian', 'The Daily Telegraph', 'The Herald Sun', 'Toowoomba', 'Townsville Bulletin', 'Weekly Times') THEN 1 ELSE 0 END) AS q3_filtered_records
FROM CalculatedMetrics AS T2
LIMIT 1;",strong,high,5,2104a3f5-9424-4087-a928-e67fecae789a,4,"total_volume_q1, publication_count_advertiser_q2, calculated_daily_volume_type_1_q3, calculated_daily_volume_type_2_q3"
filter_impact,sales_segment_l2_name_sync,"['revenue_transaction_status', 'source_publishing_division', 'fin_adtype_name']","The values and counts of 'Sales Segment Level 2 Name Sync' are directly filtered by specific 'Revenue Transaction Status', exclusion of 'Medium Rare Content Agency' from 'Source Publishing Division', and a predefined list of 'Financial Ad Type Names'.",,"Ensures that sales segment analysis focuses only on booked/billed revenue, excludes specific content agencies, and targets relevant ad types.",See business_rules_sql for filter coverage validation.,strong,high,6,f65a9149-93b4-4aa9-aef6-d12002853222,3,"revenue_transaction_status, source_publishing_division, fin_adtype_name"
filter_impact,booking_number,"['fin_adtype_name', 'financial_year']","The distinct 'Booking Numbers' are filtered to specific 'Financial Ad Type Names' (Content Discovery, Native) and specific 'Financial Years' (2025, 2026).",,Ensures that booking number analysis is restricted to relevant ad types and recent financial periods.,See business_rules_sql for filter coverage validation.,strong,high,6,f65a9149-93b4-4aa9-aef6-d12002853222,2,"fin_adtype_name, financial_year"
filter_impact,adsize_name,"['revenue_transaction_status', 'source_publishing_division', 'fin_adtype_name', 'financial_year']","The values and counts of 'Ad Size Name' are filtered by specific 'Revenue Transaction Status', exclusion of 'Medium Rare Content Agency' from 'Source Publishing Division', a predefined list of 'Financial Ad Type Names', and the 'Financial Year' 2025.",,"Ensures that ad size analysis focuses only on booked/billed revenue, excludes specific content agencies, targets relevant ad types, and is limited to the specified financial year.",See business_rules_sql for filter coverage validation.,strong,high,6,f65a9149-93b4-4aa9-aef6-d12002853222,4,"revenue_transaction_status, source_publishing_division, fin_adtype_name, financial_year"
dependency,revenue_type_derived,"['revenue_type', 'xtend_flag']","The 'Revenue Type Derived' is calculated based on the raw 'Revenue Type' and the 'XTEND Flag'. If 'XTEND Flag' is 'Y', then 'Revenue Type Derived' becomes 'XTEND', otherwise it retains the original 'Revenue Type'.","revenue_type_derived = IF(xtend_flag = 'Y', 'XTEND', revenue_type)","Ensures that XTEND revenue is consistently categorized regardless of its original revenue type, which is crucial for specific reporting needs.",SELECT COUNT(*) FROM `ncau-data-newsquery-prd.asl_finance_derived.adsales_performance` WHERE (xtend_flag = 'Y' AND (CASE WHEN (xtend_flag = 'Y') THEN 'XTEND' ELSE revenue_type END) != 'XTEND') OR (xtend_flag != 'Y' AND (CASE WHEN (xtend_flag = 'Y') THEN 'XTEND' ELSE revenue_type END) != revenue_type);,strong,high,7,61f1feb4-fc3e-4bee-b987-84c86cfe6425,2,"revenue_type, xtend_flag"
dependency,revenue_group_type_derived,['revenue_type_derived'],"The 'Revenue Group Type Derived' is a further categorization based on the 'Revenue Type Derived'. It maps 'DIGITAL' to 'DIGITAL (excl.XTEND)', 'PRINT' to 'PRINT', and 'XTEND' to 'XTEND ONLY'.",revenue_group_type_derived = CASE WHEN revenue_type_derived = 'DIGITAL' THEN 'DIGITAL (excl.XTEND)' WHEN revenue_type_derived = 'PRINT' THEN 'PRINT' WHEN revenue_type_derived = 'XTEND' THEN 'XTEND ONLY' ELSE NULL END,"Provides a simplified and business-specific grouping for high-level analysis, separating XTEND revenue and explicitly marking digital revenue that is not XTEND.","SELECT COUNT(*) FROM `ncau-data-newsquery-prd.asl_finance_derived.adsales_performance` AS t0 WHERE (CASE WHEN (CASE WHEN (t0.xtend_flag = 'Y') THEN 'XTEND' ELSE t0.revenue_type END) = 'DIGITAL' THEN 'DIGITAL (excl.XTEND)' WHEN (CASE WHEN (t0.xtend_flag = 'Y') THEN 'XTEND' ELSE t0.revenue_type END) = 'PRINT' THEN 'PRINT' WHEN (CASE WHEN (t0.xtend_flag = 'Y') THEN 'XTEND' ELSE t0.revenue_type END) = 'XTEND' THEN 'XTEND ONLY' ELSE NULL END) IS NULL AND (CASE WHEN (t0.xtend_flag = 'Y') THEN 'XTEND' ELSE t0.revenue_type END) IS NOT NULL AND (CASE WHEN (t0.xtend_flag = 'Y') THEN 'XTEND' ELSE t0.revenue_type END) NOT IN ('DIGITAL', 'PRINT', 'XTEND');",strong,high,7,61f1feb4-fc3e-4bee-b987-84c86cfe6425,1,revenue_type_derived
filter_impact,unified_publication_name,"['financial_year', 'revenue_group_subtype']","The list of 'Unified Publication Name' displayed is filtered by specific 'Financial Year' (2024, 2025) and 'Revenue Group Subtype' ('DIGITAL', 'PROGRAMMATIC EXCHANGE', 'PROGRAMMATIC SOURCE').",N/A,"Ensures that users only see publication names relevant to the current and next financial year, and specific digital/programmatic revenue streams.","SELECT COUNT(DISTINCT unified_publication_name) FROM `ncau-data-newsquery-prd.asl_finance_derived.adsales_performance` WHERE financial_year NOT IN ('2024', '2025') OR revenue_group_subtype NOT IN ('DIGITAL', 'PROGRAMMATIC EXCHANGE', 'PROGRAMMATIC SOURCE');",strong,medium,7,61f1feb4-fc3e-4bee-b987-84c86cfe6425,2,"financial_year, revenue_group_subtype"
filter_impact,revenue_group_subtype,"['financial_year', 'revenue_group_type_derived']","The list of 'Revenue Group Subtype' is filtered by specific 'Financial Year' (2024, 2025) and where the 'Revenue Group Type Derived' is 'DIGITAL (excl.XTEND)' (based on the original query's 'digital' filter).",N/A,Limits the displayed revenue subtypes to those relevant for the specified financial years and digital revenue categories.,"SELECT COUNT(DISTINCT revenue_group_subtype) FROM `ncau-data-newsquery-prd.asl_finance_derived.adsales_performance` AS t0 WHERE financial_year NOT IN ('2024', '2025') OR (CASE WHEN (CASE WHEN (t0.xtend_flag = 'Y') THEN 'XTEND' ELSE t0.revenue_type END) = 'DIGITAL' THEN 'DIGITAL (excl.XTEND)' WHEN (CASE WHEN (t0.xtend_flag = 'Y') THEN 'XTEND' ELSE t0.revenue_type END) = 'PRINT' THEN 'PRINT' WHEN (CASE WHEN (t0.xtend_flag = 'Y') THEN 'XTEND' ELSE t0.revenue_type END) = 'XTEND' THEN 'XTEND ONLY' ELSE NULL END) != 'DIGITAL (excl.XTEND)';",strong,medium,7,61f1feb4-fc3e-4bee-b987-84c86cfe6425,2,"financial_year, revenue_group_type_derived"
filter_impact,product_group,"['advertiser_group', 'fin_adtype_name', 'financial_week']","The 'product_group' dimension acts as a primary filter for the values displayed for 'advertiser_group', 'fin_adtype_name', and 'financial_week'. Different selections of 'product_group' will yield different sets of values for these other dimensions.",N/A (filter relationship),"Ensures that the displayed advertiser groups, ad types, and financial weeks are relevant to the selected product categories, aligning with specific business segments.","-- Example validation for product_group filter impact on advertiser_group
SELECT
  COUNT(DISTINCT t0.advertiser_group) AS total_advertiser_groups,
  COUNT(DISTINCT CASE WHEN t0.product_group IN ('Commercial Content', 'Free News & Lifestyle') THEN t0.advertiser_group END) AS filtered_advertiser_groups
FROM `ncau-data-newsquery-prd.asl_finance_derived.adsales_performance` AS t0
WHERE SAFE_CAST(t0.report_date AS DATE) >= DATE_SUB(CURRENT_DATE(), INTERVAL 90 DAY);",strong,high,8,d3bcf796-2396-4a6f-b0a3-da0b7f299a58,3,"advertiser_group, fin_adtype_name, financial_week"
filter_impact,total_gross_revenue,"['portfolio_parent_group', 'transaction_type', 'financial_period', 'portfolio_child_group', 'is_current_or_past_month_q3ref']","Total Gross Revenue is filtered by various dimensions to show specific segments of revenue. For example, Query 1 filters by 'INDEPENDENT AGENCIES NSW' and excludes 'Guaranteed' transactions. Query 3 filters by 'CONSORTIUM VIC', 'FY2025 - Q4', 'Deal' transactions, and specific child groups, and only includes months up to a hardcoded date.",SUM(RevenueGross) WHERE [dimension_filter_conditions],"Ensures that revenue figures are presented for the intended business segments and timeframes, aligning with specific reporting needs.",SELECT SUM(SAFE_CAST(RevenueGross AS NUMERIC)) FROM `ncau-data-newsquery-prd.prstn_advertising.programmatic_fin_month` WHERE PortfolioParentGroup IN ('INDEPENDENT AGENCIES NSW') AND (TransactionType NOT IN ('Guaranteed') OR TransactionType IS NULL) LIMIT 1;,strong,high,9,6f1c8731-02da-464f-b146-bf2947860735,5,"portfolio_parent_group, transaction_type, financial_period, portfolio_child_group, is_current_or_past_month_q3ref"
