metric_id,metric_name,business_description,gcp_project,dataset,table,metric_sql_core,governance_issue,dashboard_id
M1,Total Count of Monitored Tables,Counts the total number of tables included in the health check monitoring. This metric represents the total scope of tables for which refresh status is being tracked.,ncau-data-newsquery-prd,prstn_consumer,INFORMATION_SCHEMA.PARTITIONS,COUNT(table_name),hardcoded_logic,a318d7d9-e528-475f-8c17-9aefdfac4190
M2,Count of Successful/Acceptable Status Tables,"Counts the number of tables whose 'overall_status' is classified as 'Success', an empty string (''), or a single space (' '). These statuses indicate that the table refresh is within acceptable timeframes or has a minor, non-critical delay.",ncau-data-newsquery-prd,prstn_consumer,INFORMATION_SCHEMA.PARTITIONS,"COUNT(CASE WHEN overall_status IN ('Success', '', ' ') THEN table_name ELSE NULL END)",anti_pattern,a318d7d9-e528-475f-8c17-9aefdfac4190
M3,Count of Distinct Overall Statuses,"Counts the number of unique 'overall_status' values observed across all monitored tables. This helps understand the variety of health statuses reported (e.g., 'Success', 'Need a check', ' ').",ncau-data-newsquery-prd,prstn_consumer,INFORMATION_SCHEMA.PARTITIONS,COUNT(DISTINCT overall_status),anti_pattern,a318d7d9-e528-475f-8c17-9aefdfac4190
count_of_joined_records,Count of Joined Records,"Counts the total number of records resulting from the left join of `nca_analytics` with `content_dim`. This count represents the number of analytical events or articles, potentially enriched with content metadata, within the specified date range for published content.",ncau-data-newsquery-sit,sdm_hq_uat,nca_analytics,COUNT(1),hardcoded_logic,a7a1d3ee-3b79-471c-a04a-22383717538e
created_at_truncated_to_second,Created At (Second Granularity),"Represents the `created_at` timestamp from the `nca_analytics` table, truncated to the nearest second. This is used as a dimension for grouping or ordering data by time.",ncau-data-newsquery-sit,sdm_hq_uat,nca_analytics,"DATETIME_TRUNC(created_at, SECOND)",hardcoded_logic,a7a1d3ee-3b79-471c-a04a-22383717538e
arm_metric_001,Local Brand Name,Distinct local brand names from the subscription base movement data. This is primarily used as a dimension or filter.,ncau-data-newsquery-prd,prstn_consumer_views,v_subscription_base_movement_agg,t0.local_brand_name,hardcoded_logic,fb7ea77f-c0b0-490a-9cb2-eb49816cf8fa
arm_metric_002,Total Acquisition Count,Sum of acquisition counts from the subscription base movement data.,ncau-data-newsquery-prd,prstn_consumer_views,v_subscription_base_movement_agg,SUM(t0.acquisition_count),hardcoded_logic,fb7ea77f-c0b0-490a-9cb2-eb49816cf8fa
arm_metric_003,Net Movement (Acquisition + Conversion - Cancellation),"Sum of (acquisition count + free to paid conversion count - cancellation count), representing the net change in subscriptions.",ncau-data-newsquery-prd,prstn_consumer_views,v_subscription_base_movement_agg,SUM((t0.acquisition_count + t0.free_to_paid_conversion_count) - t0.cancellation_count),hardcoded_logic,fb7ea77f-c0b0-490a-9cb2-eb49816cf8fa
arm_metric_004,Total Cancellation Count,Sum of cancellation counts from the subscription base movement data.,ncau-data-newsquery-prd,prstn_consumer_views,v_subscription_base_movement_agg,SUM(t0.cancellation_count),hardcoded_logic,fb7ea77f-c0b0-490a-9cb2-eb49816cf8fa
arm_metric_005,Sum of FY Year,"Sum of fiscal years. This is likely an error or misinterpretation in the Looker Studio setup, as summing years typically doesn't yield a meaningful business metric.",ncau-data-newsquery-prd,prstn_consumer_views,v_subscription_base_movement_agg,SUM(t0.fy_year),anti_pattern,fb7ea77f-c0b0-490a-9cb2-eb49816cf8fa
arm_metric_006,Formatted FY Year Week,Fiscal year and week formatted as YYYYWW or YYYY0W. This is a derived dimension used for time-based grouping.,ncau-data-newsquery-prd,prstn_consumer_views,v_subscription_base_movement_agg,"CASE WHEN (LENGTH(SAFE_CAST(t0.fy_week_of_year AS STRING)) < 2) THEN CONCAT(SAFE_CAST(t0.fy_year AS STRING),'0',SAFE_CAST(t0.fy_week_of_year AS STRING)) ELSE CONCAT(SAFE_CAST(t0.fy_year AS STRING),SAFE_CAST(t0.fy_week_of_year AS STRING)) END",anti_pattern,fb7ea77f-c0b0-490a-9cb2-eb49816cf8fa
arm_metric_007,Total Sunday Subscription Count,Sum of subscription counts specifically for records where the 'sunday_flag' is 'Y'.,ncau-data-newsquery-prd,prstn_consumer_views,v_subscription_base_movement_agg,SUM(CASE WHEN (t0.sunday_flag = 'Y') THEN t0.subscription_count ELSE 0 END),hardcoded_logic,fb7ea77f-c0b0-490a-9cb2-eb49816cf8fa
sales_total_fy2025,Sales Total FY2025,Total sales recorded for Fiscal Year 2025. This metric is derived by conditionally summing 'sales_total' where the fiscal year is explicitly 2025.,nau-data-nprod-dataservices,dynamic_pricing,t_weekly_report_dp_traffic_sales_agg,SUM(CASE WHEN (fy_year = 2025) THEN sales_total ELSE NULL END),hardcoded_logic,af564bd3-ec49-4836-9e6f-2040699aa76b
sales_total_fy2024,Sales Total FY2024,Total sales recorded for Fiscal Year 2024. This metric is derived by conditionally summing 'sales_total' where the fiscal year is explicitly 2024.,nau-data-nprod-dataservices,dynamic_pricing,t_weekly_report_dp_traffic_sales_agg,SUM(CASE WHEN (fy_year = 2024) THEN sales_total ELSE NULL END),hardcoded_logic,af564bd3-ec49-4836-9e6f-2040699aa76b
traffic_total_fy2025,Traffic Total FY2025,Total traffic recorded for Fiscal Year 2025. This metric is derived by conditionally summing 'traffic_total' where the fiscal year is explicitly 2025.,nau-data-nprod-dataservices,dynamic_pricing,t_weekly_report_dp_traffic_sales_agg,SUM(CASE WHEN (fy_year = 2025) THEN traffic_total ELSE NULL END),hardcoded_logic,af564bd3-ec49-4836-9e6f-2040699aa76b
traffic_total_fy2024,Traffic Total FY2024,Total traffic recorded for Fiscal Year 2024. This metric is derived by conditionally summing 'traffic_total' where the fiscal year is explicitly 2024.,nau-data-nprod-dataservices,dynamic_pricing,t_weekly_report_dp_traffic_sales_agg,SUM(CASE WHEN (fy_year = 2024) THEN traffic_total ELSE NULL END),hardcoded_logic,af564bd3-ec49-4836-9e6f-2040699aa76b
subscription_targets_day_target_by_publication_group_sum,Sum of Daily Target by Publication Group,"The sum of daily subscription targets, specifically for publication groups, as defined in the reference data.",ncau-data-newsquery-prd,cdm_reference_data,subscription_targets,SUM(t0.day_target_by_publication_group),hardcoded_logic,48a09c73-18f8-4e25-a22f-61398f34ab2a
subscription_targets_day_target_website_sum,Sum of Daily Target by Website,"The sum of daily subscription targets, specifically for websites, as defined in the reference data.",ncau-data-newsquery-prd,cdm_reference_data,subscription_targets,SUM(t0.day_target_website),hardcoded_logic,48a09c73-18f8-4e25-a22f-61398f34ab2a
cscore_targets_c_score_target_sum,Sum of C-Score Target,"The sum of C-score targets, which typically represents a weekly target for content performance or engagement.",ncau-data-newsquery-prd,cdm_reference_data,cscore_targets,SUM(t0.c_score_target),hardcoded_logic,48a09c73-18f8-4e25-a22f-61398f34ab2a
sum_day_target_by_section_team,Sum of Day Target by Section Team,"Represents the aggregated daily target value for specific sections and teams, likely used for performance tracking against set goals.",ncau-data-newsquery-prd,cdm_reference_data,subscription_targets,SUM(day_target_by_section_team),hardcoded_logic,07de4dcd-194f-42aa-87bf-ee79996fb768
sum_day_target_website,Sum of Day Target by Website,"Represents the aggregated daily target value for specific websites, likely used for performance tracking against set goals.",ncau-data-newsquery-prd,cdm_reference_data,subscription_targets,SUM(day_target_website),hardcoded_logic,07de4dcd-194f-42aa-87bf-ee79996fb768
count_registrations_federal_election_mar24-30_specific_websites,"Federal Election Registrations (Mar 24-30, Specific Websites)","Counts the total number of registrations where the associated content is related to 'federal-election' (in ArticleDominantSection1, ArticleDominantSection2, ArticleDominantSection3, or categorytopic_path), the registration occurred between March 24-30, 2025, and the website is one of Courier, Telegraph, Herald, Advertiser, Bulletin, Cairns, NTNews, Chronicle, or Mercury.",ncau-data-newsquery-prd,prstn_verity,t_registration_details_snapshot_summary,COUNT(1),hardcoded_logic,d3b51d1f-8b66-440f-9bc3-cc96429075bd
count_registrations_federal_election_apr01_specific_websites,"Federal Election Registrations (Apr 01, Specific Websites)","Counts the total number of registrations where the associated content is related to 'federal-election' (in ArticleDominantSection1, ArticleDominantSection2, ArticleDominantSection3, or categorytopic_path), the registration occurred on April 01, 2025, and the website is one of Courier, Telegraph, Herald, Advertiser, Bulletin, Cairns, NTNews, Chronicle, or Mercury.",ncau-data-newsquery-prd,prstn_verity,t_registration_details_snapshot_summary,COUNT(1),hardcoded_logic,d3b51d1f-8b66-440f-9bc3-cc96429075bd
metric_001_audience_mom_growth_rate,Audience Month-over-Month Growth Rate,"Calculates the month-over-month percentage growth or decline in audience, derived from the current month's audience and the previous month's audience. This metric indicates the relative change in audience size.",ncau-data-newsquery-prd,prstn_content_interaction,ipsos_mom_audience_view,"SUM(SAFE_DIVIDE((SAFE_CAST(t0.Audience AS FLOAT64) - SAFE_CAST(t0.Audience_Previous_Month AS FLOAT64)), SAFE_CAST(t0.Audience_Previous_Month AS FLOAT64)))",none,ae8a7e4a-6850-4617-aca7-de689047229d
metric_002_audience_mom_change,Audience Month-over-Month Change,Calculates the absolute change in audience from the previous month to the current month. This metric shows the net increase or decrease in audience numbers.,ncau-data-newsquery-prd,prstn_content_interaction,ipsos_mom_audience_view,SUM((SAFE_CAST(t0.Audience AS FLOAT64) - SAFE_CAST(t0.Audience_Previous_Month AS FLOAT64))),none,ae8a7e4a-6850-4617-aca7-de689047229d
metric_003_total_audience_current_month,Total Audience (Current Month),Aggregates the total audience for the current reporting month. This represents the total reach or viewership for the specified period.,ncau-data-newsquery-prd,prstn_content_interaction,ipsos_mom_audience_view,SUM(SAFE_CAST(t0.Audience AS FLOAT64)),none,ae8a7e4a-6850-4617-aca7-de689047229d
metric_004_total_audience_previous_month,Total Audience (Previous Month),Aggregates the total audience from the previous reporting month. This serves as a baseline for month-over-month comparisons.,ncau-data-newsquery-prd,prstn_content_interaction,ipsos_mom_audience_view,SUM(SAFE_CAST(t0.Audience_Previous_Month AS FLOAT64)),none,ae8a7e4a-6850-4617-aca7-de689047229d
count_inbound_cvm_accepted_interactions,Count of Interactions for Inbound Calls with CVM Offer Accepted,"Counts customer interactions where the case origin was 'Call - Inbound' and the flow name was 'CVM Offer Accepted - Lightning', grouped by transaction description.",ncau-data-newsquery-sit,prstn_consumer,customer_interaction_ncs_svc,COUNT(1),hardcoded_logic,c4796c36-94d3-4cbf-9762-4f2a492454bb
count_pause_outcome_interactions,Count of Interactions with Outcome Type 'Pause',"Counts customer interactions where the outcome type was 'Pause', grouped by transaction description.",ncau-data-newsquery-sit,prstn_consumer,customer_interaction_ncs_svc,COUNT(1),hardcoded_logic,c4796c36-94d3-4cbf-9762-4f2a492454bb
count_interactions_by_outcome_type,Count of Interactions by Outcome Type,"Counts the total number of customer interactions, grouped by their outcome type.",ncau-data-newsquery-sit,prstn_consumer,customer_interaction_ncs_svc,COUNT(1),anti_pattern,c4796c36-94d3-4cbf-9762-4f2a492454bb
count_interactions_by_case_origin,Count of Interactions by Case Origin,"Counts the total number of customer interactions, grouped by their case origin.",ncau-data-newsquery-sit,prstn_consumer,customer_interaction_ncs_svc,COUNT(1),anti_pattern,c4796c36-94d3-4cbf-9762-4f2a492454bb
count_interactions_by_flow_name,Count of Interactions by Flow Name,"Counts the total number of customer interactions, grouped by their associated flow name.",ncau-data-newsquery-sit,prstn_consumer,customer_interaction_ncs_svc,COUNT(1),anti_pattern,c4796c36-94d3-4cbf-9762-4f2a492454bb
count_self_service_subscription_cancel_interactions,Count of Self-Service Interactions for Subscription Cancellation,"Counts customer interactions where the case origin was 'Self Service' and the original transaction type was 'Modify_Subscription_Cancel', grouped by flow name.",ncau-data-newsquery-sit,prstn_consumer,customer_interaction_ncs_svc,COUNT(1),hardcoded_logic,c4796c36-94d3-4cbf-9762-4f2a492454bb
count_of_records_q2_q4,Count of Records,"Total count of digital subscription records, categorized by publication group (Metros, Regionals, etc.) and filtered for Digital Recognition. This metric represents the number of rows matching the specified criteria.",ncau-data-newsquery-prd,asl_finance_derived,digital_subscriptions,COUNT(1),"hardcoded_logic, anti_pattern",3e28affe-dc1b-43b8-b7aa-bd7cb3572084
count_fy_week_of_year_q3,Count of Fiscal Week of Year,"Count of fiscal week of year values for digital subscription records, filtered by various complex criteria including subscription type, publication group, and scenario. This metric counts the occurrences of fiscal week numbers.",ncau-data-newsquery-prd,asl_finance_derived,digital_subscriptions,COUNT(t0.fy_week_of_year),"hardcoded_logic, anti_pattern",3e28affe-dc1b-43b8-b7aa-bd7cb3572084
sum_fy_week_of_year_q3,Sum of Fiscal Week of Year,"Sum of fiscal week of year values for digital subscription records, filtered by various complex criteria including subscription type, publication group, and scenario. This metric aggregates the fiscal week numbers.",ncau-data-newsquery-prd,asl_finance_derived,digital_subscriptions,SUM(t0.fy_week_of_year),"hardcoded_logic, anti_pattern",3e28affe-dc1b-43b8-b7aa-bd7cb3572084
sum_fy_quarter_of_year_q5,Sum of Fiscal Quarter of Year,"Sum of fiscal quarter of year values for digital subscription records, categorized by publication group and filtered for Digital Recognition and Offplatform - Paid. This metric aggregates the fiscal quarter numbers.",ncau-data-newsquery-prd,sbx_fda_noncorefin,digital_subscriptions,SUM(t0.fy_quarter_of_year),"hardcoded_logic, anti_pattern",3e28affe-dc1b-43b8-b7aa-bd7cb3572084
metric_row_count_verity_user_test,Row Count,"Counts the total number of records from the `verity2_user_test` table, typically representing user activities or entries, after applying filters for specific user roles (e.g., Reporter, COS, Section editor, Homepage editor).",ncau-data-newsquery-prd,sdm_reference_data,verity2_user_test,COUNT(1),none,57957536-505f-4507-8062-c7cbe7c46ecf
metric_net_adds_cancels_consumer_activity,Net Adds/Cancels,"Calculates the sum of new consumer additions (`adds`) minus cancellations (`cancels`) from the `v_consumer_activity_daily_summary` table. This metric is typically filtered by specific criteria such as a date range, selected mastheads, payment status ('Y'), source system ('THINK'), class level ('Standard Paid'), and excluding 'Print' delivery medium.",ncau-data-newsquery-prd,prstn_consumer_views,v_consumer_activity_daily_summary,SUM(t0.adds - t0.cancels),none,57957536-505f-4507-8062-c7cbe7c46ecf
agreement_id_src_1,agreement_id_src,Unique identifier for an agreement in advertising sales revenue pricing.,ncau-data-newsquery-prd,asl_advertising,adsales_revenue_pricing,t0.agreement_id_src,anti_pattern,36c94aef-cf82-466b-9b8f-6a3a6580e059
total_incidents_monthly,Total Incidents,"Total count of distinct incidents for a given month, specifically for 'News Corp Australia - NewsQuery' assignment group, 'incident' task type, excluding 'Trial' SLAs, and only for 'Completed' stage incidents.",ncau-data-newsquery-prd,sdm_snow,servicenow,"COUNT(DISTINCT number) FROM `ncau-data-newsquery-prd.sdm_snow.servicenow` WHERE assignment_group = ""News Corp Australia - NewsQuery"" AND task_type = ""incident"" AND sla NOT LIKE '%Trial%' AND stage = ""Completed""",hardcoded_logic,bedebbe4-3e46-47d5-bc36-6d867544ba66
response_achieved_incidents_monthly,Response Achieved Incidents,"Count of incidents where the SLA is related to 'Response' and the SLA was not breached, for a given month, filtered by specific assignment group, task type, SLA, and stage.",ncau-data-newsquery-prd,sdm_snow,servicenow,"COUNT(number) FROM `ncau-data-newsquery-prd.sdm_snow.servicenow` WHERE assignment_group = ""News Corp Australia - NewsQuery"" AND task_type = ""incident"" AND sla NOT LIKE '%Trial%' AND stage = ""Completed"" AND sla LIKE '%Response%' AND has_breached = ""false""",hardcoded_logic,bedebbe4-3e46-47d5-bc36-6d867544ba66
response_breached_incidents_monthly,Response Breached Incidents,"Count of incidents where the SLA is related to 'Response' and the SLA was breached, for a given month, filtered by specific assignment group, task type, SLA, and stage.",ncau-data-newsquery-prd,sdm_snow,servicenow,"COUNT(number) FROM `ncau-data-newsquery-prd.sdm_snow.servicenow` WHERE assignment_group = ""News Corp Australia - NewsQuery"" AND task_type = ""incident"" AND sla NOT LIKE '%Trial%' AND stage = ""Completed"" AND sla LIKE '%Response%' AND has_breached = ""true""",hardcoded_logic,bedebbe4-3e46-47d5-bc36-6d867544ba66
resolution_achieved_incidents_monthly,Resolution Achieved Incidents,"Count of incidents where the SLA is related to 'Resolve' and the SLA was not breached, for a given month, filtered by specific assignment group, task type, SLA, and stage.",ncau-data-newsquery-prd,sdm_snow,servicenow,"COUNT(number) FROM `ncau-data-newsquery-prd.sdm_snow.servicenow` WHERE assignment_group = ""News Corp Australia - NewsQuery"" AND task_type = ""incident"" AND sla NOT LIKE '%Trial%' AND stage = ""Completed"" AND sla LIKE '%Resolve%' AND has_breached = ""false""",hardcoded_logic,bedebbe4-3e46-47d5-bc36-6d867544ba66
resolution_breached_incidents_monthly,Resolution Breached Incidents,"Count of incidents where the SLA is related to 'Resolve' and the SLA was breached, for a given month, filtered by specific assignment group, task type, SLA, and stage.",ncau-data-newsquery-prd,sdm_snow,servicenow,"COUNT(number) FROM `ncau-data-newsquery-prd.sdm_snow.servicenow` WHERE assignment_group = ""News Corp Australia - NewsQuery"" AND task_type = ""incident"" AND sla NOT LIKE '%Trial%' AND stage = ""Completed"" AND sla LIKE '%Resolve%' AND has_breached = ""true""",hardcoded_logic,bedebbe4-3e46-47d5-bc36-6d867544ba66
metric_1,Daily Target by Publication Group,"The sum of daily subscription targets, aggregated by publication group. This metric is used across multiple queries with varying date ranges and specific publication group filters.",ncau-data-newsquery-prd,cdm_reference_data,subscription_targets,SUM(t0.day_target_by_publication_group),hardcoded_logic,c00fff03-f644-4725-90db-35b254793268
metric_2,Daily Target by Website,"The sum of daily subscription targets, aggregated by website. This metric is used across multiple queries with varying date ranges.",ncau-data-newsquery-prd,cdm_reference_data,subscription_targets,SUM(t0.day_target_website),hardcoded_logic,c00fff03-f644-4725-90db-35b254793268
metric_3,Distinct Publication Group Count,A count of unique publication groups. This metric is used in a query with a specific date range filter.,ncau-data-newsquery-prd,cdm_reference_data,subscription_targets,COUNT(DISTINCT t0.publication_group),hardcoded_logic,c00fff03-f644-4725-90db-35b254793268
metric_4,Total Subscriber Count,"The sum of subscriber counts. This metric is used in queries with specific date ranges and multiple hardcoded filters related to member type, customer type, classification, and masthead.",ncau-data-newsquery-prd,asl_audience_insights,subscriber_daily_base_movement,SUM(t0.subscriber_count),hardcoded_logic,c00fff03-f644-4725-90db-35b254793268
metric_5,Active Daily Subscriber Count (Last 28 Days),"The sum of subscriber counts for subscribers who were active for 28 days within the last period. This metric involves complex embedded business logic (CASE WHEN statements) and is used in queries with specific date ranges and multiple hardcoded filters related to member type, customer type, classification, and masthead.",ncau-data-newsquery-prd,asl_audience_insights,subscriber_daily_base_movement,SUM(CASE WHEN (CASE WHEN (t0.subscriber_last_28_days_active_days = 28) THEN 'Active Daily' ELSE 'not every day' END = 'not every day') THEN 0 ELSE t0.subscriber_count END),hardcoded_logic,c00fff03-f644-4725-90db-35b254793268
sum_c_score_target,Sum of C-Score Target,"The aggregated sum of the commercial score target, likely representing a key performance indicator or goal for a specific period.",ncau-data-newsquery-prd,cdm_reference_data,cscore_targets,SUM(t0.c_score_target),hardcoded_logic,ec783355-ff58-423e-a8df-83c75e9f77b3
sum_lgr,Sum of LGR,"Total Local Gross Revenue (LGR) from ad sales, filtered for NPV related flags and non-zero LGR.",ncau-data-newsquery-prd,asl_finance_derived,adsales_npv,SUM(t0.LGR),none,7ada02b8-e93e-41d8-9a7e-05013ff81247
sum_relative_fy_month_offset,Sum of Relative FY Month Offset,"Sum of the relative fiscal year month offset, used for time-based calculations, filtered for NPV related flags and non-zero LGR.",ncau-data-newsquery-prd,asl_finance_derived,adsales_npv,SUM(t0.relative_fy_month_offset),none,7ada02b8-e93e-41d8-9a7e-05013ff81247
metric_count_records_charlie_hall_by_default_website,"Count of Records (Charlie Hall, by Default Website)","Counts the number of user records specifically for 'Charlie Hall', aggregated by their assigned default website.",ncau-data-newsquery-prd,sdm_reference_data,verity2_user_test,COUNT(1),hardcoded_logic,47325be1-3ddd-4d01-8fc0-3ec1e532b196
metric_count_records_by_ad_user_role,Count of Records (by AD User Role),"Counts the total number of user records, aggregated by each unique Active Directory (AD) user role.",ncau-data-newsquery-prd,sdm_reference_data,verity2_user_test,COUNT(1),none,47325be1-3ddd-4d01-8fc0-3ec1e532b196
metric_sum_access_level_charlie_hall,Sum of Access Level (Charlie Hall),"Calculates the sum of 'AccessLevel' values for user records specifically for 'Charlie Hall', aggregated by their AD user email.",ncau-data-newsquery-prd,sdm_reference_data,verity2_user_test,SUM(t0.AccessLevel),hardcoded_logic,47325be1-3ddd-4d01-8fc0-3ec1e532b196
metric_count_distinct_ad_user_names_social_editors,Count of Unique AD User Names (Social Editors),"Counts the number of unique Active Directory (AD) user names for users identified as 'Social editor' roles, aggregated by their author team.",ncau-data-newsquery-prd,sdm_reference_data,verity2_user_test,COUNT(DISTINCT t0.ADUserName),hardcoded_logic,47325be1-3ddd-4d01-8fc0-3ec1e532b196
metric_count_records_social_editors_by_verity_usage_masthead,"Count of Records (Social Editors, by Verity Usage Masthead)","Counts the number of user records for users identified as 'Social editor' roles, aggregated by their 'Verity Usage Masthead'.",ncau-data-newsquery-prd,sdm_reference_data,verity2_user_test,COUNT(1),hardcoded_logic,47325be1-3ddd-4d01-8fc0-3ec1e532b196
metric_001,Total Video Views,The sum of video views recorded for content. This metric aggregates the 'insights_video_views_count' column.,ncau-data-newsquery-prd,bdm_content_interaction,social_content_interactions_fct,SUM(insights_video_views_count),none,a7a0f9fb-9e07-4931-8127-a7944660b5c9
metric_002,Total Average Video Duration (Summed),The sum of the average video durations in seconds. This metric aggregates the 'insights_video_view_average_seconds_duration' column. Note: Summing an already averaged metric without proper weighting can lead to a misleading overall average.,ncau-data-newsquery-prd,bdm_content_interaction,social_content_interactions_fct,SUM(insights_video_view_average_seconds_duration),anti_pattern,a7a0f9fb-9e07-4931-8127-a7944660b5c9
metric_003,Total Post Video Length Duration,"The sum of the total length of videos associated with posts, in seconds. This metric aggregates the 'post_video_length_seconds_duration' column.",ncau-data-newsquery-prd,bdm_content_interaction,social_content_interactions_fct,SUM(post_video_length_seconds_duration),none,a7a0f9fb-9e07-4931-8127-a7944660b5c9
metric_004,Record Count,The total number of records or rows returned by the query.,ncau-data-newsquery-prd,bdm_content_interaction,social_content_interactions_fct,COUNT(1),none,a7a0f9fb-9e07-4931-8127-a7944660b5c9
metric_1,Gross Revenue,"Total gross revenue generated from advertising data, aggregated from the daily data source.",,cdm_adomik_src_views,v_cdm_admk_advertising_data_daily_incl_direct,SUM(revenue_gross),anti_pattern,73e125c7-5447-4e59-9560-ed12d7c7f153
metric_2,Impressions,"Total number of advertising impressions recorded, aggregated from the daily data source.",,cdm_adomik_src_views,v_cdm_admk_advertising_data_daily_incl_direct,SUM(impressions),anti_pattern,73e125c7-5447-4e59-9560-ed12d7c7f153
metric_3,Net Revenue,"Total net revenue generated from advertising data, aggregated from the daily data source.",,cdm_adomik_src_views,v_cdm_admk_advertising_data_daily_incl_direct,SUM(revenue),anti_pattern,73e125c7-5447-4e59-9560-ed12d7c7f153
